[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 1] Now these are the last words of David. David, the son of Jesse, says, the man who was lifted up on high, the man on whom the God of Jacob put the holy oil, the loved one of Israel's songs, says:
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 18] And Abishai, the brother of Joab, the son of Zeruiah, was chief of the thirty. He put to death three hundred with his spear, and he got for himself a name among the thirty.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 19] Was he not the noblest of the thirty? so he was made their captain: but he was not equal to the first three.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 20] And Benaiah the son of Jehoiada, a fighting man of Kabzeel, had done great acts; he put to death the two sons of Ariel of Moab: he went down into a hole and put a lion to death in time of snow:
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 21] And he made an attack on an Egyptian, a tall man: and the Egyptian had a spear in his hand; but he went down to him with a stick, and pulling the spear out of the hands of the Egyptian, put him to death with that same spear.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 22] These were the acts of Benaiah, the son of Jehoiada, who had a great name among the thirty men of war.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 23] He was honoured over the rest of the thirty, but he was not equal to the first three. And David put him over the fighting men who kept him safe.
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 24] Asahel, the brother of Joab, was one of the thirty; and Elhanan, the son of Dodai, of Beth-lehem,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 25] Shammah the Harodite, Elika the Harodite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 26] Helez the Paltite, Ira, the son of Ikkesh the Tekoite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 27] Abiezer the Anathothite, Sibbecai the Hushathite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 28] Zalmon the Ahohite, Maharai the Netophathite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 29] Heldai, the son of Baanah the Netophathite, Ittai, the son of Ribai of Gibeah of the children of Benjamin,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 30] Benaiah the Pirathonite, Hiddai of the valleys of Gaash,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 31] Abiel the Arbathite, Azmaveth of Bahurim,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 32] Eliahba the Shaalbonite, Jashen the Gunite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 33] Jonathan, the son of Shammah the Hararite, Ahiam, the son of Sharar the Hararite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 34] Eliphelet, the son of Ahasbai the Maacathite, Eliam, the son of Ahithophel the Gilonite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 35] Hezrai the Carmelite, Paarai the Archite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 36] Igal, the son of Nathan of Zobah, Bani the Gadite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 37] Zelek the Ammonite, Naharai the Beerothite, who had the care of the arms of Joab, son of Zeruiah,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 38] Ira the Ithrite, Gareb the Ithrite,
[BBE | EN | OT | 2 Samuel | Chapter 23 | Verse 39] Uriah the Hittite: thirty-seven in number.
