[LXX | EL | OT | Sirach | Chapter 16 | Verse 1] Μὴ ἐπιθύμει τέκνων πλῆθος ἀχρήστων, μὴ εὐφραίνου ἐπὶ υἱοῖς ἀσεβέσιν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 18] Ἰδοὺ ὁ οὐρανὸς καὶ ὁ οὐρανὸς τοῦ οὐρανοῦ τοῦ Θεοῦ, ἄβυσσος καὶ γῆ σαλευθήσονται ἐν τῇ ἐπισκοπῇ αὐτοῦ·
[LXX | EL | OT | Sirach | Chapter 16 | Verse 19] ἅμα τὰ ὄρη καὶ τὰ θεμέλια τῆς γῆς, ἐν τῷ ἐπιβλέψαι εἰς αὐτὰ, τρόμῳ συσσείονται,
[LXX | EL | OT | Sirach | Chapter 16 | Verse 20] καὶ ἐπʼ αὐτοῖς οὐ διανοηθήσεται καρδία· καὶ τὰς ὁδοὺς αὐτοῦ τίς ἐνθυμηθήσεται;
[LXX | EL | OT | Sirach | Chapter 16 | Verse 21] Καὶ καταιγὶς, ἣν οὐκ ὄψεται ἄνθρωπος, τὰ δὲ πλείονα τῶν ἔργων αὐτοῦ ἐν ἀποκρύφοις.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 22] Ἔργα δικαιοσύνης τίς ἀναγγελεῖ, ἢ τίς ὑπομενεῖ; μακρὰν γὰρ ἡ διαθήκη.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 23] Ἐλαττούμενος καρδίᾳ διανοεῖται ταῦτα, καὶ ἀνὴρ ἄφρων καὶ πλανώμενος διανοεῖται μωρά.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 24] Ἄκουσόν μου, τέκνον, καὶ μάθε ἐπιστήμην, καὶ ἐπὶ τῶν λόγων μου πρόσεχε τῇ καρδίᾳ σου.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 25] Ἐκφαίνω ἐν σταθμῷ παιδείαν, καὶ ἐν ἀκριβείᾳ ἀπαγγέλλω ἐπιστήμην.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 26] Ἐν κρίσει Κυρίου τὰ ἔργα αὐτοῦ ἀπʼ ἀρχῆς, καὶ ἀπὸ ποιήσεως αὐτῶν διέστειλε μερίδας αὐτῶν.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 27] Ἐκόσμησεν εἰς αἰῶνα τὰ ἔργα αὐτοῦ, καὶ τὰς ἀρχὰς αὐτῶν εἰς γενεὰς αὐτῶν· οὔτε ἐπείνασαν, οὔτε ἐκοπίασαν, καὶ οὐκ ἐξέλιπον ἀπὸ τῶν ἔργων αὐτων.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 28] Ἕκαστος τὸν πλησίον αὐτοῦ οὐκ ἔθλιψε, καὶ ἕως αἰῶνος οὐκ ἀπειθήσουσι τοῦ ῥήματος αὐτοῦ·
[LXX | EL | OT | Sirach | Chapter 16 | Verse 29] καὶ μετὰ ταῦτα Κύριος εἰς τὴν γῆν ἐπέβλεψε, καὶ ἐνέπλησεν αὐτὴν τῶν ἀγαθῶν αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 16 | Verse 30] Ψυχὴν παντὸς ζώου ἐκάλυψε τὸ πρόσωπον αὐτῆς, καὶ εἰς αὐτὴν ἡ ἀποστροφὴ αὐτῶν.
