[LXX | EL | OT | Sirach | Chapter 43 | Verse 1] Γαυρίαμα ὕψους, στερέωμα καθαριότητος, εἶδος οὐρανοῦ ἐν ὁράματι δόξης.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 12] Ἐγύρωσεν οὐρανὸν ἐν κυκλώσει δόξης, χεῖρες ὑψίστου ἐτάννυσαν αὐτό.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 13] Προστάγματι αὐτοῦ κατέσπευσε χιόνα, καὶ ταχύνει ἀστραπὰς κρίματος αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 14] Διὰ τοῦτο ἠνεῴχθησαν θησαυροὶ, καὶ ἐξέπτησαν νεφέλαι ὡς πετεινά.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 15] Ἐν μεγαλείῳ αὐτοῦ ἴσχυσε νεφέλας, καὶ διεθρύβησαν λίθοι χαλάζης.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 16] Καὶ ἐν ὀπτασίαις αὐτοῦ σαλευθήσεται ὄρη, ἐν θελήματι πνεύσεται νότος.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 17] Φωνὴ βροντῆς αὐτοῦ ὠδίνησε γῆν, καὶ καταιγὶς Βορέου καὶ συστροφὴ πνεύματος· ὡς πετεινὰ καθιπτάμενα πάσσει χιόνα, καὶ ὡς ἀκρὶς καταλύουσα ἡ κατάβασις αὐτῆς.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 18] Κάλλος λευκότητος αὐτῆς ἐκθαυμάσει ὀφθαλμὸς, καὶ ἐπὶ τοῦ ὑετοῦ αὐτῆς ἐκστήσεται καρδία.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 19] Καὶ πάχνην ὡς ἅλα ἐπὶ γῆς χέει, καὶ παγεῖσα γίνεται σκολόπων ἄκρα.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 20] Ψυχρὸς ἄνεμος Βορέης πνεύσει, καὶ παγήσεται κρύσταλλος ἀφʼ ὕδατος· ἐπὶ πᾶσαν συναγωγὴν ὕδατος καταλύσει, καὶ ὡς θώρακα ἐνδύσεται τὸ ὕδωρ.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 21] Καταφάγεται ὄρη, καὶ ἔρημον ἐκκαύσει, καὶ ἀποσβέσει χλόην ὡς πῦρ.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 22] Ἴασις πάντων κατὰ σπουδὴν ὁμίχλη, δρόσος ἀπαντῶσα ἀπὸ καύσωνος ἱλαρώσει.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 23] Λογισμῷ αὐτοῦ ἐκόπασεν ἄβυσσον, καὶ ἐφύτευσεν αὐτὴν Ἰησοῦς.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 24] Οἱ πλέοντες τὴν θάλασσαν διηγοῦνται τὸν κίνδυνον αὐτῆς, καὶ ἀκοαῖς ὠτίῳν ἡμῶν θαυμάζομεν.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 25] Καὶ ἐκεῖ τὰ παρὰδοξα καὶ θαυμάσια ἔργα, ποικιλία παντὸς ζώου, κτίσις κητῶν.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 26] Διʼ αὐτὸν εὐοδία τέλος αὐτοὺ, καὶ ἐν λόγῳ αὐτοῦ σύγκειται πάντα.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 27] Πολλὰ ἐροῦμεν καὶ οὐ μὴ ἐφικώμεθα, καὶ συντέλεια λόγων τὸ πᾶν ἐστιν αὐτός.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 28] Δοξάζοντες ποῦ ἰσχύσωμεν; αὐτὸς γὰρ ὁ μέγας παρὰ πάντα τὰ ἔργα αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 29] Φοβερὸς Κύριος καὶ σφόδρα μέγας, καὶ θαυμαστὴ ἡ δυναστεία αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 30] Δοξάζοντες Κύριον ὑψώσατε καθόσον ἂν δύνησθε, ὑπερέξει γὰρ καὶ ἔτι· καὶ ὑψοῦντες αὐτὸν πληθύνατε ἐν ἰσχύϊ, μὴ κοπιᾶτε, οὐ γὰρ μὴ ἐφίκησθε.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 31] Τίς ἑώρακεν αὐτὸν καὶ ἐκδιηγήσεται; καὶ τίς μεγαλύνει αὐτὸν καθώς ἐστι;
[LXX | EL | OT | Sirach | Chapter 43 | Verse 32] Πολλὰ ἀπόκρυφά ἐστι μείζονα τούτων, ὀλίγα γὰρ ἑωράκαμεν τῶν ἔργων αὐτοῦ.
[LXX | EL | OT | Sirach | Chapter 43 | Verse 33] Πάντα γὰρ ἐποίησεν ὁ Κύριος, καὶ τοῖς εὐσεβέσιν ἔδωκε σοφίαν. ΠΑΤΕΡΩΝ ὝΜΝΟΣ.
