[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 1] Καί τινες κατελθόντες ἀπὸ τῆς Ἰουδαίας, ἐδίδασκον τοὺς ἀδελφοὺς ὅτι Ἐὰν μὴ περιτέμνησθε τῷ ἔθει Μωϋσέως, οὐ δύνασθε σωθῆναι.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 21] Μωσῆς γὰρ ἐκ γενεῶν ἀρχαίων κατὰ πόλιν τοὺς κηρύσσοντας αὐτὸν ἔχει, ἐν ταῖς συναγωγαῖς κατὰ πᾶν σάββατον ἀναγινωσκόμενος.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 22] Τότε ἔδοξε τοῖς ἀποστόλοις καὶ τοῖς πρεσβυτέροις σὺν ὅλῃ τῇ ἐκκλησίᾳ, ἐκλεξαμένους ἄνδρας ἐξ αὐτῶν πέμψαι εἰς Ἀντιόχειαν σὺν τῷ Παύλῳ καὶ Βαρνάβᾳ, Ἰούδαν τὸν ἐπικαλούμενον Βαρσαβᾶν, καὶ Σίλαν, ἄνδρας ἡγουμένους ἐν τοῖς ἀδελφοῖς,
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 23] γράψαντες διὰ χειρὸς αὐτῶν τάδε, Οἱ ἀπόστολοι καὶ οἱ πρεσβύτεροι καὶ οἱ ἀδελφοὶ τοῖς κατὰ τὴν Ἀντιόχειαν καὶ Συρίαν καὶ Κιλικίαν ἀδελφοῖς τοῖς ἐξ ἐθνῶν, χαίρειν·
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 24] ἐπειδὴ ἠκούσαμεν ὅτι τινὲς ἐξ ἡμῶν ἐξελθόντες ἐτάραξαν ὑμᾶς λόγοις, ἀνασκευάζοντες τὰς ψυχὰς ὑμῶν, λέγοντες περιτέμνεσθαι καὶ τηρεῖν τὸν νόμον, οἷς οὐ διεστειλάμεθα·
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 25] ἔδοξεν ἡμῖν γενομένοις ὁμοθυμαδόν, ἐκλεξαμένους ἄνδρας πέμψαι πρὸς ὑμᾶς, σὺν τοῖς ἀγαπητοῖς ἡμῶν Βαρνάβᾳ καὶ Παύλῳ,
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 26] ἀνθρώποις παραδεδωκόσι τὰς ψυχὰς αὐτῶν ὑπὲρ τοῦ ὀνόματος τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 27] Ἀπεστάλκαμεν οὖν Ἰούδαν καὶ Σίλαν, καὶ αὐτοὺς διὰ λόγου ἀπαγγέλλοντας τὰ αὐτά.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 28] Ἔδοξε γὰρ τῷ ἁγίῳ πνεύματι, καὶ ἡμῖν, μηδὲν πλέον ἐπιτίθεσθαι ὑμῖν βάρος, πλὴν τῶν ἐπάναγκες τούτων,
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 29] ἀπέχεσθαι εἰδωλοθύτων καὶ αἵματος καὶ πνικτοῦ καὶ πορνείας· ἐξ ὧν διατηροῦντες ἑαυτούς, εὖ πράξετε. Ἔρρωσθε.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 30] Οἱ μὲν οὖν ἀπολυθέντες ἦλθον εἰς Ἀντιόχειαν· καὶ συναγαγόντες τὸ πλῆθος, ἐπέδωκαν τὴν ἐπιστολήν.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 31] Ἀναγνόντες δέ, ἐχάρησαν ἐπὶ τῇ παρακλήσει.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 32] Ἰούδας + 15:32 δὲ ¦ τε ST δὲ καὶ Σίλας, καὶ αὐτοὶ προφῆται ὄντες, διὰ λόγου πολλοῦ παρεκάλεσαν τοὺς ἀδελφούς, καὶ ἐπεστήριξαν.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 33] Ποιήσαντες δὲ χρόνον, ἀπελύθησαν μετ᾿ εἰρήνης ἀπὸ τῶν ἀδελφῶν πρὸς τοὺς ἀποστόλους.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 34] Ἔδοξε δὲ τῷ Σίλᾳ ἐπιμεῖναι αὐτοῦ.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 35] Παῦλος δὲ καὶ Βαρνάβας διέτριβον ἐν Ἀντιοχείᾳ, διδάσκοντες καὶ εὐαγγελιζόμενοι, μετὰ καὶ ἑτέρων πολλῶν, τὸν λόγον τοῦ Κυρίου.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 36] Μετὰ δέ τινας ἡμέρας εἶπε Παῦλος πρὸς Βαρνάβαν, Ἐπιστρέψαντες δὴ ἐπισκεψώμεθα τοὺς ἀδελφοὺς ἡμῶν κατὰ πᾶσαν πόλιν, ἐν αἷς κατηγγείλαμεν τὸν λόγον τοῦ Κυρίου, πῶς ἔχουσι.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 37] Βαρνάβας δὲ ἐβουλεύσατο συμπαραλαβεῖν τὸν Ἰωάννην, τὸν καλούμενον Μάρκον.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 38] Παῦλος δὲ ἠξίου, τὸν ἀποστάντα ἀπ᾿ αὐτῶν ἀπὸ Παμφυλίας, καὶ μὴ συνελθόντα αὐτοῖς εἰς τὸ ἔργον, μὴ συμπαραλαβεῖν τοῦτον.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 39] Ἐγένετο οὖν παροξυσμός, ὥστε ἀποχωρισθῆναι αὐτοὺς ἀπ᾿ ἀλλήλων, τόν τε Βαρνάβαν παραλαβόντα τὸν Μάρκον ἐκπλεῦσαι εἰς Κύπρον·
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 40] Παῦλος δὲ ἐπιλεξάμενος Σίλαν ἐξῆλθε, παραδοθεὶς τῇ χάριτι τοῦ Θεοῦ ὑπὸ τῶν ἀδελφῶν.
[GRCGTR | EL | NT | Acts | Chapter 15 | Verse 41] Διήρχετο δὲ τὴν Συρίαν καὶ Κιλικίαν, ἐπιστηρίζων τὰς ἐκκλησίας.
