[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 1] Κατ᾿ ἐκεῖνον δὲ τὸν καιρὸν ἐπέβαλεν Ἡρῴδης ὁ βασιλεὺς τὰς χεῖρας κακῶσαί τινας τῶν ἀπὸ τῆς ἐκκλησίας.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 14] Καὶ ἐπιγνοῦσα τὴν φωνὴν τοῦ Πέτρου, ἀπὸ τῆς χαρᾶς οὐκ ἤνοιξε τὸν πυλῶνα, εἰσδραμοῦσα δὲ ἀπήγγειλεν ἑστάναι τὸν Πέτρον πρὸ τοῦ πυλῶνος.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 15] Οἱ δὲ πρὸς αὐτὴν εἶπον, Μαίνῃ. Ἡ δὲ διϊσχυρίζετο οὕτως ἔχειν. Οἱ δ᾿ ἔλεγον, Ὁ ἄγγελος αὐτοῦ ἐστιν.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 16] Ὁ δὲ Πέτρος ἐπέμενε κρούων· ἀνοίξαντες δὲ εἶδον αὐτόν, καὶ ἐξέστησαν.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 17] Κατασείσας δὲ αὐτοῖς τῇ χειρὶ σιγᾷν, διηγήσατο αὐτοῖς πῶς ὁ Κύριος αὐτὸν ἐξήγαγεν ἐκ τῆς φυλακῆς. Εἶπε δέ, Ἀπαγγείλατε Ἰακώβῳ καὶ τοῖς ἀδελφοῖς ταῦτα. Καὶ ἐξελθὼν ἐπορεύθη εἰς ἕτερον τόπον.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 18] Γενομένης δὲ ἡμέρας, ἦν τάραχος οὐκ ὀλίγος ἐν τοῖς στρατιώταις, τί ἄρα ὁ Πέτρος ἐγένετο.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 19] Ἡρῴδης δὲ ἐπιζητήσας αὐτὸν καὶ μὴ εὑρών, ἀνακρίνας τοὺς φύλακας, ἐκέλευσεν ἀπαχθῆναι. Καὶ κατελθὼν ἀπὸ τῆς Ἰουδαίας εἰς τὴν Καισάρειαν διέτριβεν.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 20] Ἦν δὲ ὁ Ἡρῴδης θυμομαχῶν Τυρίοις καὶ Σιδωνίοις· ὁμοθυμαδὸν δὲ παρῆσαν πρὸς αὐτόν, καὶ πείσαντες Βλάστον τὸν ἐπὶ τοῦ κοιτῶνος τοῦ βασιλέως, ᾐτοῦντο εἰρήνην, διὰ τὸ τρέφεσθαι αὐτῶν τὴν χώραν ἀπὸ τῆς βασιλικῆς.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 21] Τακτῇ δὲ ἡμέρᾳ ὁ Ἡρῴδης ἐνδυσάμενος ἐσθῆτα βασιλικήν, καὶ καθίσας ἐπὶ τοῦ βήματος, ἐδημηγόρει πρὸς αὐτούς.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 22] Ὁ δὲ δῆμος ἐπεφώνει, Θεοῦ φωνὴ καὶ οὐκ ἀνθρώπου.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 23] Παραχρῆμα δὲ ἐπάταξεν αὐτὸν ἄγγελος Κυρίου, ἀνθ᾿ ὧν οὐκ ἔδωκε τὴν δόξαν τῷ Θεῷ· καὶ γενόμενος σκωληκόβρωτος, ἐξέψυξεν.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 24] Ὁ δὲ λόγος τοῦ Θεοῦ ηὔξανε καὶ ἐπληθύνετο.
[GRCGTR | EL | NT | Acts | Chapter 12 | Verse 25] Βαρνάβας δὲ καὶ Σαῦλος ὑπέστρεψαν ἐξ Ἱερουσαλήμ, πληρώσαντες τὴν διακονίαν, συμπαραλαβόντες καὶ Ἰωάννην τὸν ἐπικληθέντα Μάρκον.
