[LXX | EL | OT | Proverbs | Chapter 3 | Verse 1] Υἱὲ, ἐμῶννομίμων μὴ ἐπιλανθάνου, τὰ δὲ ῥήματά μου τηρείτω σὴ καρδία·
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 15] Τιμιωτέρα δέ ἐστι λίθων πολυτελῶν, οὐκ ἀντιτάξεται αὐτῇ οὐδὲν πονηρόν· εὔγνωστός ἐστι πᾶσι τοῖς ἐγγίζουσιν αὐτῇ, πᾶν δὲ τίμιον οὐκ ἄξιον αὐτῆς ἐστι.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 16] Μῆκος γὰρ βίου καὶ ἔτη ζωῆς ἐν τῇ δεξιᾷ αὐτῆς, ἐν δὲ τῇ ἀριστερᾷ αὐτῆς πλοῦτος καὶ δόξα· ἐκ τοῦ στόματος αὐτῆς ἐκπορεύεται δικαιοσύνη, νόμον δὲ καὶ ἔλεον ἐπὶ γλώσσης φορεῖ.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 17] Αἱ ὁδοὶ αὐτῆς ὁδοὶ καλαί, καὶ πάσαι αἱ τρίβοι αὐτῆς ἐν εἰρήνῃ.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 18] Ξύλον ζωῆς ἐστι πᾶσι τοῖς ἀντεχομένοις αὐτῆς, καὶ τοῖς ἐπερειδομένοις ἐπʼ αὐτὴν ὡς ἐπὶ Κύριον ἀσφαλής.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 19] Ὁ Θεὸς τῇ σοφίᾳ ἐθεμελίωσε τὴν γῆν, ἡτοίμασε δὲ οὐρανοὺς φρονήσει.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 20] Ἐν αἰσθήσει ἄβυσσοι ἐῤῥάγησαν, νέφη δὲ ἐῤῥύησαν δρόσους.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 21] Υἱὲ, μὴ παραῤῥυῇς, τήρησον δὲ ἐμὴν βουλὴν καὶ ἔννοιαν·
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 22] ἵνα ζήσῃ ἡ ψυχή σου, καὶ χάρις ᾖ περὶ σῷ τραχήλῳ· ἔσται δὲ ἴασις ταῖς σαρξί σου, καὶ ἐπιμέλεια τοῖς σοῖς ὀστέοις·
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 23] ἵνα πορεύῃ πεποιθὼς ἐν εἰρήνῃ πάσας τὰς ὁδούς σου, ὁ δὲ πούς σου οὐ μὴ προσκόψῃ.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 24] Ἐὰν γὰρ κάθῃ, ἄφοβος ἔσῃ· ἐὰν δὲ καθεύδῃς, ἡδέως ὑπνώσεις.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 25] Καὶ οὐ φοβηθήσῃ πτόησιν ἐπελθοῦσαν, οὐδὲ ὁρμὰς ἀσεβῶν ἐπερχομένας.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 26] Ὁ γὰρ Κύριος ἔσται ἐπὶ πασῶν ὁδῶν σου, καὶ ἐρείσει σὸν πόδα ἵνα μὴ σαλευθῇς.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 27] Μὴ ἀπόσχῃ εὖ ποιεῖν ἐνδεῆ, ἡνίκα ἂν ἔχῃ ἡ χείρ σου βοηθεῖν.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 28] Μὴ εἴπῃς, ἐπανελθὼν ἐπάνηκε, αὔριον δώσω, δυνατοῦ σου ὄντος εὖ ποιεῖν· οὐ γὰρ οἶδας τί τέξεται ἡ ἐπιοῦσα.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 29] Μὴ τεκτῄνῃ ἐπὶ σὸν φίλον κακὰ παροικοῦντα καὶ πεποιθότα ἐπὶ σοί.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 30] Μὴ φιλεχθρήσῃς πρὸς ἄνθρωπον μάτην, μήτί σε ἐργάσηται κακόν.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 31] Μὴ κτήσῃ κακῶν ἀνδρῶν ὀνείδη, μηδὲ ζηλώσῃς τὰς ὁδοὺς αὐτῶν.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 32] Ἀκάθαρτος γὰρ ἔναντι Κυρίου πᾶς παράνομος, ἐν δὲ δικαίοις οὐ συνεδριάζει.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 33] Κατάρα Θεοῦ ἐν οἴκοις ἀσεβῶν, ἐπαύλεις δὲ δικαίων εὐλογοῦνται.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 34] Κύριος ὑπερηφάνοις ἀντιτάσσεται, ταπεινοῖς δὲ δίδωσι χάριν.
[LXX | EL | OT | Proverbs | Chapter 3 | Verse 35] Δόξαν σοφοὶ κληρονομήσουσιν, οἱ δὲ ἀσεβεῖς ὕψωσαν ἀτιμίαν.
