[LXX | EL | OT | Proverbs | Chapter 24 | Verse 1] Υἱέ, μὴ ζηλώσῃς κακοὺς ἄνδρας, μηδὲ ἐπιθυμήσῃς εἶναι μετʼ αὐτῶν.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 19] Μὴ χαῖρε ἐπὶ κακοποιοῖς, μηδὲ ζήλου ἁμαρτωλούς.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 20] Οὐ γὰρ μὴ γένηται ἔκγονα πονηρῷ, λαμπτὴρ δὲ ἀσεβῶν σβεσθήσεται.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 21] Φοβοῦ τὸν Θεὸν υἱὲ, καὶ βασιλέα, καὶ μηθʼ ἑτέρῳ αὐτῶν ἀπειθήσῃς.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 22] Ἐξαίφνης γὰρ τίσονται τοὺς ἀσεβεῖς, τὰς δὲ τιμωρίας ἀμφοτέρων τίς γνώσεται; Λόγον φυλασσόμενος υἱὸς ἀπωλείας ἐκτὸς ἔσται, [δεχόμενος δὲ ἐδέξατο αὐτόν· μηδὲν ψεῦδος ἀπὸ γλώσσης βασιλεῖ λεγέσθω, καὶ οὐδὲν ψεῦδος ἀπὸ γλώσσης αὐτοῦ οὐ μή ἐξέλθῃ· μάχαιρα γλῶσσα βασιλέως καὶ οὐ σαρκίνη, ὃς δʼ ἂν παραδοθῇ συντριβήσεται· ἐὰν γὰρ ὀξυνθῇ ὁ θυμὸς αὐτοῦ, σὺν νεύροις ἀνθρώπους ἀναλίσκει, καὶ ὀστᾶ ἀνθρώπων κατατρώγει, καὶ συγκαίει ὥσπερ φλὸξ, ὥστε ἄβρωτα εἶναι νεοσσοῖς ἀετῶν· τοὺς ἐμοὺς λόγους υἱὲ φοβήθητι, καὶ δεξάμενος αὐτοὺς μετανόει.] Τάδε λέγει ὁ ἀνὴρ τοῖς πιστεύουσι Θεῷ, καὶ παύομαι. Ἀφρονέστατος γάρ εἰμι ἁπάντων ἀνθρώπων, καὶ φρόνησις ἀνθρώπων οὐκ ἔστιν ἐν ἐμοί. Θεὸς δεδίδαχέ με σοφίαν, καὶ γνῶσιν ἁγίων ἔγνωκα. Τίς ἀνέβη εἰς τὸν οὐρανὸν καὶ κατέβη; τίς συνήγαγεν ἀνέμους ἐν κόλπῳ; τίς συνέστρεψεν ὕδωρ ἐν ἱματίῳ; τίς ἐκράτησε πάντων τῶν ἄκρων τῆς γῆς; τί ὄνομα αὐτῷ; ἢ τί ὄνομα τοῖς τέκνοις αὐτοῦ; Πάντες γὰρ λόγοι Θεοῦ πεπυρωμένοι, ὑπερασπίζει δὲ αὐτὸς τῶν εὐλαβουμένων αὐτόν. Μὴ προσθῇς τοῖς λόγοις αὐτοῦ, ἵνα μὴ ἐλέγξῃ σε, καὶ ψευδὴς γένῃ. Δύο αἰτοῦμαι παρὰ σοῦ, μὴ ἀφέλῃς μου χάριν πρὸ τοῦ ἀποθανεῖν με. Μάταιον λόγον καὶ ψευδῆ μακράν μου ποίησον, πλοῦτον δὲ καὶ πενίαν μή μοι δῷς, σύνταξον δέ μοι τὰ δέοντα καὶ τὰ αὐτάρκη· Ἵνα μὴ πλησθεὶς ψευδὴς γένωμαι, καὶ εἴπω, τίς με ὁρᾷ; ἢ πενηθεὶς κλέψω, καὶ ὀμόσω τὸ ὄνομα τοῦ Θεοῦ. Μὴ παραδῷς οἰκέτην εἰς χεῖρας δεσπότου, μήποτε καταράσηταί σε καὶ ἀφανισθῇς. Ἔκγονον κακὸν πατέρα καταρᾶται, τὴς δὲ μητέρα οὐκ εὐλογεῖ. Ἔκγονον κακὸν δίκαιον ἑαυτὸν κρίνει, τὴν δʼ ἔξοδον αὐτοῦ οὐκ ἀπένιψεν. Ἔκγονον κακὸν ὑψηλοὺς ὀφθαλμοὺς ἔχει, τοῖς δὲ βλεφάροις αὐτοῦ ἐπαίρεται. Ἔκγονον κακὸν μαχαίρας τοὺς ὀδόντας ἔχει, καὶ τὰς μύλας, τομίδας, ὥστε ἀναλίσκειν καὶ κατεσθίειν τοὺς ταπεινοὺς ἀπὸ τῆς γῆς, καὶ τοὺς πένητας αὐτῶν ἐξ ἀνθρώπων.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 23] Ταῦτα δὲ λέγω ὑμῖν τοῖς σοφοῖς ἐπιγινώσκειν· αἰδεῖσθαι πρόσωπον ἐν κρίσει οὐ καλόν.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 24] Ὁ εἰπὼν τὸν ἀσεβῆ, δίκαιός ἐστιν, ἐπικατάρατος λαοῖς ἔσται καὶ μισητὸς εἰς ἔθνη.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 25] Οἱ δὲ ἐλέγχοντες βελτίους φανοῦνται, ἐπʼ αὐτοὺς δὲ ἥξει εὐλογία·
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 26] χείλη δὲ φιλήσουσιν ἀποκρινόμενα λόγους ἀγαθούς.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 27] Ἑτοίμαζε εἰς τὴν ἔξοδον τὰ ἔργα σου, καὶ παρασκευάζου εἰς τὸν ἀγρὸν, καὶ πορεύου κατόπισθέν μου, καὶ ἀνοικοδομήσεις τὸν οἶκόν σου.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 28] Μὴ ἴσθι ψευδὴς μάρτυς ἐπὶ σὸν πολίτην, μηδὲ πλατύνου σοῖς χείλεσι.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 29] Μὴ εἴπῃς, ὃν τρόπον ἐχρήσατό μοι, χρήσομαι αὐτῷ, τίσομαι δὲ αὐτὸν ἅ με ἠδίκησεν.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 30] Ὥσπερ γεώργιον ἀνὴρ ἄφρων, καὶ ὥσπερ ἀμπελὼν ἄνθρωπος ἐνδεὴς φρενῶν.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 31] Ἐὰν ἀφῇς αὐτὸν, χερσωθήσεται καὶ χορτομανήσει ὅλος, καὶ γίνεται ἐκλελειμμένος, οἱ δὲ φραγμοὶ τῶν λίθων αὐτοῦ κατασκάπτονται.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 32] Ὕστερον ἐγὼ μετενόησα, ἐπέβλεψα τοῦ ἐκλέξασθαι παιδείαν.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 33] Ὀλίγον νυστάζω, ὀλίγον δὲ καθυπνῶ, ὀλίγον δὲ ἐναγκαλίζομαι χερσὶ στήθη.
[LXX | EL | OT | Proverbs | Chapter 24 | Verse 34] Ἐὰν δὲ τοῦτο ποιῇς, ἥξει προπορευομένη ἡ πενία σου, καὶ ἡ ἔνδειά σου ὥσπερ ἀγαθὸς δρομεύς.
