[LXX | EL | OT | Proverbs | Chapter 1 | Verse 1] ΠΑΡΟΙΜΙΑΙ Σαλωμῶντος υἱοῦ Δαυὶδ, ὃς ἐβασίλευσεν ἐν Ἰσραήλ·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 14] Τὸν δὲ σὸν κλῆρον βάλε ἐν ἡμῖν, κοινὸν δὲ βαλάντιον κτησώμεθα πάντες, καὶ μαρσίππιον ἓν γενηθήτω ἡμῖν·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 15] Μὴ πορευθῇς ἐν ὁδῷ μετʼ αὐτῶν, ἔκκλινον δὲ τὸν πόδα σου ἐκ τῶν τρίβων αὐτῶν.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 17] Οὐ γὰρ ἀδίκως ἐκτείνεται δίκτυα πτερωτοῖς.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 18] Αὐτοὶ γὰρ οἱ φόνου μετέχοντες, θησαυρίζουσιν ἑαυτοῖς κακά· ἡ δὲ καταστροφὴ ἀνδρῶν παρανόμων κακή.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 19] Αὗται αἱ ὁδοί εἰσι πάντων τῶν συντελούντων τὰ ἄνομα· τῇ γὰρ ἀσεβείᾳ τὴν ἑαυτῶν ψυχὴν ἀφαιροῦνται.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 20] Σοφία ἐν ἐξόδοις ὑμνεῖται, ἐν δὲ πλατείαις παῤῥησίαν ἄγει.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 21] Ἐπʼ ἄκρων δὲ τειχέων κηρύσσεται, ἐπὶ δὲ πύλαις δυναστῶν παρεδρεύει, ἐπὶ δὲ πύλαις πόλεως θαῤῥοῦσα λέγει,
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 22] ὅσον ἂν χρόνον ἄκακοι ἔχονται τῆς δικαιοσύνης, οὐκ αἰσχυνθήσονται· οἱ δὲ ἄφρονες τῆς ὕβρεως ὄντες ἐπιθυμηταί, ἀσεβεῖς γενόμενοι ἐμίσησαν αἴσθησιν,
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 23] καὶ ὑπεύθυνοι ἐγένοντο ἐλέγχοις· ἰδοὺ προήσομαι ὑμῖν ἐμῆς πνοῆς ῥῆσιν· διδάξω δὲ ὑμᾶς τὸν ἐμὸν λόγον.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 24] Ἐπειδὴ ἐκάλουνμ, καὶ οὐχ ὑπηκούσατε· καὶ ἐξέτεινον λόγους, καὶ οὐ προσείχετε·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 25] ἀλλὰ ἀκύρους ἐποιεῖτε ἐμὰς βουλὰς, τοῖς δὲ ἐμοῖς ἐλέγχοις ἠπειθήσατε·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 26] Τοιγαροῦν κᾀγὼ τῇ ὑμετέρᾳ ἀπωλείᾳ ἐπιγελάσομαι, καταχαροῦμαι δὲ ἡνίκα ἔρχηται ὑμῖν ὄλεθρος·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 27] Καὶ ὡς ἂν ἀφίκηται ὑμῖν ἄφνω θόρυβος, ἡ δὲ καταστροφὴ ὁμοίως καταιγίδι παρῇ, καὶ ὅταν ἔρχηται ὑμῖν θλίψις καὶ πολιορκία, ἢ ὅταν ἔρχηται ὑμῖν ὄλεθρος.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 28] Ἔσται γὰρ ὅταν ἐπικαλέσησθέ με, ἐγὼ δὲ οὐκ εἰσακούσομαι ὑμῶν· ζητήσουσί με κακοὶ, καὶ οὐχ εὑρήσουσιν.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 29] Ἐμίσησαν γὰρ σοφίαν, τὸν δὲ λόγον τοῦ Κυρίου οὐ προείλαντο,
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 30] οὐδὲ ἤθελον ἐμαῖς προσέχειν βουλαῖς, ἐμυκτήριζον δὲ ἐμοὺς ἐλέγχους·
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 31] Τοιγαροῦν ἔδονται τῆς ἑαυτῶν ὁδοῦ τοὺς καρποὺς, καὶ τῆς ἐαυτῶν ἀσεβείας πλησθήσονται.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 32] Ἀνθʼ ὧν γὰρ ἠδίκουν νηπίους, φονευθήσονται, καὶ ἐξετασμὸς ἀσεβεῖς ὀλεῖ.
[LXX | EL | OT | Proverbs | Chapter 1 | Verse 33] Ὁ δὲ ἐμοῦ ἀκούων κατασκηνώσει ἐπʼ ἐλπίδι, καὶ ἡσυχάσει ἀφόβως ἀπὸ παντὸς κακοῦ.
