[LXX | EL | OT | Proverbs | Chapter 11 | Verse 1] Ζυγοί δόλιοι βδέλυγμα ἐνώπιον Κυρίου, στάθμιον δὲ δίκαιον δεκτὸν αὐτῷ.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 18] Ἀσεβὴς ποιεῖ ἔργα ἄδικα, σπέρμα δὲ δικαίων μισθὸς ἀληθείας.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 19] Υἱὸς δίκαιος γεννᾶται εἰς ζωὴν, διωγμὸς δὲ ἀσεβοῦς εἰς θάνατον.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 20] Βδέλυγμα Κυρίῳ διεστραμμέναι ὁδοὶ, προσδεκτοὶ δὲ αὐτῷ πάντες ἄμωμοι ἐν ταῖς ὁδοῖς αὐτῶν.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 21] Χειρὶ χεῖρας ἐμβαλὼν ἀδίκως οὐκ ἀτιμώρητος ἔσται, ὁ δὲ σπείρων δικαιοσύνην λήψεται μισθὸν πιστόν.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 22] Ὥσπερ ἐνώτιον ἐν ῥινὶ ὑός, οὕτως γυναικὶ κακόφρονι κάλλος.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 23] Ἐπιθυμία δικαίων πᾶσα ἀγαθὴ, ἐλπὶς δὲ ἀσεβῶν ἀπολεῖται.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 24] Εἰσὶν, οἳ τὰ ἴδια σπείροντες πλείονα ποιοῦσιν· εἰσὶδέ καὶ οἳ συνάγοντες ἐλαττονοῦνται.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 25] Ψυχὴ εὐλογουμένη πᾶσα ἁπλῇ, ἀνὴρ δὲ θυμώδης οὐκ εὐσχήμων.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 26] Ὁ συνέχων σῖτον ὑπολείποιτο αὐτὸν τοῖς ἔθνεσιν· εὐλογία δὲ εἰς κεφαλὴν τοῦ μεταδιδόντος.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 27] Τεκταινόμενος ἀγαθὰ ζητεῖ χάριν ἀγαθὴν, ἐκζητοῦντα δὲ κακὰ καταλήψεται αὐτόν.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 28] Ὁ πεποιθὼς ἐπὶ πλούτῳ οὗτος πεσεῖται, ὁ δὲ ἀντιλαμβανόμενος δικαίων οὗτος ἀνατελεῖ.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 29] Ὁ μὴ συμπεριφερόμενος τῷ ἑαυτοῦ οἴκῳ, κληρονομήσει ἄνεμον, δουλεύσει δὲ ἄφρων φρονίμῳ.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 30] Ἐκ καρποῦ δικαιοσύνης φύεται δένδρὅν ζωῆς, ἀφαιροῦνται δὲ ἄωροι ψυχαὶ παρανόμων.
[LXX | EL | OT | Proverbs | Chapter 11 | Verse 31] Εἰ ὁ μὲν δίκαιος μόλις σώζεται, ὁ ἀσεβὴς καὶ ἁμαρτωλὸς ποῦ φανεῖται;
