[LXX | EL | OT | Proverbs | Chapter 23 | Verse 1] Ἐὰν καθίσῃς δειπνεῖν ἐπὶ τραπέζης δυνάστου, νοητῶς νόει τὰ παρατιθέμενά σοι.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 21] Πᾶς γὰρ μέθυσος καὶ πορνοκόπος πτωχεύσει, καὶ ἐνδύσεται διεῤῥηγμένα καὶ ῥακώδη πᾶς ὑπνώδης.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 22] Ἄκουε, υἱὲ, πατρὸς τοῦ γεννήσαντός σε, καὶ μὴ καταφρόνει ὅτι γεγήρακέ σου ἡ μήτηρ.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 24] Καλῶς ἐκτρέφει πατὴρ δίκαιος, ἐπὶ δὲ υἱῷ σοφῷ εὐφραίνεται ἡ ψυχὴ αὐτοῦ.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 25] Εὐφραινέσθω ὁ πατὴρ καὶ ἡ μήτηρ ἐπὶ σοὶ, καὶ χαιρέτω ἡ τεκοῦσά σε.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 26] Δός μοι υἱὲ σὴν καρδίαν, οἱ δὲ σοὶ ὀφθαλμοὶ ἐμὰς ὁδοὺς τηρείτωσαν.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 27] Πίθος γὰρ τετρημένος ἐστὶν ἀλλότριος οἶκος, καὶ φρέαρ στενὸν ἀλλότριον.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 28] Οὗτος γὰρ συντόμως ἀπολεῖται, καὶ πᾶς παράνομος ἀναλωθήσεται.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 29] Τίνι οὐαί; τίνι θόρυβος; τίνι κρίσεις; τίνι δὲ ἀηδίαι καὶ λέσχαι; τίνι συντρίμματα διακενῆς; τίνος πελιδνοὶ οἱ ὀφθαλμοί;
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 30] Οὐ τῶν ἐγχρονιζόντων ἐν οἴνοις; οὐ τῶν ἰχνευόντων ποῦ πότοι γίνονται; μὴ μεθύσκεσθε ἐν οἴνοις, ἀλλὰ ὁμιλεῖτε ἀνθρώποις δικαίοις καὶ ὁμιλεῖτε ἐν περιπάτοις.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 31] Ἐὰν γὰρ εἰς τὰς φιάλας καὶ τὰ ποτήρια δῷς τοὺς ὀφθαλμούς σου, ὕστερον περιπατήσεις γυμνότερος ὑπέρου.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 32] Τὸ δὲ ἔσχατον ὥσπερ ὑπὸ ὄφεως πεπληγὼς ἐκτείνεται, καὶ ὥσπερ ὑπὸ κεράστου διαχεῖται αὐτῷ ὁ ἰός.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 33] Οἱ ὀφθαλμοί σου ὅταν ἴδωσιν ἀλλοτρίαν, τὸ στόμα σου τότε λαλήσει σκολιά.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 34] Καὶ κατακείσῃ ὥσπερ ἐν καρδίᾳ θαλάσσης, καὶ ὥσπερ κυβερνήτης ἐν πολλῷ κλύδωνι.
[LXX | EL | OT | Proverbs | Chapter 23 | Verse 35] Ἐρεῖς δὲ, τύπτουσί με καὶ οὐκ ἐπόνεσα, καὶ ἐνέπαιξάν μοι, ἐγὼ δὲ οὐκ ᾔδειν· πότε ὄρθρος ἔσται, ἵνα ἐλθὼν ζητήσω μεθʼ ὧν συνελεύσομαι;
