[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 1] Καὶ ἐπεσκέψατο Δαυὶδ τὸν λαὸν τὸν μετʼ αὐτοῦ, καὶ κατέστησεν ἐπʼ αὐτῶν χιλιάρχους καὶ ἑκατοντάρχους.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 12] Εἶπε δὲ ὁ ἀνὴρ πρὸς Ἰωὰβ, καὶ ἐγώ εἰμι ἵστημι ἐπὶ τὰς χεῖράς μου χιλίους σίκλους ἀργυρίου, οὐ μὴ ἐπιβάλω τὴν χεῖρά μου ἐπὶ τὸν υἱὸν τοῦ βασιλέως· ὅτι ἐν τοῖς ὠσὶν ἡμῶν ἐνετείλατο ὁ βασιλεύς σοι καὶ τῷ Ἀβεσσὰ καὶ τῷ Ἐθὶ, λέγων, φυλάξατέ μοι τὸ παιδάριον τὸν Ἀβεσσαλὼμ,
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 13] μὴ ποιῆσαι ἐν τῇ ψυχῇ αὐτοῦ ἄδικον· καὶ πᾶς ὁ λόγος οὐ λήσεται ἀπὸ τοῦ βασιλέως, καὶ σὺ στήσῃ ἐξεναντίας.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 14] Καὶ εἶπεν Ἰωὰβ, τοῦτο ἐγὼ ἄρξομαι, οὐχ οὕτως μενῶ ἐνώπιόν σου· καὶ ἔλαβεν Ἰωὰβ τρία βέλη ἐν τῇ χειρὶ αὐτοῦ, καὶ ἐνέπηξεν αὐτὰ ἐν τῇ καρδίᾳ Ἀβεσσαλὼμ, ἔτι αὐτοῦ ζῶντος ἐν τῇ καρδίᾳ τῆς δρυός.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 15] Καὶ ἐκύκλωσαν δέκα παιδάρια αἴροντα τὰ σκεύη Ἰωὰβ, καὶ ἐπάταξαν τὸν Ἀβεσσαλὼμ, καὶ ἐθανάτωσαν αὐτόν.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 16] Καὶ ἐσάλπισεν Ἰωὰβ ἐν κερατίνῃ, καὶ ἀπέστρεψεν ὁ λαὸς τοῦ μὴ διώκειν ὀπίσω Ἰσραὴλ, ὅτι ἐφείδετο Ἰωὰβ τοῦ λαοῦ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 17] Καὶ ἔλαβε τὸν Ἀβεσσαλὼμ, καὶ ἔῤῥιψεν αὐτὸν εἰς χάσμα μέγα ἐν τῷ δρυμῷ εἰς τὸν βόθυνον τὸν μέγαν, καὶ ἐστήλωσεν ἐπʼ αὐτὸν σωρὸν λίθων μέγαν σφόδρα· καὶ πᾶς Ἰσραὴλ ἔφυγεν ἀνὴρ εἰς τὸ σκήνωμα αὐτοῦ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 18] Καὶ Ἀβεσσαλὼμ ἔτι ζῶν ἔλαβε καὶ ἔστησεν ἑαυτῷ τὴν στήλην ἐν ᾗ ἐλήφθη, καὶ ἐστήλωσεν αὐτὴν λαβεῖν τὴν στήλην τὴν ἐν τῇ βασιλέως, ὅτι εἶπεν, ὅτι οὐκ ἔστιν αὐτῷ υἱὸς ἕνεκν τοῦ ἀναμνῆσαι τὸ ὄνομα αὐτοῦ· καὶ ἐκάλεσε τὴν στήλην, Χεὶρ Ἀβεσσαλὼμ, ἕως τῆς ἡμέρας ταύτης.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 19] Καὶ Ἀχιμάας υἱὸς Σαδὼκ εἶπε, δράμω δὴ καὶ εὐαγγελιῶ τῷ βασιλεῖ, ὅτι ἔκρινε Κύριος ἐκ χειρὸς τῶν ἐχθρῶν αὐτοῦ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 20] Καὶ εἶπεν αὐτῷ Ἰωὰβ, οὐκ ἀνὴρ εὐαγγελίας σὺ ἐν τῇ ἡμέρᾳ ταύτῃ, καὶ εὐαγγελιῇ ἐν ἡμέρᾳ ἄλλῃ· ἐν δὲ τῇ ἡμέρᾳ ταύτῃ οὐκ εὐαγγελιῇ, οὗ εἵνεκεν ὁ υἱὸς τοῦ βασιλέως ἀπέθανε.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 21] Καὶ εἶπεν Ἰωὰβ τῷ Χουσὶ, Βαδίσας ἀνάγγειλον τῷ βασιλεῖ ὅσα εἶδες· καὶ προσεκύνησε Χουσεὶ τῷ Ἰωὰβ, καὶ ἐξῆλθε.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 22] Καὶ προσέθετο ἕτι Ἀχιμάας υἱὸς Σαδὼκ, καὶ εἶπε πρὸς Ἰωὰβ, καὶ ἔστω, ὅτι δράμω καί γε ἐγὼ ὀπίσω τοῦ Χουσί· καὶ εἶπεν Ἰωὰβ, ἱνατί σὺ τοῦτο τρέχεις, υἱέ μου; δεῦρο, οὐκ ἔστι σοι εὐαγγέλια εἰς ὠφέλειαν πορευομένῳ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 23] Καὶ εἶπε, τί γὰρ ἐὰν δράμω; καὶ εἶπεν αὐτῷ Ἰωὰβ, δράμε· καὶ ἔδραμεν Ἀχιμάας τὴν ὁδὸν τὴν τοῦ Κεχὰρ, καὶ ὑπερέβη τὸν Χουσί.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 24] Καὶ Δαυὶδ ἐκάθητο ἀναμέσον τῶν δύο πυλῶν· καὶ ἐπορεύθη ὁ σκοπὸς εἰς τὸ δῶμα τῆς πύλης πρὸς τὸ τεῖχος, καὶ ἐπῇρε τοὺς ὀφθαλμοὺς αὐτοῦ, καὶ εἶδε. καὶ ἰδοὺ ἀνὴρ τρέχων μόνος ἐνώπιον αὐτοῦ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 25] Καὶ ἀνεβόησεν ὁ σκοπὸς καὶ ἀπήγγειλε τῷ βασιλεῖ· καὶ εἶπεν ὁ βασιλεὺς, εἰ μόνος ἐστὶν, εὐαγγέλια ἐν τῷ στόματι αὐτοῦ· καὶ ἐπορεύετο πορευόμενος καὶ ἐγγίζων.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 26] Καὶ εἶδεν ὁ σκοπὸς ἄνδρα ἕτερον τρέχοντα· καὶ ἐβόησεν ὁ σκοπὸς πρὸς τῇ πύλῃ, καὶ εἶπε, καὶ ἰδοὺ ἀνὴρ ἕτερος τρέχων μόνος· καὶ εἶπεν ὁ βασιλεὺς, καί γε οὗτος εὐαγγελιζόμενος.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 27] Καὶ εἶπεν ὁ σκοπός, ἐγὼ ὁρῶ τὸν δρόμον τοῦ πρώτου ὡς δρόμον Ἀχιμάας υἱοῦ Σαδώκ· καὶ εἶπεν ὁ βασιλεὺς, ἀνὴρ ἀγαθὸς οὗτος, καί γε εἰς εὐαγγελίαν ἀγαθὴν ἐλεύσεται.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 28] Καὶ ἐβόησεν Ἀχιμάας, καὶ εἶπε πρὸς τὸν βασιλέα, εἰρήνη· καὶ προσεκύνησε τῷ βασιλεῖ ἐπὶ πρόσωπον αὐτοῦ ἐπὶ τὴν γῆν, καὶ εἶπεν, εὐλογητὸς Κύριος ὁ Θεός σου, ὃς ἀπέκλεισε τοὺς ἄνδρας τοὺς ἐπαραμένους τὴν χεῖρα αὐτῶν ἐν τῷ κυρίῳ μου τῷ βασιλεῖ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 29] Καὶ εἶπεν ὁ βασιλεὺς, εἰρήνη τῷ παιδαρίῳ τῷ Ἀβεσσαλώμ; καὶ εἶπεν Ἀχιμάας, εἶδον τὸ πλῆθος τὸ μέγα τοῦ ἀποστεῖλαι τὸν δοῦλον τοῦ βασιλέως Ἰωὰβ καὶ τὸν δοῦλόν σου, καὶ οὐκ ἔγνων τί ἐκεῖ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 30] Καὶ εἶπεν ὁ βασιλεὺς, ἐπίστρεψον, στηλώθητι ὧδε· καὶ ἐπεστράφη, καὶ ἔστη.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 31] Καὶ ἰδοὺ ὁ Χουσὶ παρεγένετο, καὶ εἶπε τῷ βασιλεῖ, εὐαγγελισθήτω ὁ κύριός μου ὁ βασιλεὺς, ὅτι ἔκρινέ σοι Κύριος σήμερον ἐκ χειρὸς πάντων τῶν ἐπεγειρομένων ἐπὶ σέ.
[LXX | EL | OT | 2 Samuel | Chapter 18 | Verse 32] Καὶ εἶπεν ὁ βασιλεὺς πρὸς τὸν Χουσὶ, εἰ εἰρήνη τῷ παιδαρίῳ τῷ Ἀβεσσαλώμ; καὶ εἶπεν ὁ Χουσὶ, γένοιντο ὡς τὸ παιδάριον οἱ ἐχθροὶ τοῦ κυρίου μου τοῦ βασιλέως, καὶ πάντες ὅσοι ἐπανέστησαν ἐπʼ αὐτὸν εἰς κακά.
