[DRA | EN | OT | Genesis | Chapter 24 | Verse 1] Now Abraham was old; and advanced in age: and the Lord had blessed him in all things.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 41] But thou shalt be clear from my curse, when thou shalt come to my kindred, if they will not give thee one.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 42] And I came today to the well of water, and said: O Lord God of my master Abraham, if thou hast prospered my way, wherein I now walk,
[DRA | EN | OT | Genesis | Chapter 24 | Verse 43] Behold I stand by the well of water, and the virgin, that shall come out to draw water, who shall hear me say: Give me a little water to drink of thy pitcher:
[DRA | EN | OT | Genesis | Chapter 24 | Verse 44] And shall say to me: Both drink thou, and I will also draw for thy camels: let the same be the woman, whom the Lord hath prepared for my master’s son.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 45] And whilst I pondered these things secretly with myself, Rebecca appeared coming with a pitcher, which she carried on her shoulder: and she went down to the well and drew water. And I said to her: Give me a little to drink.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 46] And she speedily let down the pitcher from her shoulder, and said to me: Both drink thou, and to thy camels I will give drink. I drank, and she watered the camels.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 47] And I asked her, and said: Whose daughter art thou? And she answered: I am the daughter of Bathuel, the son of Nachor, whom Melcha bore to him. So I put earrings on her to adorn her face, and I put bracelets on her hands.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 48] And falling down I adored the Lord, blessing the Lord God of my master Abraham, who hath brought me the straight way to take the daughter of my master’s brother for his son.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 49] Wherefore if you do according to mercy and truth with my master, tell me: but if it please you otherwise, tell me that also, that I may go to the right hand, or to the left.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 50] And Laban and Bathuel answered: The word hath proceeded from the Lord, we cannot speak any other thing to thee but his pleasure.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 51] Behold Rebecca is before thee, take her and go thy way, and let her be the wife of thy master’s son, as the Lord hath spoken.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 52] Which when Abraham’s servant heard, falling down to the ground he adored the Lord.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 53] And bringing forth vessels of silver and gold, and garments, he gave them to Rebecca for a present. He offered gifts also to her brothers, and to her mother.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 54] And a banquet was made, and they ate and drank together, and lodged there. And in the morning, the servant arose, and said: Let me depart, that I may go to my master.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 55] And her brother and mother answered: Let the maid stay at least ten days with us, and afterwards she shall depart.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 56] Stay me not, said he, because the Lord hath prospered my way: send me away, that I may go to my master.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 57] And they said: Let us call the maid, and ask her will.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 58] And they called her, and when she was come, they asked: Wilt thou go with this man? She said: I will go.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 59] So they sent her away, and her nurse, and Abraham’s servant, and his company,
[DRA | EN | OT | Genesis | Chapter 24 | Verse 60] Wishing prosperity to their sister, and saying: Thou art our sister, mayst thou increase to thousands of thousands, and may thy seed possess the gates of their enemies.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 61] So Rebecca and her maids, being set upon camels, followed the man: who with speed returned to his master.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 62] At the same time Isaac was walking along the way to the well which is called Of the living and the seeing: for he dwelt in the south country.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 63] And he was gone forth to meditate in the field, the day being now well spent: and when he had lifted up his eyes, he saw camels coming afar off.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 64] Rebecca also, when she saw Isaac, lighted off the camel,
[DRA | EN | OT | Genesis | Chapter 24 | Verse 65] And said to the servant: Who is that man who cometh towards us along the field? And he said to her: That man is my master. But she quickly took her cloak, and covered herself.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 66] And the servant told Isaac all that he had done.
[DRA | EN | OT | Genesis | Chapter 24 | Verse 67] Who brought her into the tent of Sara his mother, and took her to wife: and he loved her so much, that it moderated the sorrow which was occasioned by his mother’s death.
