[KJV | EN | OT | Lamentations | Chapter 3 | Verse 1] I am the man that hath seen affliction by the rod of his wrath.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 29] He putteth his mouth in the dust; if so be there may be hope.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 30] He giveth his cheek to him that smiteth him: he is filled full with reproach.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 31] For the Lord will not cast off for ever:
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 32] But though he cause grief, yet will he have compassion according to the multitude of his mercies.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 33] For he doth not afflict willingly nor grieve the children of men.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 34] To crush under his feet all the prisoners of the earth,
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 35] To turn aside the right of a man before the face of the most High,
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 36] To subvert a man in his cause, the Lord approveth not.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 37] Who is he that saith, and it cometh to pass, when the Lord commandeth it not?
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 38] Out of the mouth of the most High proceedeth not evil and good?
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 39] Wherefore doth a living man complain, a man for the punishment of his sins?
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 40] Let us search and try our ways, and turn again to the Lord.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 41] Let us lift up our heart with our hands unto God in the heavens.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 42] We have transgressed and have rebelled: thou hast not pardoned.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 43] Thou hast covered with anger, and persecuted us: thou hast slain, thou hast not pitied.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 44] Thou hast covered thyself with a cloud, that our prayer should not pass through.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 45] Thou hast made us as the offscouring and refuse in the midst of the people.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 46] All our enemies have opened their mouths against us.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 47] Fear and a snare is come upon us, desolation and destruction.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 48] Mine eye runneth down with rivers of water for the destruction of the daughter of my people.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 49] Mine eye trickleth down, and ceaseth not, without any intermission,
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 50] Till the Lord look down, and behold from heaven.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 51] Mine eye affecteth mine heart because of all the daughters of my city.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 52] Mine enemies chased me sore, like a bird, without cause.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 53] They have cut off my life in the dungeon, and cast a stone upon me.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 54] Waters flowed over mine head; then I said, I am cut off.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 55] I called upon thy name, O Lord, out of the low dungeon.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 56] Thou hast heard my voice: hide not thine ear at my breathing, at my cry.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 57] Thou drewest near in the day that I called upon thee: thou saidst, Fear not.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 58] O Lord, thou hast pleaded the causes of my soul; thou hast redeemed my life.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 59] O Lord, thou hast seen my wrong: judge thou my cause.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 60] Thou hast seen all their vengeance and all their imaginations against me.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 61] Thou hast heard their reproach, O Lord, and all their imaginations against me;
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 62] The lips of those that rose up against me, and their device against me all the day.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 63] Behold their sitting down, and their rising up; I am their musick.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 64] Render unto them a recompence, O Lord, according to the work of their hands.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 65] Give them sorrow of heart, thy curse unto them.
[KJV | EN | OT | Lamentations | Chapter 3 | Verse 66] Persecute and destroy them in anger from under the heavens of the Lord.
