[IRV | BN | NT | Mark | Chapter 1 | Verse 1] যীশু খ্রীষ্টের সুসমাচারের শুরু; তিনি ঈশ্বরের পুত্র।
[IRV | BN | NT | Mark | Chapter 1 | Verse 23] তখন তাদের সমাজঘরে একজন লোক ছিল, তাকে মন্দ আত্মায় পেয়েছিল; সে চেঁচিয়ে বলল,
[IRV | BN | NT | Mark | Chapter 1 | Verse 24] “হে নাসরতীয় যীশু, আপনার সঙ্গে আমাদের সম্পর্ক কি? আপনি কি আমাদেরকে ধ্বংস করতে আসলেন? আমি জানি আপনি কে; আপনি ঈশ্বরের সেই পবিত্র ব্যক্তি।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 25] তখন যীশু সেই মন্দ আত্মাকে ধমক দিয়ে বললেন, “চুপ কর, ওর মধ্য থেকে বের হও।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 26] তাতে সেই মন্দ আত্মা তাকে মুচড়ে ধরল এবং খুব জোরে চিৎকার করে তার মধ্য থেকে বের হয়ে গেল।
[IRV | BN | NT | Mark | Chapter 1 | Verse 27] এতে সবাই আশ্চর্য্য হলো, এমনকি, তারা একে অপরকে বলতে লাগলো, “এটা কি? এ কেমন নতুন উপদেশ! উনি ক্ষমতার সঙ্গে মন্দ আত্মাদেরকেও আদেশ দেন, আর তারা ওনার আদেশ মানে।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 28] তাঁর কথা খুব তাড়াতাড়ি গালীল প্রদেশের সবদিকে ছড়িয়ে পড়ল।
[IRV | BN | NT | Mark | Chapter 1 | Verse 29] পরে সমাজঘর থেকে বের হয়ে তখনই তাঁরা যাকোব ও যোহনের সঙ্গে শিমোন ও আন্দ্রিয়ের বাড়িতে গেলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 30] তখন শিমোনের শ্বাশুড়ীর জ্বর হয়েছে বলে শুয়ে ছিলেন; আর তাঁরা দেরী না করে তার কথা যীশুকে বললেন;
[IRV | BN | NT | Mark | Chapter 1 | Verse 31] তখন তিনি কাছে গিয়ে তার হাত ধরে তাকে ওঠালেন। তখন তার জ্বর ছেড়ে গেল, আর যীশু তাঁদের সেবাযত্ন করতে লাগলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 32] পরে সন্ধ্যার দিন, সূর্য্য ডুবে যাওয়ার পর মানুষেরা সব অসুস্থ লোককে এবং ভূতগ্রস্তদের তাঁর কাছে আনল।
[IRV | BN | NT | Mark | Chapter 1 | Verse 33] আর শহরের সমস্ত লোক দরজার কাছে জড়ো হল।
[IRV | BN | NT | Mark | Chapter 1 | Verse 34] তাতে তিনি নানা প্রকার রোগে অসুস্থ অনেক লোককে সুস্থ করলেন এবং অনেক ভূত ছাড়ালেন আর তিনি ভূতদের কথা বলতে দিলেন না, কারণ তারা তাঁকে চিনত যে, তিনি কে।
[IRV | BN | NT | Mark | Chapter 1 | Verse 35] খুব সকালে যখন অন্ধকার ছিল, তিনি উঠে বাইরে গেলেন এবং নির্জন জায়গায় গিয়ে সেখানে প্রার্থনা করলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 36] শিমোন ও তাঁর সঙ্গীরা যারা যীশুর সঙ্গে ছিল তাঁকে খুঁজতে গেলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 37] তাঁকে পেয়ে তারা বললেন, “সবাই আপনার খোঁজ করছে।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 38] তিনি তাঁদেরকে বললেন, “চল, আমরা অন্য জায়গায় যাই, কাছাকাছি কোনো গ্রামে যাই, আমি সেই সব জায়গায় প্রচার করব, কারণ সেইজন্যই আমি এসেছি।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 39] পরে তিনি গালীল দেশের সব জায়গায় লোকদের সমাজঘরে গিয়ে প্রচার করলেন ও ভূত ছাড়াতে লাগলেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 40] একজন কুষ্ঠ রুগী এসে তাঁর কাছে অনুরোধ করে ও হাঁটু গেড়ে বলল, যদি আপনার ইচ্ছা হয়, আমাকে শুদ্ধ করতে পারেন।
[IRV | BN | NT | Mark | Chapter 1 | Verse 41] তিনি করুণার সাথে হাত বাড়িয়ে তাকে স্পর্শ করলেন, তিনি বললেন, “আমার ইচ্ছা, তুমি শুদ্ধ হয়ে যাও।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 42] “সেই মুহূর্তে কুষ্ঠরোগ তাকে ছেড়ে গেল, সে শুদ্ধ হল।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 43] তিনি তাকে কঠোর আদেশ দিয়ে তাড়াতাড়ি পাঠিয়ে দিলেন,
[IRV | BN | NT | Mark | Chapter 1 | Verse 44] যীশু তাকে বললেন, “দেখ, এই কথা কাউকেও কিছু বলো না; কিন্তু যাজকের কাছে গিয়ে নিজেকে দেখাও এবং লোকদের কাছে তোমার বিশুদ্ধ হওয়ার জন্য মোশির দেওয়া আদেশ অনুযায়ী নৈবেদ্য উৎসর্গ কর, তাদের কাছে সাক্ষ্য হওয়ার জন্য যে তুমি সুস্থ হয়েছ।”
[IRV | BN | NT | Mark | Chapter 1 | Verse 45] কিন্তু সে বাইরে গিয়ে সে কথা এমন অধিক ভাবে প্রচার করতে ও চারদিকে বলতে লাগল যে, যীশু আর স্বাধীন ভাবে কোন শহরে ঢুকতে পারলেন না, কিন্তু তাঁকে বাইরে নির্জন জায়গায় থাকতে হলো; আর লোকেরা সব দিক থেকে তাঁর কাছে আসতে লাগল।
