[ERV | EN | OT | Psalms | Chapter 78 | Verse 1] Give ear, O my people, to my law; incline your ears to the words of my mouth.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 37] For their heart was not right with him, neither were they faithful in his covenant.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 38] But he, being full of compassion, forgave their iniquity, and destroyed them not: yea, many a time turned he his anger away, and did not stir up all his wrath.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 39] And he remembered that they were but flesh; a wind that passeth away, and cometh not again.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 40] How oft did they rebel against him in the wilderness, and grieve him in the desert!
[ERV | EN | OT | Psalms | Chapter 78 | Verse 41] And they turned again and tempted God, and provoked the Holy One of Israel.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 42] They remembered not his hand, nor the day when he redeemed them from the adversary.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 43] How he set his signs in Egypt, and his wonders in the field of Zoan;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 44] And turned their rivers into blood, and their streams, that they could not drink.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 45] He sent among them swarms of flies, which devoured them; and frogs, which destroyed them.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 46] He gave also their increase unto the caterpiller, and their labour unto the locust.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 47] He destroyed their vines with hail, and their sycomore trees with frost.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 48] He gave over their cattle also to the hail, and their flocks to hot thunderbolts.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 49] He cast upon them the fierceness of his anger, wrath, and indignation, and trouble, a band of angels of evil.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 50] He made a path for his anger; he spared not their soul from death, but gave their life over to the pestilence;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 51] And smote all the firstborn in Egypt, the chief of their strength in the tents of Ham:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 52] But he led forth his own people like sheep, and guided them in the wilderness like a flock.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 53] And he led them safely, so that they feared not: but the sea overwhelmed their enemies.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 54] And he brought them to the border of his sanctuary, to this mountain, which his right hand had purchased.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 55] He drove out the nations also before them, and allotted them for an inheritance by line, and made the tribes of Israel to dwell in their tents.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 56] Yet they tempted and rebelled against the Most High God, and kept not his testimonies;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 57] But turned back, and dealt treacherously like their fathers: they were turned aside like a deceitful bow.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 58] For they provoked him to anger with their high places, and moved him to jealousy with their graven images.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 59] When God heard this, he was wroth, and greatly abhorred Israel:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 60] So that he forsook the tabernacle of Shiloh, the tent which he placed among men;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 61] And delivered his strength into captivity, and his glory into the adversary’s hand.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 62] He gave his people over also unto the sword; and was wroth with his inheritance.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 63] Fire devoured their young men; and their maidens had no marriage-song.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 64] Their priests fell by the sword; and their widows made no lamentation.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 65] Then the Lord awaked as one out of sleep, like a mighty man that shouteth by reason of wine.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 66] And he smote his adversaries backward: he put them to a perpetual reproach.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 67] Moreover he refused the tent of Joseph, and chose not the tribe of Ephraim;
[ERV | EN | OT | Psalms | Chapter 78 | Verse 68] But chose the tribe of Judah, the mount Zion which he loved.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 69] And he built his sanctuary like the heights, like the earth which he hath established for ever.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 70] He chose David also his servant, and took him from the sheepfolds:
[ERV | EN | OT | Psalms | Chapter 78 | Verse 71] From following the ewes that give suck he brought him, to feed Jacob his people, and Israel his inheritance.
[ERV | EN | OT | Psalms | Chapter 78 | Verse 72] So he fed them according to the integrity of his heart; and guided them by the skilfulness of his hands.
