[IRV | HI | OT | Joshua | Chapter 21 | Verse 1] तब लेवियों के पूर्वजों के घरानों के मुख्य-मुख्य पुरुष एलीआजर याजक, और नून के पुत्र यहोशू, और इस्राएली गोत्रों के पूर्वजों के घरानों के मुख्य-मुख्य पुरुषों के पास आकर
[IRV | HI | OT | Joshua | Chapter 21 | Verse 33] गेर्शोनियों के कुलों के अनुसार उनके सब नगर अपनी-अपनी चराइयों समेत तेरह ठहरे।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 34] फिर बाकी लेवियों, अर्थात् मरारियों के कुलों को जबूलून के गोत्र के भाग में से अपनी-अपनी चराइयों समेत योकनाम, कर्ता,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 35] दिम्ना, और नहलाल; ये चार नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 36] और रूबेन के गोत्र के भाग में से अपनी-अपनी चराइयों समेत बेसेर, यहस,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 37] कदेमोत, और मेपात; ये चार नगर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 38] और गाद के गोत्र के भाग में से अपनी-अपनी चराइयों समेत खूनी के शरणनगर गिलाद में का रामोत, फिर महनैम,
[IRV | HI | OT | Joshua | Chapter 21 | Verse 39] हेशबोन, और याजेर, जो सब मिलाकर चार नगर हैं दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 40] लेवियों के बाकी कुलों अर्थात् मरारियों के कुलों के अनुसार उनके सब नगर ये ही ठहरे, इस प्रकार उनको बारह नगर चिट्ठी डाल डालकर दिए गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 41] इस्राएलियों की निज भूमि के बीच लेवियों के सब नगर अपनी-अपनी चराइयों समेत अड़तालीस ठहरे।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 42] ये सब नगर अपने-अपने चारों ओर की चराइयों के साथ ठहरे; इन सब नगरों की यही दशा थी।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 43] इस प्रकार यहोवा ने इस्राएलियों को वह सारा देश दिया, जिसे उसने उनके पूर्वजों से शपथ खाकर देने को कहा था; और वे उसके अधिकारी होकर उसमें बस गए।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 44] और यहोवा ने उन सब बातों के अनुसार, जो उसने उनके पूर्वजों से शपथ खाकर कही थीं, उन्हें चारों ओर से विश्राम दिया; और उनके शत्रुओं में से कोई भी उनके सामने टिक न सका; यहोवा ने उन सभी को उनके वश में कर दिया।
[IRV | HI | OT | Joshua | Chapter 21 | Verse 45] जितनी भलाई की बातें यहोवा ने इस्राएल के घराने से कही थीं उनमें से कोई भी बात न छूटी; सब की सब पूरी हुईं।
