[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 1] In the four hundred and eightieth year after the children of Israel had come out of the land of Egypt, in the fourth year of Solomon’s reign over Israel, in the month Ziv, which is the second month, he began to build the LORD’s house.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 16] He built twenty cubits of the back part of the house with boards of cedar from the floor to the ceiling. He built this within, for an inner sanctuary, even for the most holy place.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 17] In front of the temple sanctuary was forty cubits long.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 18] There was cedar on the house within, carved with buds and open flowers. All was cedar. No stone was visible.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 19] He prepared an inner sanctuary in the middle of the house within, to set the ark of the LORD’s covenant there.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 20] Within the inner sanctuary was twenty cubits in length, and twenty cubits in width, and twenty cubits in its height. He overlaid it with pure gold. He covered the altar with cedar.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 21] So Solomon overlaid the house within with pure gold. He drew chains of gold across before the inner sanctuary, and he overlaid it with gold.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 22] He overlaid the whole house with gold, until all the house was finished. He also overlaid the whole altar that belonged to the inner sanctuary with gold.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 23] In the inner sanctuary he made two cherubim of olive wood, each ten cubits high.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 24] Five cubits was the length of one wing of the cherub, and five cubits was the length of the other wing of the cherub. From the tip of one wing to the tip of the other was ten cubits.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 25] The other cherub was ten cubits. Both the cherubim were of one measure and one form.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 26] One cherub was ten cubits high, and so was the other cherub.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 27] He set the cherubim within the inner house. The wings of the cherubim were stretched out, so that the wing of the one touched the one wall and the wing of the other cherub touched the other wall; and their wings touched one another in the middle of the house.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 28] He overlaid the cherubim with gold.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 29] He carved all the walls of the house around with carved figures of cherubim, palm trees, and open flowers, inside and outside.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 30] He overlaid the floor of the house with gold, inside and outside.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 31] For the entrance of the inner sanctuary, he made doors of olive wood. The lintel and door posts were a fifth part of the wall.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 32] So he made two doors of olive wood; and he carved on them carvings of cherubim, palm trees, and open flowers, and overlaid them with gold. He spread the gold on the cherubim and on the palm trees.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 33] He also made the entrance of the temple door posts of olive wood, out of a fourth part of the wall,
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 34] and two doors of cypress wood. The two leaves of the one door were folding, and the two leaves of the other door were folding.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 35] He carved cherubim, palm trees, and open flowers; and he overlaid them with gold fitted on the engraved work.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 36] He built the inner court with three courses of cut stone and a course of cedar beams.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 37] The foundation of the LORD’s house was laid in the fourth year, in the month Ziv.
[WEB | EN | OT | 1 Kings | Chapter 6 | Verse 38] In the eleventh year, in the month Bul, which is the eighth month, the house was finished throughout all its parts and according to all its specifications. So he spent seven years building it.
