[ASV | EN | OT | Numbers | Chapter 7 | Verse 1] And it came to pass on the day that Moses had made an end of setting up the tabernacle, and had anointed it and sanctified it, and all the furniture thereof, and the altar and all the vessels thereof, and had anointed them and sanctified them;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 49] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 50] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 51] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 52] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 53] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Elishama the son of Ammihud.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 54] On the eighth day Gamaliel the son of Pedahzur, prince of the children of Manasseh:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 55] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 56] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 57] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 58] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 59] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Gamaliel the son of Pedahzur.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 60] On the ninth day Abidan the son of Gideoni, prince of the children of Benjamin:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 61] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 62] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 63] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 64] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 65] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Abidan the son of Gideoni.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 66] On the tenth day Ahiezer the son of Ammishaddai, prince of the children of Dan:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 67] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 68] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 69] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 70] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 71] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Ahiezer the son of Ammishaddai.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 72] On the eleventh day Pagiel the son of Ochran, prince of the children of Asher:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 73] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 74] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 75] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 76] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 77] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Pagiel the son of Ochran.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 78] On the twelfth day Ahira the son of Enan, prince of the children of Naphtali:
[ASV | EN | OT | Numbers | Chapter 7 | Verse 79] his oblation was one silver platter, the weight whereof was a hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meal offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 80] one golden spoon of ten shekels, full of incense;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 81] one young bullock, one ram, one he-lamb a year old, for a burnt offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 82] one male of the goats for a sin offering;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 83] and for the sacrifice of peace offerings, two oxen, five rams, five he-goats, five he-lambs a year old: this was the oblation of Ahira the son of Enan.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 84] This was the dedication of the altar, in the day when it was anointed, by the princes of Israel: twelve silver platters, twelve silver bowls, twelve golden spoons;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 85] each silver platter weighing a hundred and thirty shekels, and each bowl seventy; all the silver of the vessels two thousand and four hundred shekels, after the shekel of the sanctuary;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 86] the twelve golden spoons, full of incense, weighing ten shekels apiece, after the shekel of the sanctuary; all the gold of the spoons a hundred and twenty shekels;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 87] all the oxen for the burnt offering twelve bullocks, the rams twelve, the he-lambs a year old twelve, and their meal offering; and the males of the goats for a sin offering twelve;
[ASV | EN | OT | Numbers | Chapter 7 | Verse 88] and all the oxen for the sacrifice of peace offerings twenty and four bullocks, the rams sixty, the he-goats sixty, the he-lambs a year old sixty. This was the dedication of the altar, after that it was anointed.
[ASV | EN | OT | Numbers | Chapter 7 | Verse 89] And when Moses went into the tent of meeting to speak with him, then he heard the Voice speaking unto him from above the mercy seat that was upon the ark of the testimony, from between the two cherubim: and he spake unto him.
