[ASV | EN | OT | Numbers | Chapter 1 | Verse 1] And Jehovah spake unto Moses in the wilderness of Sinai, in the tent of meeting, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,
[ASV | EN | OT | Numbers | Chapter 1 | Verse 34] Of the children of Manasseh, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 35] those that were numbered of them, of the tribe of Manasseh, were thirty and two thousand and two hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 36] Of the children of Benjamin, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 37] those that were numbered of them, of the tribe of Benjamin, were thirty and five thousand and four hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 38] Of the children of Dan, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 39] those that were numbered of them, of the tribe of Dan, were threescore and two thousand and seven hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 40] Of the children of Asher, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 41] those that were numbered of them, of the tribe of Asher, were forty and one thousand and five hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 42] Of the children of Naphtali, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 43] those that were numbered of them, of the tribe of Naphtali, were fifty and three thousand and four hundred.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 44] These are they that were numbered, whom Moses and Aaron numbered, and the princes of Israel, being twelve men: they were each one for his fathers’ house.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 45] So all they that were numbered of the children of Israel by their fathers’ houses, from twenty years old and upward, all that were able to go forth to war in Israel;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 46] even all they that were numbered were six hundred thousand and three thousand and five hundred and fifty.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 47] But the Levites after the tribe of their fathers were not numbered among them.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 48] For Jehovah spake unto Moses, saying,
[ASV | EN | OT | Numbers | Chapter 1 | Verse 49] Only the tribe of Levi thou shalt not number, neither shalt thou take the sum of them among the children of Israel;
[ASV | EN | OT | Numbers | Chapter 1 | Verse 50] but appoint thou the Levites over the tabernacle of the testimony, and over all the furniture thereof, and over all that belongeth to it: they shall bear the tabernacle, and all the furniture thereof; and they shall minister unto it, and shall encamp round about the tabernacle.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 51] And when the tabernacle setteth forward, the Levites shall take it down; and when the tabernacle is to be pitched, the Levites shall set it up: and the stranger that cometh nigh shall be put to death.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 52] And the children of Israel shall pitch their tents, every man by his own camp, and every man by his own standard, according to their hosts.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 53] But the Levites shall encamp round about the tabernacle of the testimony, that there be no wrath upon the congregation of the children of Israel: and the Levites shall keep the charge of the tabernacle of the testimony.
[ASV | EN | OT | Numbers | Chapter 1 | Verse 54] Thus did the children of Israel; according to all that Jehovah commanded Moses, so did they.
