[ASV | EN | OT | Numbers | Chapter 33 | Verse 1] These are the journeys of the children of Israel, when they went forth out of the land of Egypt by their hosts under the hand of Moses and Aaron.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 42] And they journeyed from Zalmonah, and encamped in Punon.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 43] And they journeyed from Punon, and encamped in Oboth.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 44] And they journeyed from Oboth, and encamped in Iye-abarim, in the border of Moab.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 45] And they journeyed from Iyim, and encamped in Dibon-gad.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 46] And they journeyed from Dibon-gad, and encamped in Almon-diblathaim.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 47] And they journeyed from Almon-diblathaim, and encamped in the mountains of Abarim, before Nebo.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 48] And they journeyed from the mountains of Abarim, and encamped in the plains of Moab by the Jordan at Jericho.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 49] And they encamped by the Jordan, from Beth-jeshimoth even unto Abel-shittim in the plains of Moab.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 50] And Jehovah spake unto Moses in the plains of Moab by the Jordan at Jericho, saying,
[ASV | EN | OT | Numbers | Chapter 33 | Verse 51] Speak unto the children of Israel, and say unto them, When ye pass over the Jordan into the land of Canaan,
[ASV | EN | OT | Numbers | Chapter 33 | Verse 52] then ye shall drive out all the inhabitants of the land from before you, and destroy all their figured stones, and destroy all their molten images, and demolish all their high places:
[ASV | EN | OT | Numbers | Chapter 33 | Verse 53] and ye shall take possession of the land, and dwell therein; for unto you have I given the land to possess it.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 54] And ye shall inherit the land by lot according to your families; to the more ye shall give the more inheritance, and to the fewer thou shalt give the less inheritance: wheresoever the lot falleth to any man, that shall be his; according to the tribes of your fathers shall ye inherit.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 55] But if ye will not drive out the inhabitants of the land from before you, then shall those that ye let remain of them be as pricks in your eyes, and as thorns in your sides, and they shall vex you in the land wherein ye dwell.
[ASV | EN | OT | Numbers | Chapter 33 | Verse 56] And it shall come to pass, that, as I thought to do unto them, so will I do unto you.
