[ASV | EN | OT | Numbers | Chapter 29 | Verse 1] And in the seventh month, on the first day of the month, ye shall have a holy convocation; ye shall do no servile work: it is a day of blowing of trumpets unto you.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 26] And on the fifth day nine bullocks, two rams, fourteen he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 27] and their meal offering and their drink offerings for the bullocks, for the rams, and for the lambs, according to their number, after the ordinance;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 28] and one he-goat for a sin offering; besides the continual burnt offering, and the meal offering thereof, and the drink offering thereof.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 29] And on the sixth day eight bullocks, two rams, fourteen he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 30] and their meal offering and their drink offerings for the bullocks, for the rams, and for the lambs, according to their number, after the ordinance;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 31] and one he-goat for a sin offering; besides the continual burnt offering, the meal offering thereof, and the drink offerings thereof.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 32] And on the seventh day seven bullocks, two rams, fourteen he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 33] and their meal offering and their drink offerings for the bullocks, for the rams, and for the lambs, according to their number, after the ordinance;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 34] and one he-goat for a sin offering; besides the continual burnt offering, the meal offering thereof, and the drink offering thereof.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 35] On the eighth day ye shall have a solemn assembly: ye shall do no servile work;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 36] but ye shall offer a burnt offering, an offering made by fire, of a sweet savor unto Jehovah: one bullock, one ram, seven he-lambs a year old without blemish;
[ASV | EN | OT | Numbers | Chapter 29 | Verse 37] their meal offering and their drink offerings for the bullock, for the ram, and for the lambs, shall be according to their number, after the ordinance:
[ASV | EN | OT | Numbers | Chapter 29 | Verse 38] and one he-goat for a sin offering; besides the continual burnt offering, and the meal offering thereof, and the drink offering thereof.
[ASV | EN | OT | Numbers | Chapter 29 | Verse 39] These ye shall offer unto Jehovah in your set feasts, besides your vows, and your freewill offerings, for your burnt offerings, and for your meal offerings, and for your drink offerings, and for your peace offerings.
