[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 1] কিন্তু ভাইয়েরা বিশেষ বিশেষ কালের ও দিনের র বিষয়ে তোমাদেরকে কিছু লেখা অপ্রয়োজনীয়।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 12] কিন্তু, হে ভাইয়েরা, আমরা তোমাদেরকে নিবেদন করছি; যাঁরা তোমাদের মধ্যে পরিশ্রম করেন ও প্রভুতে তোমাদের উপরে নিযুক্ত আছেন এবং তোমাদেরকে চেতনা দেন, তাঁদেরকে সম্মান দাও,
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 13] আর তাঁদের কাজের জন্য তাঁদেরকে প্রেমে অতিশয় সমাদর কর। নিজেদের মধ্যে শান্তি রাখো।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 14] আর, হে ভাইয়েরা, আমরা তোমাদেরকে বিনয় করছি যারা অলস ব্যক্তি, তাদেরকে চেতনা দাও, ভিরুতাদের স্বান্তনা দাও, দুর্বলদের সাহায্য কর, সবার জন্য ধৈর্য্যশীল হও।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 15] দেখ, যেন অপকারের প্রতিশোধে কেউ কারোরও অপকার না কর, কিন্তু একে অপরের এবং সবার প্রতি সবদিন ভালো ব্যবহার করার চেষ্টা কর।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 16] সবদিন আনন্দ কর; সবদিন প্রার্থনা কর;
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 17] <range>
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 18] সব বিষয়ে ধন্যবাদ কর; কারণ খ্রীষ্ট যীশুতে এটাই তোমাদের প্রতি ঈশ্বরের ইচ্ছা।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 19] পবিত্র আত্মাকে নিভিয়ে দিও না।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 20] ভাববাণী তুচ্ছ করো না। সব বিষয়ে পরীক্ষা কর; যা ভালো, তা ধরে রাখো।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 21] <range>
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 22] সব রকম মন্দ বিষয় থেকে দূরে থাকো।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 23] শান্তির ঈশ্বর নিজেই তোমাদেরকে সব রকম ভাবে পবিত্র করুন; এবং তোমাদের সমস্ত আত্মা, প্রাণ ও দেহ আমাদের প্রভু যীশু খ্রীষ্টের আসার দিন অনিন্দনীয়রূপে রক্ষিত হোক।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 24] যিনি তোমাদেরকে ডাকেন, তিনি বিশ্বস্ত, তিনিই তা করবেন।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 25] ভাইয়েরা, আমাদের জন্য প্রার্থনা কর।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 26] সব ভাইকে পবিত্র চুম্বনে শুভেচ্ছা জানাও।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 27] আমি তোমাদেরকে প্রভুর নামে বলছি, সব ভাইয়ের কাছে যেন এই চিঠি পড়ে শোনানো হয়।
[IRV | BN | NT | 1 Thessalonians | Chapter 5 | Verse 28] আমাদের প্রভু যীশু খ্রীষ্টের অনুগ্রহ তোমাদের সঙ্গে থাকুক।
