[IRV | GU | OT | Ezra | Chapter 2 | Verse 1] બાબિલનો રાજા નબૂખાદનેસ્સાર યહૂદિયાના જે લોકોને બંદીવાન કરીને બાબિલ લઈ ગયો હતો, તેઓમાંના રાજાની ગુલામીમાંથી જે મુક્ત થઈને યરુશાલેમમાં તથા યહૂદિયામાં પોતપોતાનાં નગરમાં પાછા આવ્યા તે માણસોનાં નામ આ પ્રમાણે છે:
[IRV | GU | OT | Ezra | Chapter 2 | Verse 16] આટેરમાંના, હિઝકિયાના વંશજો: અઠ્ઠાણું.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 17] બેસાયના વંશજો: ત્રણસો ત્રેવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 18] યોરાના વંશજો: એકસો બાર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 19] હાશુમના લોકો: બસો ત્રેવીસ
[IRV | GU | OT | Ezra | Chapter 2 | Verse 20] ગિબ્બારના લોકો: પંચાણું.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 21] બેથલેહેમના લોકો: એકસો ત્રેવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 22] નટોફાના લોકો: છપ્પન.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 23] અનાથોથના લોકો: એકસો અઠ્ઠાવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 24] આઝમાવેથના લોકો: બેતાળીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 25] કિર્યાથ-યારીમ, કફીરા અને બેરોથના લોકો: સાતસો તેંતાળીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 26] રામા અને ગેબાના લોકો: છસો એકવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 27] મિખ્માશના લોકો: એકસો બાવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 28] બેથેલ અને આયના લોકો: બસો ત્રેવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 29] નબોના લોકો: બાવન.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 30] માગ્બીશના લોકો: એકસો છપ્પન.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 31] બીજા એલામના લોકો: એક હજાર બસો ચોપન.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 32] હારીમના લોકો: ત્રણસો વીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 33] લોદ, હાદીદ અને ઓનોના લોકો: સાતસો પચીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 34] યરીખોના લોકો: ત્રણસો પિસ્તાળીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 35] સનાઆહના લોકો: ત્રણ હજાર છસો ત્રીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 36] યાજકોનાં નામ આ પ્રમાણે છે: યેશૂઆના કુટુંબના, યદાયાના વંશજો: નવસો તોંતેર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 37] ઈમ્મેરના વંશજો: એક હજાર બાવન.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 38] પાશહૂરના વંશજો: એક હજાર બસો સુડતાળીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 39] હારીમના વંશજો: એક હજાર સત્તર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 40] લેવીઓના નામ આ પ્રમાણે છે: હોદાવ્યાના અને યેશૂઆના તથા કાદમીએલના વંશજો: ચુંમોતેર.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 41] ભક્તિસ્થાનના ગાનારાઓ આ પ્રમાણે છે: આસાફના વંશજો એકસો અઠ્ઠાવીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 42] ભક્તિસ્થાનના દ્વારપાળો: શાલ્લુમ, આટેર, ટાલ્મોન, આક્કુબ, હટીટા અને શોબાયના વંશજો: કુલ એકસો ઓગણચાળીસ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 43] ભક્તિસ્થાનમાં સેવા કરવા માટે નિયુક્ત કરાયેલા: સીહા, હસૂફા, ટાબ્બાઓથ,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 44] કેરોસ, સીહા, પાદોન,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 45] લબાના, હગાબા, આક્કુબ,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 46] હાગાબા, શામ્લાય, અને હાનાનના વંશજો.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 47] ગિદ્દેલ, ગહાર, રાયા,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 48] રસીન, નકોદા, ગાઝ્ઝામ,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 49] ઉઝઝા, પાસેઆ, બેસાઈ,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 50] આસના, મેઉનીમ, નફીસીમના વંશજો.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 51] બાકબુક, હાકૂફા અને હાર્હૂર,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 52] બાસ્લુથ, મહિદા, હાર્શા,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 53] બાર્કોસ, સીસરા, તેમા,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 54] નસીઆ અને હટીફાના વંશજો.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 55] સુલેમાનના સેવકોના વંશજો: સોટાય, હાસ્સોફેદેથ, પરૂદા,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 56] યાઅલાહ, દાર્કોન અને ગિદ્દેલ,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 57] શફાટયા, હાટ્ટીલ, પોખરેથ-હાસ્સબાઈમ અને આમીના વંશજો.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 58] ભક્તિસ્થાનમાં સેવા કરવા માટે નિયુક્ત કરાયેલા અને સુલેમાનના સેવકોના વંશજો: કુલ ત્રણસો બાણું હતા.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 59] તેલ-મેલાહ, તેલ હાર્શા, કરુબ, અદાન તથા ઈમ્મેરમાંથી પાછા આવેલા જેઓ ઇઝરાયલીઓમાંના પોતાના પૂર્વજોની વંશાવળી સાબિત કરી શક્યા નહિ, તેઓનાં નામ આ પ્રમાણે છે:
[IRV | GU | OT | Ezra | Chapter 2 | Verse 60] દલાયા, ટોબિયા, અને નકોદાના વંશજો: છસો બાવન,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 61] યાજકોના વંશજોમાંના: હબાયાના વંશજો, હાક્કોસના વંશજો અને બાર્ઝિલ્લાય કે જેણે ગિલ્યાદી બાર્ઝિલ્લાયની દીકરીઓમાંથી એકની સાથે લગ્ન કર્યું હતું અને તેથી તેનું નામ બાર્ઝિલ્લાય પડ્યું હતું તેના વંશજો.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 62] તેઓએ સર્વ વંશાવળીમાં તપાસ કરી પણ તેઓનાં નામ મળ્યાં નહિ. તેઓએ યાજકપદપણાને ભ્રષ્ટ કર્યું તેથી
[IRV | GU | OT | Ezra | Chapter 2 | Verse 63] સૂબાએ તેઓને કહ્યું કે, ઉરીમ અને તુમ્મીમ દ્વારા મંજુર કરવામાં ન આવે ત્યાં સુધી પરમપવિત્ર અર્પણોમાંથી તેઓએ ખાવું નહિ.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 64] સમગ્ર પ્રજાની કુલ સંખ્યા બેતાળીસ હજાર ત્રણસો સાઠ હતી.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 65] તે ઉપરાંત તેઓનાં દાસો તથા દાસીઓ સાત હજાર ત્રણસો સાડત્રીસ હતા અને તેઓમાં ભક્તિસ્થાનમાં ગાયક સ્ત્રી પુરુષોની સંખ્યા બસો હતી.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 66] તેઓનાં જાનવરોમાં, સાતસો છત્રીસ ઘોડા, બસો પિસ્તાળીસ ખચ્ચરો,
[IRV | GU | OT | Ezra | Chapter 2 | Verse 67] ચારસો પાંત્રીસ ઊંટો અને છ હજાર સાતસો વીસ ગધેડાં હતાં.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 68] જયારે તેઓ યરુશાલેમમાં, યહોવાહના ઘરમાં ગયા, ત્યારે પિતૃઓના કુટુંબોમાંથી કેટલાક વડીલોએ, સભાસ્થાનને તેની જગ્યાએ પુનઃસ્થાપિત કરવા માટે તેઓએ રાજીખુશીથી અર્પણો આપ્યાં.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 69] તેઓએ પોતાની શક્તિ પ્રમાણે બાંધકામને માટે એકસઠ હજાર દારીક સોનું, પાંચ હજાર માનેહ ચાંદી અને યાજકના સો ગણવેશ આપ્યાં.
[IRV | GU | OT | Ezra | Chapter 2 | Verse 70] યાજકો, લેવીઓ, બીજા કેટલાક લોકો, ગાનારાઓ, દ્વારપાળો તથા ભક્તિસ્થાનમાં સેવા માટે નિયુક્ત કરવામાં આવેલા સેવકોએ, તેમના નગરોમાં વસવાટ કર્યો. સર્વ ઇઝરાયલીઓ પોતપોતાનાં નગરોમાં વસ્યા.
