[IRV | KN | NT | Ephesians | Chapter 4 | Verse 1] ನೀವು ದೇವರಿಂದ ಕರೆಯಲ್ಪಟ್ಟವರಾದ ಕಾರಣ ಆ ಕರೆಗೆ ಯೋಗ್ಯರಾಗಿ ಜೀವಿಸಬೇಕೆಂದು, ಕರ್ತನ ಸೇವೆಯಲ್ಲಿ ಸೆರೆಯವನಾದ ನಾನು ನಿಮ್ಮನ್ನು ಬೇಡಿಕೊಳ್ಳುತ್ತೇನೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 12] ನಾವೆಲ್ಲರೂ ನಂಬಿಕೆಯಿಂದಲೂ ದೇವಕುಮಾರನ ವಿಷಯವಾದ ಜ್ಞಾನದಿಂದಲೂ ಉಂಟಾಗುವ ಐಕ್ಯತೆಯನ್ನು ಹೊಂದಿ, ಪರಿಪಕ್ವತೆಯನ್ನು ಪಡೆದು, ಕ್ರಿಸ್ತನ ಪರಿಪೂರ್ಣತೆಯ ಮಟ್ಟವನ್ನು ತಲುಪುವ ತನಕ,
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 13] ದೇವಜನರನ್ನು ದೇವರ ಸೇವೆಗೆ ಸಿದ್ಧಗೊಳಿಸುವುದಕ್ಕೂ, ಕ್ರಿಸ್ತನ ದೇಹವೆಂಬ ಸಭೆಯು ಅಭಿವೃದ್ಧಿಯಾಗುವುದಕ್ಕೋಸ್ಕರವೂ ಆತನು ಇವರನ್ನು ನೇಮಿಸಿದನು.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 14] ಆದ್ದರಿಂದ ನಾವು ಇನ್ನು ಮೇಲೆ ಕೂಸುಗಳಾಗಿರದೇ, ದುರ್ಜನರ ವಂಚನೆಗಳಿಗೂ, ಕುಯುಕ್ತಿಗೂ ಒಳಬಿದ್ದು, ನಾನಾ ಉಪದೇಶಗಳಿಂದ ಕಂಗೆಟ್ಟು ಗಾಳಿಯಿಂದ ಅತ್ತಿತ್ತ ಓಲಾಡುವವರ ಹಾಗಿರದೇ,
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 15] ಪ್ರೀತಿಯಲ್ಲಿ ಸತ್ಯವನ್ನು ಮಾತನಾಡುತ್ತಾ ಎಲ್ಲಾ ವಿಷಯಗಳಲ್ಲಿಯೂ ತಲೆಯಾಗಿರುವ ಕ್ರಿಸ್ತನಲ್ಲಿ ಬೆಳೆಯುವವರಾಗಿರೋಣ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 16] ದೇಹವೆಲ್ಲಾ ಆತನ ಮುಖಾಂತರ ಪ್ರತಿ ಕೀಲಿನಿಂದ ಬಿಗಿಯಾಗಿ ಜೋಡಿಸಲ್ಪಟ್ಟು ಐಕ್ಯವಾಗಿದ್ದು, ಪ್ರತಿಯೊಂದು ಅಂಗವು ತನ್ನ ಕೆಲಸವನ್ನು ಮಾಡುವುದರಿಂದ ದೇಹವು ಪ್ರೀತಿಯಲ್ಲಿ ಬೆಳೆದು ಕ್ಷೇಮಾಭಿವೃದ್ಧಿಯನ್ನು ಹೊಂದುತ್ತದೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 17] ಆದ್ದರಿಂದ ನಾನು ಕರ್ತನಲ್ಲಿ ಹೇಳುವುದೇನಂದರೆ ಅನ್ಯಜನರು ನಡೆದುಕೊಳ್ಳುವ ಹಾಗೆ ನೀವು ಇನ್ನು ಮುಂದೆ ನಡೆದುಕೊಳ್ಳಬಾರದು. ಅವರು ನಿಷ್ಪ್ರಯೋಜನವಾದ ಬುದ್ಧಿಯುಳ್ಳವರಾಗಿ ನಡೆದುಕೊಳ್ಳುತ್ತಾರೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 18] ಅವರ ಮನಸ್ಸಿಗೆ ಕತ್ತಲು ಕವಿದಿದೆ, ಅವರು ತಮ್ಮ ಕಠಿಣವಾದ ಹೃದಯದ ನಿಮಿತ್ತದಿಂದಲೂ ಮತ್ತು ತಮ್ಮಲ್ಲಿರುವ ಅಜ್ಞಾನದ ನಿಮಿತ್ತದಿಂದಲೂ ದೇವರಿಂದಾಗುವ ಜೀವಕ್ಕೆ ದೂರವಾಗಿದ್ದಾರೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 19] ಅವರು ಲಜ್ಜೆಗೆಟ್ಟವರಾಗಿ ತಮ್ಮನ್ನು ಬಂಡುತನಕ್ಕೆ ಒಪ್ಪಿಸಿಕೊಟ್ಟು ಎಲ್ಲಾ ವಿಧವಾದ ಅಶುದ್ಧ ಕೃತ್ಯಗಳನ್ನು ಅತ್ಯಾಶೆಯಿಂದ ನಡೆಸುವವರಾಗಿದ್ದಾರೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 20] ನೀವಾದರೋ ಕ್ರಿಸ್ತನ ಬೋಧನೆಯನ್ನು ಅಂಥದೆಂದು ಕಲಿತುಕೊಳ್ಳಲಿಲ್ಲ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 21] ಆತನಿಂದಲೇ ಕೇಳಿ ಆತನಲ್ಲಿಯೇ ಉಪದೇಶವನ್ನು ಹೊಂದಿದ್ದೀರಲ್ಲಾ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 22] ಯೇಸುವಿನಲ್ಲಿರುವ ಸತ್ಯೋಪದೇಶವು ಯಾವುದೆಂದರೆ ನೀವು ನಿಮ್ಮ ಹಿಂದಿನ ನಡತೆಯನ್ನು ಅನುಸರಿಸದೇ ಪೂರ್ವಸ್ವಭಾವವನ್ನು ತೆಗೆದುಹಾಕಿಬಿಡಬೇಕು. ಅದು ಮೋಸಕರವಾದ ದುರಾಶೆಗಳಿಂದ ಕೆಟ್ಟುಹೋಗುವಂಥದ್ದು.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 23] ನೀವು ನಿಮ್ಮ ಹೃನ್ಮನಗಳನ್ನು ನವೀಕರಿಸಿ, ನೂತನ ಸ್ವಭಾವವನ್ನು ಧರಿಸಿಕೊಳ್ಳಿರಿ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 24] ಆ ಸ್ವಭಾವವು ದೇವರ ಹೋಲಿಕೆಯ ಮೇರೆಗೆ ಸತ್ಯಕ್ಕನುಗುಣವಾಗಿ ನೀತಿಯುಳ್ಳದ್ದಾಗಿಯೂ, ಪರಿಶುದ್ಧತೆಯುಳ್ಳದ್ದಾಗಿಯೂ ನಿರ್ಮಿಸಲ್ಪಟ್ಟಿದೆ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 25] ಆದಕಾರಣ ಸುಳ್ಳಾಡುವುದನ್ನು ಬಿಟ್ಟುಬಿಟ್ಟು “ಪ್ರತಿಯೊಬ್ಬನು ತನ್ನ ನೆರೆಯವನ ಸಂಗಡ ಸತ್ಯವನ್ನೇ ನುಡಿಯಲಿ.” ಏಕೆಂದರೆ ನಾವು ಪ್ರತಿಯೊಬ್ಬರೂ ಒಂದೇ ದೇಹದ ಅಂಗಗಳಾಗಿದ್ದೇವಲ್ಲಾ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 26] “ಕೋಪಗೊಳ್ಳಬೇಕಾಗಿ ಬಂದರೂ ಪಾಪಮಾಡಬೇಡಿರಿ,” ಸೂರ್ಯನು ಮುಳುಗುವುದಕ್ಕಿಂತ ಮೊದಲೇ ನಿಮ್ಮ ಸಿಟ್ಟು ತೀರಿಹೋಗಲಿ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 27] ಸೈತಾನನಿಗೆ ಅವಕಾಶಕೊಡಬೇಡಿರಿ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 28] ಕಳವು ಮಾಡುವವನು ಇನ್ನು ಮುಂದೆ ಕಳವು ಮಾಡದೇ ಸ್ವಂತ ಕೈಯಿಂದ ಒಳ್ಳೇ ಉದ್ಯೋಗವನ್ನು ಮಾಡಿ ದುಡಿಯಲಿ. ಆಗ ಕೊರತೆಯಲ್ಲಿರುವವರಿಗೆ ಕೊಡುವುದಕ್ಕೆ ಅವನಿಂದಾಗುವದು.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 29] ನಿಮ್ಮ ಬಾಯೊಳಗಿಂದ ಯಾವ ಕೆಟ್ಟ ಮಾತು ಹೊರಡಬಾರದು. ಭಕ್ತಿಯನ್ನು ವೃದ್ಧಿ ಮಾಡುವಂತಹ ಸಮಯೋಚಿತವಾದ ಮಾತನ್ನು ಆಡಿದರೆ ಕೇಳುವವರಿಗೆ ಹಿತವಾಗಿ ತೋರುವುದು.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 30] ದೇವರ ಪವಿತ್ರಾತ್ಮನನ್ನು ದುಃಖಪಡಿಸಬೇಡಿರಿ. ಆತನಲ್ಲಿಯೇ ವಿಮೋಚನೆಯ ದಿನಕ್ಕಾಗಿ ಮುದ್ರೆ ಹೊಂದಿದ್ದೀರಲ್ಲಾ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 31] ಎಲ್ಲಾ ದ್ವೇಷ, ಕೋಪ, ಕ್ರೋಧ, ಕಲಹ, ದೂಷಣೆ ಇವುಗಳನ್ನೂ ಸಕಲ ವಿಧವಾದ ದುಷ್ಟತನಗಳನ್ನೂ ನಿಮ್ಮಿಂದ ದೂರ ಮಾಡಿರಿ.
[IRV | KN | NT | Ephesians | Chapter 4 | Verse 32] ಒಬ್ಬರಿಗೊಬ್ಬರು ದಯೆಯುಳ್ಳವರಾಗಿಯೂ, ಕರುಣೆಯುಳ್ಳವರಾಗಿಯೂ ಇರಿ. ದೇವರು ನಿಮ್ಮನ್ನು ಕ್ರಿಸ್ತನಲ್ಲಿ ಕ್ಷಮಿಸಿದಂತೆ ನೀವು ಒಬ್ಬರನ್ನೊಬ್ಬರು ಕ್ಷಮಿಸಿರಿ.
