[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 1] Ὁ δὲ Σαῦλος ἔτι ἐμπνέων ἀπειλῆς καὶ φόνου εἰς τοὺς μαθητὰς τοῦ κυρίου, προσελθὼν τῷ ἀρχιερεῖ
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 12] καὶ εἶδεν ⸂ἄνδρα ἐν ὁράματι Ἁνανίαν ὀνόματι⸃ εἰσελθόντα καὶ ἐπιθέντα αὐτῷ ⸀χεῖρας ὅπως ἀναβλέψῃ.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 13] ἀπεκρίθη δὲ Ἁνανίας· Κύριε, ⸀ἤκουσα ἀπὸ πολλῶν περὶ τοῦ ἀνδρὸς τούτου, ὅσα κακὰ ⸂τοῖς ἁγίοις σου ἐποίησεν⸃ ἐν Ἰερουσαλήμ·
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 14] καὶ ὧδε ἔχει ἐξουσίαν παρὰ τῶν ἀρχιερέων δῆσαι πάντας τοὺς ἐπικαλουμένους τὸ ὄνομά σου.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 15] εἶπεν δὲ πρὸς αὐτὸν ὁ κύριος· Πορεύου, ὅτι σκεῦος ἐκλογῆς ⸂ἐστίν μοι⸃ οὗτος τοῦ βαστάσαι τὸ ὄνομά μου ἐνώπιον ⸀ἐθνῶν ⸀τε καὶ βασιλέων υἱῶν τε Ἰσραήλ,
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 16] ἐγὼ γὰρ ὑποδείξω αὐτῷ ὅσα δεῖ αὐτὸν ὑπὲρ τοῦ ὀνόματός μου παθεῖν.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 17] ἀπῆλθεν δὲ Ἁνανίας καὶ εἰσῆλθεν εἰς τὴν οἰκίαν, καὶ ἐπιθεὶς ἐπʼ αὐτὸν τὰς χεῖρας εἶπεν· Σαοὺλ ἀδελφέ, ὁ κύριος ἀπέσταλκέν με, ⸀Ἰησοῦς ὁ ὀφθείς σοι ἐν τῇ ὁδῷ ᾗ ἤρχου, ὅπως ἀναβλέψῃς καὶ πλησθῇς πνεύματος ἁγίου.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 18] καὶ εὐθέως ἀπέπεσαν ⸂αὐτοῦ ἀπὸ τῶν ὀφθαλμῶν⸃ ⸀ὡς λεπίδες, ἀνέβλεψέν τε καὶ ἀναστὰς ἐβαπτίσθη,
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 19] καὶ λαβὼν τροφὴν ⸀ἐνίσχυσεν. Ἐγένετο ⸀δὲ μετὰ τῶν ἐν Δαμασκῷ μαθητῶν ἡμέρας τινὰς,
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 20] καὶ εὐθέως ἐν ταῖς συναγωγαῖς ἐκήρυσσεν τὸν ⸀Ἰησοῦν ὅτι οὗτός ἐστιν ὁ υἱὸς τοῦ θεοῦ.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 21] ἐξίσταντο δὲ πάντες οἱ ἀκούοντες καὶ ἔλεγον· Οὐχ οὗτός ἐστιν ὁ πορθήσας ⸀ἐν Ἰερουσαλὴμ τοὺς ἐπικαλουμένους τὸ ὄνομα τοῦτο, καὶ ὧδε εἰς τοῦτο ἐληλύθει ἵνα δεδεμένους αὐτοὺς ἀγάγῃ ἐπὶ τοὺς ἀρχιερεῖς;
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 22] Σαῦλος δὲ μᾶλλον ἐνεδυναμοῦτο καὶ ⸀συνέχυννεν ⸀τοὺς Ἰουδαίους τοὺς κατοικοῦντας ἐν Δαμασκῷ, συμβιβάζων ὅτι οὗτός ἐστιν ὁ χριστός.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 23] Ὡς δὲ ἐπληροῦντο ἡμέραι ἱκαναί, συνεβουλεύσαντο οἱ Ἰουδαῖοι ἀνελεῖν αὐτόν·
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 24] ἐγνώσθη δὲ τῷ Σαύλῳ ἡ ἐπιβουλὴ αὐτῶν. ⸂παρετηροῦντο δὲ καὶ⸃ τὰς πύλας ἡμέρας τε καὶ νυκτὸς ὅπως αὐτὸν ἀνέλωσιν·
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 25] λαβόντες δὲ ⸂οἱ μαθηταὶ αὐτοῦ⸃ νυκτὸς ⸂διὰ τοῦ τείχους καθῆκαν αὐτὸν⸃ χαλάσαντες ἐν σπυρίδι.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 26] Παραγενόμενος δὲ ⸀εἰς Ἰερουσαλὴμ ⸀ἐπείραζεν κολλᾶσθαι τοῖς μαθηταῖς· καὶ πάντες ἐφοβοῦντο αὐτόν, μὴ πιστεύοντες ὅτι ἐστὶν μαθητής.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 27] Βαρναβᾶς δὲ ἐπιλαβόμενος αὐτὸν ἤγαγεν πρὸς τοὺς ἀποστόλους, καὶ διηγήσατο αὐτοῖς πῶς ἐν τῇ ὁδῷ εἶδεν τὸν κύριον καὶ ὅτι ἐλάλησεν αὐτῷ καὶ πῶς ἐν Δαμασκῷ ἐπαρρησιάσατο ἐν τῷ ὀνόματι ⸀τοῦ Ἰησοῦ.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 28] καὶ ἦν μετʼ αὐτῶν εἰσπορευόμενος ⸂καὶ ἐκπορευόμενος⸃ εἰς ⸀Ἰερουσαλήμ, παρρησιαζόμενος ἐν τῷ ὀνόματι τοῦ ⸀κυρίου,
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 29] ἐλάλει τε καὶ συνεζήτει πρὸς τοὺς Ἑλληνιστάς· οἱ δὲ ἐπεχείρουν ⸂ἀνελεῖν αὐτόν⸃.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 30] ἐπιγνόντες δὲ οἱ ἀδελφοὶ κατήγαγον αὐτὸν εἰς Καισάρειαν καὶ ἐξαπέστειλαν αὐτὸν εἰς Ταρσόν.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 31] ⸂Ἡ μὲν οὖν ἐκκλησία καθʼ ὅλης τῆς Ἰουδαίας καὶ Γαλιλαίας καὶ Σαμαρείας εἶχεν εἰρήνην οἰκοδομουμένη, καὶ πορευομένη τῷ φόβῳ τοῦ κυρίου καὶ τῇ παρακλήσει τοῦ ἁγίου πνεύματος ἐπληθύνετο⸃.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 32] Ἐγένετο δὲ Πέτρον διερχόμενον διὰ πάντων κατελθεῖν καὶ πρὸς τοὺς ἁγίους τοὺς κατοικοῦντας Λύδδα.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 33] εὗρεν δὲ ἐκεῖ ἄνθρωπόν τινα ⸂ὀνόματι Αἰνέαν⸃ ἐξ ἐτῶν ὀκτὼ κατακείμενον ἐπὶ ⸀κραβάττου, ὃς ἦν παραλελυμένος.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 34] καὶ εἶπεν αὐτῷ ὁ Πέτρος· Αἰνέα, ἰᾶταί σε Ἰησοῦς ⸀Χριστός· ἀνάστηθι καὶ στρῶσον σεαυτῷ· καὶ εὐθέως ἀνέστη.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 35] καὶ εἶδαν αὐτὸν πάντες οἱ κατοικοῦντες Λύδδα καὶ τὸν ⸀Σαρῶνα, οἵτινες ἐπέστρεψαν ἐπὶ τὸν κύριον.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 36] Ἐν Ἰόππῃ δέ τις ἦν μαθήτρια ὀνόματι Ταβιθά, ἣ διερμηνευομένη λέγεται Δορκάς· αὕτη ἦν πλήρης ⸂ἔργων ἀγαθῶν⸃ καὶ ἐλεημοσυνῶν ὧν ἐποίει.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 37] ἐγένετο δὲ ἐν ταῖς ἡμέραις ἐκείναις ἀσθενήσασαν αὐτὴν ἀποθανεῖν· λούσαντες δὲ ⸂ἔθηκαν αὐτὴν⸃ ἐν ὑπερῴῳ.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 38] ἐγγὺς δὲ οὔσης Λύδδας τῇ Ἰόππῃ οἱ μαθηταὶ ἀκούσαντες ὅτι Πέτρος ἐστὶν ἐν αὐτῇ ἀπέστειλαν ⸂δύο ἄνδρας⸃ πρὸς αὐτὸν παρακαλοῦντες· Μὴ ⸀ὀκνήσῃς διελθεῖν ἕως ⸀ἡμῶν·
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 39] ἀναστὰς δὲ Πέτρος συνῆλθεν αὐτοῖς· ὃν παραγενόμενον ἀνήγαγον εἰς τὸ ὑπερῷον, καὶ παρέστησαν αὐτῷ πᾶσαι αἱ χῆραι κλαίουσαι καὶ ἐπιδεικνύμεναι χιτῶνας καὶ ἱμάτια ὅσα ἐποίει μετʼ αὐτῶν οὖσα ἡ Δορκάς.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 40] ἐκβαλὼν δὲ ἔξω πάντας ὁ Πέτρος ⸀καὶ θεὶς τὰ γόνατα προσηύξατο, καὶ ἐπιστρέψας πρὸς τὸ σῶμα εἶπεν· Ταβιθά, ἀνάστηθι. ἡ δὲ ἤνοιξεν τοὺς ὀφθαλμοὺς αὐτῆς, καὶ ἰδοῦσα τὸν Πέτρον ἀνεκάθισεν.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 41] δοὺς δὲ αὐτῇ χεῖρα ἀνέστησεν αὐτήν, φωνήσας δὲ τοὺς ἁγίους καὶ τὰς χήρας παρέστησεν αὐτὴν ζῶσαν.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 42] γνωστὸν δὲ ἐγένετο καθʼ ὅλης ⸀τῆς Ἰόππης, καὶ ⸂ἐπίστευσαν πολλοὶ⸃ ἐπὶ τὸν κύριον.
[SBLGNT | EL | NT | Acts | Chapter 9 | Verse 43] ἐγένετο ⸀δὲ ἡμέρας ἱκανὰς ⸀μεῖναι ἐν Ἰόππῃ παρά τινι Σίμωνι βυρσεῖ.
