[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 1] Ἀγρίππας δὲ πρὸς τὸν Παῦλον ἔφη· Ἐπιτρέπεταί σοι ⸀ὑπὲρ σεαυτοῦ λέγειν. τότε ὁ Παῦλος ⸂ἐκτείνας τὴν χεῖρα ἀπελογεῖτο⸃·
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 18] ἀνοῖξαι ὀφθαλμοὺς αὐτῶν, τοῦ ⸀ἐπιστρέψαι ἀπὸ σκότους εἰς φῶς καὶ τῆς ἐξουσίας τοῦ Σατανᾶ ἐπὶ τὸν θεόν, τοῦ λαβεῖν αὐτοὺς ἄφεσιν ἁμαρτιῶν καὶ κλῆρον ἐν τοῖς ἡγιασμένοις πίστει τῇ εἰς ἐμέ.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 19] Ὅθεν, βασιλεῦ Ἀγρίππα, οὐκ ἐγενόμην ἀπειθὴς τῇ οὐρανίῳ ὀπτασίᾳ,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 20] ἀλλὰ τοῖς ἐν Δαμασκῷ πρῶτόν ⸀τε καὶ Ἱεροσολύμοις, ⸀πᾶσάν τε τὴν χώραν τῆς Ἰουδαίας, καὶ τοῖς ἔθνεσιν ⸀ἀπήγγελλον μετανοεῖν καὶ ἐπιστρέφειν ἐπὶ τὸν θεόν, ἄξια τῆς μετανοίας ἔργα πράσσοντας.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 21] ἕνεκα τούτων ⸂με Ἰουδαῖοι⸃ ⸀συλλαβόμενοι ἐν τῷ ἱερῷ ἐπειρῶντο διαχειρίσασθαι.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 22] ἐπικουρίας οὖν τυχὼν τῆς ⸀ἀπὸ τοῦ θεοῦ ἄχρι τῆς ἡμέρας ταύτης ἕστηκα μαρτυρόμενος μικρῷ τε καὶ μεγάλῳ, οὐδὲν ἐκτὸς λέγων ὧν τε οἱ προφῆται ἐλάλησαν μελλόντων γίνεσθαι καὶ Μωϋσῆς,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 23] εἰ παθητὸς ὁ χριστός, εἰ πρῶτος ἐξ ἀναστάσεως νεκρῶν φῶς μέλλει καταγγέλλειν τῷ ⸀τε λαῷ καὶ τοῖς ἔθνεσιν.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 24] Ταῦτα δὲ αὐτοῦ ἀπολογουμένου ὁ Φῆστος μεγάλῃ τῇ φωνῇ ⸀φησιν· Μαίνῃ, Παῦλε· τὰ πολλά σε γράμματα εἰς μανίαν περιτρέπει.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 25] ὁ δὲ ⸀Παῦλος· Οὐ μαίνομαι, φησίν, κράτιστε Φῆστε, ἀλλὰ ἀληθείας καὶ σωφροσύνης ῥήματα ἀποφθέγγομαι.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 26] ἐπίσταται γὰρ περὶ τούτων ὁ βασιλεύς, πρὸς ὃν ⸀καὶ παρρησιαζόμενος λαλῶ· λανθάνειν γὰρ ⸀αὐτὸν τούτων οὐ πείθομαι ⸀οὐθέν, οὐ γάρ ⸀ἐστιν ἐν γωνίᾳ πεπραγμένον τοῦτο.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 27] πιστεύεις, βασιλεῦ Ἀγρίππα, τοῖς προφήταις; οἶδα ὅτι πιστεύεις.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 28] ὁ δὲ Ἀγρίππας πρὸς τὸν ⸀Παῦλον· Ἐν ὀλίγῳ με πείθεις Χριστιανὸν ⸀ποιῆσαι.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 29] ὁ δὲ ⸀Παῦλος· Εὐξαίμην ἂν τῷ θεῷ καὶ ἐν ὀλίγῳ καὶ ἐν ⸀μεγάλῳ οὐ μόνον σὲ ἀλλὰ καὶ πάντας τοὺς ἀκούοντάς μου σήμερον γενέσθαι τοιούτους ὁποῖος καὶ ἐγώ εἰμι παρεκτὸς τῶν δεσμῶν τούτων.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 30] ⸀Ἀνέστη ⸀τε ὁ βασιλεὺς καὶ ὁ ἡγεμὼν ἥ τε Βερνίκη καὶ οἱ συγκαθήμενοι αὐτοῖς,
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 31] καὶ ἀναχωρήσαντες ἐλάλουν πρὸς ἀλλήλους λέγοντες ὅτι Οὐδὲν θανάτου ⸂ἢ δεσμῶν ἄξιον⸃ ⸀τι πράσσει ὁ ἄνθρωπος οὗτος.
[SBLGNT | EL | NT | Acts | Chapter 26 | Verse 32] Ἀγρίππας δὲ τῷ Φήστῳ ἔφη· Ἀπολελύσθαι ἐδύνατο ὁ ἄνθρωπος οὗτος εἰ μὴ ἐπεκέκλητο Καίσαρα.
