[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 1] And it came to pass after this, that the children of Moab, and the children of Ammon, and with them some of the Ammonites, came against Jehoshaphat to battle.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 20] And they rose early in the morning, and went forth into the wilderness of Tekoa: and as they went forth, Jehoshaphat stood and said, Hear me, O Judah, and ye inhabitants of Jerusalem: believe in Jehovah your God, so shall ye be established; believe his prophets, so shall ye prosper.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 21] And when he had taken counsel with the people, he appointed them that should sing unto Jehovah, and give praise in holy array, as they went out before the army, and say, Give thanks unto Jehovah; for his lovingkindness endureth forever.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 22] And when they began to sing and to praise, Jehovah set liers-in-wait against the children of Ammon, Moab, and mount Seir, that were come against Judah; and they were smitten.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 23] For the children of Ammon and Moab stood up against the inhabitants of mount Seir, utterly to slay and destroy them: and when they had made an end of the inhabitants of Seir, every one helped to destroy another.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 24] And when Judah came to the watchtower of the wilderness, they looked upon the multitude; and, behold, they were dead bodies fallen to the earth, and there were none that escaped.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 25] And when Jehoshaphat and his people came to take the spoil of them, they found among them in abundance both riches and dead bodies, and precious jewels, which they stripped off for themselves, more than they could carry away: and they were three days in taking the spoil, it was so much.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 26] And on the fourth day they assembled themselves in the valley of Beracah; for there they blessed Jehovah: therefore the name of that place was called The valley of Beracah unto this day.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 27] Then they returned, every man of Judah and Jerusalem, and Jehoshaphat in the forefront of them, to go again to Jerusalem with joy; for Jehovah had made them to rejoice over their enemies.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 28] And they came to Jerusalem with psalteries and harps and trumpets unto the house of Jehovah.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 29] And the fear of God was on all the kingdoms of the countries, when they heard that Jehovah fought against the enemies of Israel.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 30] So the realm of Jehoshaphat was quiet; for his God gave him rest round about.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 31] And Jehoshaphat reigned over Judah: he was thirty and five years old when he began to reign; and he reigned twenty and five years in Jerusalem: and his mother’s name was Azubah the daughter of Shilhi.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 32] And he walked in the way of Asa his father, and turned not aside from it, doing that which was right in the eyes of Jehovah.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 33] Howbeit the high places were not taken away; neither as yet had the people set their hearts unto the God of their fathers.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 34] Now the rest of the acts of Jehoshaphat, first and last, behold, they are written in the history of Jehu the son of Hanani, which is inserted in the book of the kings of Israel.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 35] And after this did Jehoshaphat king of Judah join himself with Ahaziah king of Israel; the same did very wickedly:
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 36] and he joined himself with him to make ships to go to Tarshish; and they made the ships in Ezion-geber.
[ASV | EN | OT | 2 Chronicles | Chapter 20 | Verse 37] Then Eliezer the son of Dodavahu of Mareshah prophesied against Jehoshaphat, saying, Because thou hast joined thyself with Ahaziah, Jehovah hath destroyed thy works. And the ships were broken, so that they were not able to go to Tarshish.
