[ASV | EN | NT | John | Chapter 11 | Verse 1] Now a certain man was sick, Lazarus of Bethany, of the village of Mary and her sister Martha.
[ASV | EN | NT | John | Chapter 11 | Verse 45] Many therefore of the Jews, who came to Mary and beheld the things which Jesus did, believed on him.
[ASV | EN | NT | John | Chapter 11 | Verse 46] But some of them went away to the Pharisees, and told them the things which Jesus had done.
[ASV | EN | NT | John | Chapter 11 | Verse 47] The chief priests therefore and the Pharisees gathered a council, and said, What do we? for this man doeth many signs.
[ASV | EN | NT | John | Chapter 11 | Verse 48] If we let him thus alone, all men will believe on him: and the Romans will come and take away both our place and our nation.
[ASV | EN | NT | John | Chapter 11 | Verse 49] But a certain one of them, Caiaphas, being high priest that year, said unto them, Ye know nothing at all,
[ASV | EN | NT | John | Chapter 11 | Verse 50] nor do ye consider that it is expedient for us that one man should die for the people, and that the whole nation perish not.
[ASV | EN | NT | John | Chapter 11 | Verse 51] Now this he said not of himself: but being high priest that year, he prophesied that Jesus should die for the nation;
[ASV | EN | NT | John | Chapter 11 | Verse 52] and not for the nation only, but that he might also gather together into one the children of God that are scattered abroad.
[ASV | EN | NT | John | Chapter 11 | Verse 53] So from that day forth they took counsel together that they might put him to death.
[ASV | EN | NT | John | Chapter 11 | Verse 54] Jesus therefore walked no more openly among the Jews, but departed thence into the country near to the wilderness, into a city called Ephraim; and there he tarried with his disciples.
[ASV | EN | NT | John | Chapter 11 | Verse 55] Now the passover of the Jews was at hand: and many went up to Jerusalem out of the country before the passover, to purify themselves.
[ASV | EN | NT | John | Chapter 11 | Verse 56] They sought therefore for Jesus, and spake one with another, as they stood in the temple, What think ye? That he will not come to the feast?
[ASV | EN | NT | John | Chapter 11 | Verse 57] Now both the chief priests and the Pharisees had given commandment, that, if any man knew where he was, he should show it, that they might take him.
