[ASV | EN | NT | John | Chapter 4 | Verse 1] When therefore the Lord knew that the Pharisees had heard that Jesus was making and baptizing more disciples than John
[ASV | EN | NT | John | Chapter 4 | Verse 17] The woman answered and said, I have no husband. Jesus saith unto her, Thou saidst well, I have no husband:
[ASV | EN | NT | John | Chapter 4 | Verse 18] for thou hast had five husbands; and he whom thou now hast is not thy husband: this hast thou said truly.
[ASV | EN | NT | John | Chapter 4 | Verse 19] The woman saith unto him, Sir, I perceive that thou art a prophet.
[ASV | EN | NT | John | Chapter 4 | Verse 20] Our fathers worshiped in this mountain; and ye say, that in Jerusalem is the place where men ought to worship.
[ASV | EN | NT | John | Chapter 4 | Verse 21] Jesus saith unto her, Woman, believe me, the hour cometh, when neither in this mountain, nor in Jerusalem, shall ye worship the Father.
[ASV | EN | NT | John | Chapter 4 | Verse 22] Ye worship that which ye know not: we worship that which we know; for salvation is from the Jews.
[ASV | EN | NT | John | Chapter 4 | Verse 23] But the hour cometh, and now is, when the true worshipers shall worship the Father in spirit and truth: for such doth the Father seek to be his worshipers.
[ASV | EN | NT | John | Chapter 4 | Verse 24] God is a Spirit: and they that worship him must worship in spirit and truth.
[ASV | EN | NT | John | Chapter 4 | Verse 25] The woman saith unto him, I know that Messiah cometh (he that is called Christ): when he is come, he will declare unto us all things.
[ASV | EN | NT | John | Chapter 4 | Verse 26] Jesus saith unto her, I that speak unto thee am he.
[ASV | EN | NT | John | Chapter 4 | Verse 27] And upon this came his disciples; and they marveled that he was speaking with a woman; yet no man said, What seekest thou? or, Why speakest thou with her?
[ASV | EN | NT | John | Chapter 4 | Verse 28] So the woman left her waterpot, and went away into the city, and saith to the people,
[ASV | EN | NT | John | Chapter 4 | Verse 29] Come, see a man, who told me all things that ever I did: can this be the Christ?
[ASV | EN | NT | John | Chapter 4 | Verse 30] They went out of the city, and were coming to him.
[ASV | EN | NT | John | Chapter 4 | Verse 31] And in the meanwhile the disciples prayed him, saying, Rabbi, eat.
[ASV | EN | NT | John | Chapter 4 | Verse 32] But he said unto them, I have meat to eat that ye know not.
[ASV | EN | NT | John | Chapter 4 | Verse 33] The disciples therefore said one to another, Hath any man brought him aught to eat?
[ASV | EN | NT | John | Chapter 4 | Verse 34] Jesus saith unto them, My meat is to do the will of him that sent me, and to accomplish his work.
[ASV | EN | NT | John | Chapter 4 | Verse 35] Say not ye, There are yet four months, and then cometh the harvest? behold, I say unto you, Lift up your eyes, and look on the fields, that they are white already unto harvest.
[ASV | EN | NT | John | Chapter 4 | Verse 36] And he that reapeth receiveth wages, and gathereth fruit unto life eternal; that both he that soweth and he that reapeth may rejoice together.
[ASV | EN | NT | John | Chapter 4 | Verse 37] For herein is verified the true saying, One soweth, and another reapeth.
[ASV | EN | NT | John | Chapter 4 | Verse 38] I sent you to reap that whereon ye have not labored: others have labored, and ye are entered into their labor.
[ASV | EN | NT | John | Chapter 4 | Verse 39] And from that city many of the Samaritans believed on him because of the word of the woman, who testified, He told me all things that ever I did.
[ASV | EN | NT | John | Chapter 4 | Verse 40] So when the Samaritans came unto him, they besought him to abide with them: and he abode there two days.
[ASV | EN | NT | John | Chapter 4 | Verse 41] And many more believed because of his word;
[ASV | EN | NT | John | Chapter 4 | Verse 42] and they said to the woman, Now we believe, not because of thy speaking: for we have heard for ourselves, and know that this is indeed the Savior of the world, the Christ.
[ASV | EN | NT | John | Chapter 4 | Verse 43] And after the two days he went forth from thence, and went away into Galilee.
[ASV | EN | NT | John | Chapter 4 | Verse 44] For Jesus himself testified, that a prophet hath no honor in his own country.
[ASV | EN | NT | John | Chapter 4 | Verse 45] So when he came into Galilee, the Galileans received him, having seen all the things that he did in Jerusalem at the feast: for they also went unto the feast.
[ASV | EN | NT | John | Chapter 4 | Verse 46] Jesus came therefore again unto Cana of Galilee, where he made the water wine. And there was a certain nobleman, whose son was sick at Capernaum.
[ASV | EN | NT | John | Chapter 4 | Verse 47] When he heard that Jesus was come out of Judea into Galilee, he went unto him, and besought him that he would come down, and heal his son; for he was at the point of death.
[ASV | EN | NT | John | Chapter 4 | Verse 48] Jesus therefore said unto him, Except ye see signs and wonders, ye will in no wise believe.
[ASV | EN | NT | John | Chapter 4 | Verse 49] The nobleman saith unto him, Sir, come down ere my child die.
[ASV | EN | NT | John | Chapter 4 | Verse 50] Jesus saith unto him, Go thy way; thy son liveth. And the man believed the word that Jesus spake unto him, and he went his way.
[ASV | EN | NT | John | Chapter 4 | Verse 51] And as he was now going down, his servants met him, and told him, saying, Thy son liveth.
[ASV | EN | NT | John | Chapter 4 | Verse 52] So he inquired of them the hour when he began to amend. And they said unto him, Yesterday at the seventh hour the fever left him.
[ASV | EN | NT | John | Chapter 4 | Verse 53] So the father knew that it was at that hour in which Jesus said unto him, Thy son liveth: and himself believed, and his whole house.
[ASV | EN | NT | John | Chapter 4 | Verse 54] This is again the second sign that Jesus did, having come out of Judea into Galilee.
