[ASV | EN | NT | John | Chapter 19 | Verse 1] Then Pilate therefore took Jesus, and scourged him.
[ASV | EN | NT | John | Chapter 19 | Verse 16] Then therefore he delivered him unto them to be crucified. And they took Jesus, and led him away.
[ASV | EN | NT | John | Chapter 19 | Verse 17] And he went out, bearing his cross, unto a place called The place of a skull, which is called in Hebrew Golgotha:
[ASV | EN | NT | John | Chapter 19 | Verse 18] where they crucified him, and with him two others, on either side one, and Jesus in the midst.
[ASV | EN | NT | John | Chapter 19 | Verse 19] And Pilate wrote a title also, and put it on the cross. And there was written, JESUS OF NAZARETH, THE KING OF THE JEWS.
[ASV | EN | NT | John | Chapter 19 | Verse 20] This title therefore read many of the Jews, for the place where Jesus was crucified was nigh to the city; and it was written in Hebrew, and in Greek, and in Latin.
[ASV | EN | NT | John | Chapter 19 | Verse 21] The chief priests of the Jews therefore said to Pilate, Write not, The King of the Jews; but, that he said, I am King of the Jews.
[ASV | EN | NT | John | Chapter 19 | Verse 22] Pilate answered, What I have written I have written.
[ASV | EN | NT | John | Chapter 19 | Verse 23] The soldiers therefore, when they had crucified Jesus, took his garments and made four parts, to every soldier a part; and also the coat: now the coat was without seam, woven from the top throughout.
[ASV | EN | NT | John | Chapter 19 | Verse 24] They said therefore one to another, Let us not rend it, but cast lots for it, whose it shall be: that the scripture might be fulfilled, which saith, They parted my garments among them, And upon my vesture did they cast lots. These things therefore the soldiers did.
[ASV | EN | NT | John | Chapter 19 | Verse 25] But there were standing by the cross of Jesus his mother, and his mother’s sister, Mary the wife of Clopas, and Mary Magdalene.
[ASV | EN | NT | John | Chapter 19 | Verse 26] When Jesus therefore saw his mother, and the disciple standing by whom he loved, he saith unto his mother, Woman, behold, thy son!
[ASV | EN | NT | John | Chapter 19 | Verse 27] Then saith he to the disciple, Behold, thy mother! And from that hour the disciple took her unto his own home.
[ASV | EN | NT | John | Chapter 19 | Verse 28] After this Jesus, seeing that all things are now finished, that the scripture might be accomplished, saith, I thirst.
[ASV | EN | NT | John | Chapter 19 | Verse 29] Now there was set there a vessel full of vinegar: and they filled a sponge with vinegar, and put it upon hyssop, and brought it to his mouth.
[ASV | EN | NT | John | Chapter 19 | Verse 30] When Jesus therefore had received the vinegar, he said, It is finished: and he bowed his head, and gave up his spirit.
[ASV | EN | NT | John | Chapter 19 | Verse 31] The Jews therefore, that the bodies should not remain on the cross upon the sabbath, because it was the Preparation (for the day of that sabbath was a high day), asked of Pilate that their legs might be broken, and that they might be taken away.
[ASV | EN | NT | John | Chapter 19 | Verse 32] The soldiers therefore came, and brake the legs of the first, and of the other that was crucified with him:
[ASV | EN | NT | John | Chapter 19 | Verse 33] but when they came to Jesus, and saw that he was dead already, they brake not his legs:
[ASV | EN | NT | John | Chapter 19 | Verse 34] howbeit one of the soldiers with a spear pierced his side, and straightaway there came out blood and water.
[ASV | EN | NT | John | Chapter 19 | Verse 35] And he that hath seen hath borne witness, and his witness is true: and he knoweth that he saith true, that ye may believe.
[ASV | EN | NT | John | Chapter 19 | Verse 36] For these things came to pass, that the scripture might be fulfilled, A bone of him shall not be broken.
[ASV | EN | NT | John | Chapter 19 | Verse 37] And again another scripture saith, They shall look on him whom they pierced.
[ASV | EN | NT | John | Chapter 19 | Verse 38] After these things Joseph of Arimathea, being a disciple of Jesus, but secretly for fear of the Jews, asked of Pilate that he might take away the body of Jesus: and Pilate gave him leave. He came therefore, and took away the body of Jesus.
[ASV | EN | NT | John | Chapter 19 | Verse 39] And there came also Nicodemus, he who at the first came to Jesus by night, bringing a mixture of myrrh and aloes, about a hundred pounds.
[ASV | EN | NT | John | Chapter 19 | Verse 40] So they took the body of Jesus, and bound it in linen cloths with the spices, as the custom of the Jews is to bury.
[ASV | EN | NT | John | Chapter 19 | Verse 41] Now in the place where he was crucified there was a garden; and in the garden a new tomb wherein was never man yet laid.
[ASV | EN | NT | John | Chapter 19 | Verse 42] There then because of the Jews’ Preparation (for the tomb was nigh at hand) they laid Jesus.
