[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 1] नेक नामी बेशबहा 'इत्र से बेहतर है, और मरने का दिन पैदा होने के दिन से।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 17] हद से ज़्यादा बदकिरदार न हो, और बेवक़ूफ़ न बन; तू अपने वक़्त से पहले काहे को मरेगा?
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 18] अच्छा है कि तू इसको भी पकड़े रहे, और उस पर से भी हाथ न उठाए; क्यूँकि जो ख़ुदा तरस है इन सब से बच निकलेगा।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 19] हिकमत साहिब — ए — हिकमत को शहर के दस हाकिमों से ज़्यादा ताक़तवर बना देती है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 20] क्यूँकि ज़मीन पर ऐसा कोई रास्तबाज़ इंसान नहीं कि नेकी ही करे और ख़ता न करे।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 21] नीज़ उन सब बातों के सुनने पर जो कही जाएँ कान न लगा, ऐसा न हो कि तू सुन ले कि तेरा नौकर तुझ पर ला'नत करता है;
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 22] क्यूँकि तू तो अपने दिल से जानता है कि तूने आप इसी तरह से औरों पर ला'नत की है
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 23] मैंने हिकमत से ये सब कुछ आज़माया है। मैंने कहा, मैं 'अक़्लमन्द बनूँगा, लेकिन वह मुझ से कहीं दूर थी।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 24] जो कुछ है सो दूर और बहुत गहरा है, उसे कौन पा सकता
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 25] मैंने अपने दिल को मुतवज्जिह किया कि जानूँ और तफ़्तीश करूँ और हिकमत और ख़िरद को दरियाफ़्त करूँ और समझूँ कि बुराई हिमाक़त है और हिमाक़त दीवानगी।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 26] तब मैंने मौत से तल्ख़तर उस 'औरत को पाया, जिसका दिल फंदा और जाल है और जिसके हाथ हथकड़ियाँ हैं। जिससे ख़ुदा ख़ुश है वह उस से बच जाएगा, लेकिन गुनहगार उसका शिकार होगा।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 27] देख, वा'इज़ कहता है, मैंने एक दूसरे से मुक़ाबला करके ये दरियाफ़्त किया है।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 28] जिसकी मेरे दिल को अब तक तलाश है पर मिला नहीं। मैंने हज़ार में एक मर्द पाया, लेकिन उन सभों में 'औरत एक भी न मिली।
[IRV | UR | OT | Ecclesiastes | Chapter 7 | Verse 29] लो मैंने सिर्फ़ इतना पाया कि ख़ुदा ने इंसान को रास्त बनाया, लेकिन उन्होंने बहुत सी बन्दिशें तज्वीज़ कीं।
