[BBE | EN | NT | John | Chapter 12 | Verse 1] Then, six days before the Passover, Jesus came to Bethany where Lazarus was, whom Jesus had made to come back from the dead.
[BBE | EN | NT | John | Chapter 12 | Verse 32] And I, if I am lifted up from the earth, will make all men come to me.
[BBE | EN | NT | John | Chapter 12 | Verse 33] (This he said, pointing to the sort of death he would have.)
[BBE | EN | NT | John | Chapter 12 | Verse 34] Then the people in answer said to him, The law says that the Christ will have life without end: how say you then that it is necessary for the Son of man to be lifted up? Who is this Son of man?
[BBE | EN | NT | John | Chapter 12 | Verse 35] Jesus said to them, For a little time longer the light will be among you; while you have the light go on walking in it, so that the dark may not overtake you: one walking in the dark has no knowledge of where he is going.
[BBE | EN | NT | John | Chapter 12 | Verse 36] In so far as you have the light, put your faith in the light so that you may become sons of light. With these words Jesus went away and for a time was not seen again by them.
[BBE | EN | NT | John | Chapter 12 | Verse 37] But though he had done such a number of signs before them, they still had no belief in him:
[BBE | EN | NT | John | Chapter 12 | Verse 38] So that the words of the prophet Isaiah might come true, when he said, Lord, who has any belief in our preaching? and the arm of the Lord, to whom has it been unveiled?
[BBE | EN | NT | John | Chapter 12 | Verse 39] For this reason they were unable to have belief, because Isaiah said again,
[BBE | EN | NT | John | Chapter 12 | Verse 40] He has made their eyes blind, and their hearts hard; for fear that they might see with their eyes and get knowledge with their hearts, and be changed, and I might make them well.
[BBE | EN | NT | John | Chapter 12 | Verse 41] (Isaiah said these words because he saw his glory. His words were about him.)
[BBE | EN | NT | John | Chapter 12 | Verse 42] However, a number even of the rulers had belief in him, but because of the Pharisees they did not say so openly for fear that they might be shut out from the Synagogue:
[BBE | EN | NT | John | Chapter 12 | Verse 43] For the praise of men was dearer to them than the approval of God.
[BBE | EN | NT | John | Chapter 12 | Verse 44] Then Jesus said with a loud voice, He who has faith in me, has faith not in me, but in him who sent me.
[BBE | EN | NT | John | Chapter 12 | Verse 45] And he who sees me, sees him who sent me.
[BBE | EN | NT | John | Chapter 12 | Verse 46] I have come as a light into the world, so that no one who has faith in me will go on living in the dark.
[BBE | EN | NT | John | Chapter 12 | Verse 47] And if any man gives ear to my words and does not keep them, I am not his judge: I did not come to be judge of the world but to give salvation to the world.
[BBE | EN | NT | John | Chapter 12 | Verse 48] He who puts me on one side and does not take my words to heart, is not without a judge: the word which I have said will be his judge on the last day.
[BBE | EN | NT | John | Chapter 12 | Verse 49] For I have not said it on my authority, but the Father who sent me gave me orders what to say and how to say it.
[BBE | EN | NT | John | Chapter 12 | Verse 50] And I have knowledge that his order is eternal life: so that the things which I say, I say them even as the Father says them to me.
