[BBE | EN | NT | John | Chapter 11 | Verse 1] Now a certain man named Lazarus was ill; he was of Bethany, the town of Mary and her sister Martha.
[BBE | EN | NT | John | Chapter 11 | Verse 18] Now Bethany was near to Jerusalem, about two miles away;
[BBE | EN | NT | John | Chapter 11 | Verse 19] And a number of Jews had come to Martha and Mary to give them comfort about their brother.
[BBE | EN | NT | John | Chapter 11 | Verse 20] When Martha had the news that Jesus was on the way, she went out to him, but Mary did not go from the house.
[BBE | EN | NT | John | Chapter 11 | Verse 21] Then Martha said to Jesus, Lord, if you had been here my brother would not be dead.
[BBE | EN | NT | John | Chapter 11 | Verse 22] But I am certain that, even now, whatever request you make to God, God will give it to you.
[BBE | EN | NT | John | Chapter 11 | Verse 23] Jesus said to her, Your brother will come to life again.
[BBE | EN | NT | John | Chapter 11 | Verse 24] Martha said to him, I am certain that he will come to life again when all come back from the dead at the last day.
[BBE | EN | NT | John | Chapter 11 | Verse 25] Jesus said to her, I am myself that day and that life; he who has faith in me will have life even if he is dead;
[BBE | EN | NT | John | Chapter 11 | Verse 26] And no one who is living and has faith in me will ever see death. Is this your faith?
[BBE | EN | NT | John | Chapter 11 | Verse 27] She said to him, Yes, Lord: my faith is that you are the Christ, the Son of God, who was to come into the world.
[BBE | EN | NT | John | Chapter 11 | Verse 28] And having said this, she went away and said secretly to her sister Mary, The Master is here and has sent for you.
[BBE | EN | NT | John | Chapter 11 | Verse 29] And Mary, hearing this, got up quickly and went to him.
[BBE | EN | NT | John | Chapter 11 | Verse 30] Now Jesus had not at this time come into the town, but was still in the place where Martha had seen him.
[BBE | EN | NT | John | Chapter 11 | Verse 31] Then the Jews who were with her in the house, comforting her, when they saw Mary get up quickly and go out, went after her in the belief that she was going to the place of the dead and would be weeping there.
[BBE | EN | NT | John | Chapter 11 | Verse 32] When Mary came to where Jesus was and saw him, she went down at his feet, saying, Lord, if you had been here my brother would not be dead.
[BBE | EN | NT | John | Chapter 11 | Verse 33] And when Jesus saw her weeping, and saw the Jews weeping who came with her, his spirit was moved and he was troubled,
[BBE | EN | NT | John | Chapter 11 | Verse 34] And said, Where have you put him? They said, Come and see, Lord.
[BBE | EN | NT | John | Chapter 11 | Verse 35] And Jesus himself was weeping.
[BBE | EN | NT | John | Chapter 11 | Verse 36] So the Jews said, See how dear he was to him!
[BBE | EN | NT | John | Chapter 11 | Verse 37] But some of them said, This man, who made open the eyes of the blind man, was he not able to keep his friend from death?
[BBE | EN | NT | John | Chapter 11 | Verse 38] So Jesus, deeply troubled in heart, came to the place of the dead. It was a hole in the rock, and a stone was over the opening.
[BBE | EN | NT | John | Chapter 11 | Verse 39] Jesus said, Take away the stone. Martha, the sister of him who was dead, said, Lord, by this time the body will be smelling, for he has been dead four days.
[BBE | EN | NT | John | Chapter 11 | Verse 40] Jesus said to her, Did I not say to you that if you had faith you would see the glory of God?
[BBE | EN | NT | John | Chapter 11 | Verse 41] So they took away the stone. And Jesus, looking up to heaven, said, Father, I give praise to you for hearing me.
[BBE | EN | NT | John | Chapter 11 | Verse 42] I was certain that your ears are at all times open to me, but I said it because of these who are here, so that they may see that you sent me.
[BBE | EN | NT | John | Chapter 11 | Verse 43] Then he said in a loud voice, Lazarus, come out!
[BBE | EN | NT | John | Chapter 11 | Verse 44] And he who was dead came out, with linen bands folded tightly about his hands and feet, and a cloth about his face. Jesus said to them, Make him free and let him go.
[BBE | EN | NT | John | Chapter 11 | Verse 45] Then a number of the Jews who had come to Mary and had seen the things which Jesus did had belief in him.
[BBE | EN | NT | John | Chapter 11 | Verse 46] But some of them went to the Pharisees with the news of what Jesus had done.
[BBE | EN | NT | John | Chapter 11 | Verse 47] Then the high priests and the Pharisees had a meeting and said, What are we doing? This man is doing a number of signs.
[BBE | EN | NT | John | Chapter 11 | Verse 48] If we let him go on in this way, everybody will have belief in him and the Romans will come and take away our place and our nation.
[BBE | EN | NT | John | Chapter 11 | Verse 49] But one of them, Caiaphas, who was high priest that year, said to them, You have no knowledge of anything;
[BBE | EN | NT | John | Chapter 11 | Verse 50] You do not see that it is in your interest for one man to be put to death for the people, so that all the nation may not come to destruction.
[BBE | EN | NT | John | Chapter 11 | Verse 51] He did not say this of himself, but being the high priest that year he said, as a prophet, that Jesus would be put to death for the nation;
[BBE | EN | NT | John | Chapter 11 | Verse 52] And not for that nation only, but for the purpose of uniting in one body the children of God all over the world.
[BBE | EN | NT | John | Chapter 11 | Verse 53] And from that day they took thought together how to put him to death.
[BBE | EN | NT | John | Chapter 11 | Verse 54] So Jesus no longer went about publicly among the Jews, but went from there into the country near to the waste land, to a town named Ephraim, where he was for some time with the disciples.
[BBE | EN | NT | John | Chapter 11 | Verse 55] Now the Passover of the Jews was near, and numbers of people went up from the country to Jerusalem to make themselves clean before the Passover.
[BBE | EN | NT | John | Chapter 11 | Verse 56] They were looking for Jesus and saying to one another while they were in the Temple, What is your opinion? Will he not come to the feast?
[BBE | EN | NT | John | Chapter 11 | Verse 57] Now the chief priests and the Pharisees had given orders that if anyone had knowledge where he was, he was to give them word, so that they might take him.
