[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 1] नंतर परमेश्वराचे वचन मजकडे आले आणि म्हणाले,
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 17] तुझ्या सौंदर्यांने तुझे हृदय गर्विष्ठ बनले. तुझ्या वैभवामुळे तू तुझ्या ज्ञानाचा नाश करून घेतला आहे. मी तुला खाली जमिनीवर फेकले आहे. राजांनी तुझे जाहीर प्रदर्शन पाहावे यासाठी मी तुला त्यांच्यापुढे ठेवले.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 18] तुझ्या खूप पापांमुळे आणि व्यापारातील अप्रामाणिकपणामुळे, तू आपले पवित्र स्थान अपवित्र केलेस. म्हणून मी तुझ्यामधून अग्नी काढला आहे, त्याने तुला खाऊन टाकले आहे. जे कोणी पाहतात त्या सर्वांच्यादेखत मी पृथ्वीवर तुझी राख केली आहे.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 19] लोकांमध्ये जे तुला ओळखतात ते सर्व तुझ्याविषयी विस्मित होतील, तू भय असा होशील व पुन्हा कधी असणार नाहीस.”
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 20] मग मजकडे परमेश्वराचे वचन आले व म्हणाले,
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 21] “मानवाच्या मुला, सीदोनेविरूद्ध आपले तोंड कर व तिच्याविरूद्ध भविष्य सांग.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 22] सांग, प्रभू परमेश्वर असे म्हणतो, पाहा! हे सीदोने, मी तुझ्याविरूद्ध आहे. कारण मी तुझ्यामध्ये गौरविला जाईन म्हणून मी तिला न्यायाने शिक्षा करीन व तिच्यात मला पवित्र मानले म्हणजे, त्यांना समजेल की, मी परमेश्वर आहे.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 23] मी तिच्यात मरी पाठवीन आणि तिच्या रस्त्यात रक्त पाठवीन आणि तलवार तुमच्याविरुध्द सर्व बाजूंनी येईल तेव्हा घायाळ झालेले तुम्हामध्ये पडतील मग त्यांना समजेल की, मी प्रभू परमेश्वर आहे.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 24] नंतर इस्राएलाच्या घराण्याच्या सभोवतालचे जे सर्व तिला तुच्छ मानत असत त्यांच्यातून कोणीही त्यांना बोचणारी काटेरी झुडुपे किंवा वेदनादायक काटे असे उरणार नाहीत, म्हणून त्यांना समजून येईल की, मीच प्रभू परमेश्वर आहे.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 25] प्रभू परमेश्वर असे म्हणतो, मी इस्राएल घराणे ज्या ज्या राष्ट्रांत विखुरविले आहे, त्यांतून मी त्यास एकत्र आणीन आणि मग मी त्या विधर्मी राष्ट्रांच्या देखत त्याच्याठायी पवित्र ठरेन; मग मी जो देश आपला सेवक याकोब याला दिला त्यामध्ये ते राहतील.
[IRV | MR | OT | Ezekiel | Chapter 28 | Verse 26] मग ते त्या भूमीवर सुरक्षितपणे राहतील आणि ते घरे बांधतील व द्राक्षमळे लावतील. त्यांचा तिरस्कार करणाऱ्या सभोवतालच्या राष्ट्रांना मी शिक्षा करीन. मग ते निर्भयपणे राहतील. म्हणून त्यांना समजेल की, मी परमेश्वर त्यांचा देव आहे.”
