[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 1] And it came to pass when the wall was built, and I had set up the doors, that the doorkeepers and the singers and the Levites were appointed.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 26] The men of Bethlehem and Netophah, a hundred and eighty-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 27] The men of Anathoth, a hundred and twenty-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 28] The men of Beth-azmaveth, forty-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 29] The men of Kirjath-jearim, Chephirah, and Beeroth, seven hundred and forty-three.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 30] The men of Ramah and Geba, six hundred and twenty-one.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 31] The men of Michmas, a hundred and twenty-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 32] The men of Bethel and Ai, a hundred and twenty-three.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 33] The men of the other Nebo, fifty-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 34] The children of the other Elam, a thousand two hundred and fifty-four.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 35] The children of Harim, three hundred and twenty.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 36] The children of Jericho, three hundred and forty-five.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 37] The children of Lod, Hadid, and Ono, seven hundred and twenty-one.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 38] The children of Senaah, three thousand nine hundred and thirty.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 39] The priests: the children of Jedaiah, of the house of Jeshua, nine hundred and seventy-three.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 40] The children of Immer, a thousand and fifty-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 41] The children of Pashhur, a thousand two hundred and forty-seven.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 42] The children of Harim, a thousand and seventeen.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 43] The Levites: the children of Jeshua [and] of Kadmiel, of the children of Hodvah, seventy-four.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 44] The singers: the children of Asaph, a hundred and forty-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 45] The doorkeepers: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred and thirty-eight.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 46] The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 47] the children of Keros, the children of Sia, the children of Padon,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 48] the children of Lebana, the children of Hagaba, the children of Salmai,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 49] the children of Hanan, the children of Giddel, the children of Gahar,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 50] the children of Reaiah, the children of Rezin, the children of Nekoda,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 51] the children of Gazzam, the children of Uzza, the children of Phaseah,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 52] the children of Besai, the children of Meunim, the children of Nephishesim,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 53] the children of Bakbuk, the children of Hakupha, the children of Harhur,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 54] the children of Bazlith, the children of Mehida, the children of Harsha,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 55] the children of Barkos, the children of Sisera, the children of Thamah,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 56] the children of Neziah, the children of Hatipha.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 57] The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Perida,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 58] the children of Jaala, the children of Darkon, the children of Giddel,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 59] the children of Shephatiah, the children of Hattil, the children of Pochereth-Hazzebaim, the children of Amon.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 60] All the Nethinim, and the children of Solomon's servants, three hundred and ninety-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 61] And these are they that went up from Tel-melah, Tel-harsha, Cherub-Addon and Immer; but they could not shew their father's house, nor their seed, whether they were of Israel.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 62] The children of Delaiah, the children of Tobijah, the children of Nekoda, six hundred and forty-two.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 63] And of the priests: the children of Hobaiah, the children of Koz, the children of Barzillai, who took a wife of the daughters of Barzillai the Gileadite and was called after their name.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 64] These sought their genealogical register, but it was not found; therefore were they, as polluted, removed from the priesthood.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 65] And the Tirshatha said to them that they should not eat of the most holy things, till there stood up the priest with Urim and Thummim.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 66] The whole congregation together was forty-two thousand three hundred and sixty,
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 67] besides their servants and their maids, of whom there were seven thousand three hundred and thirty-seven; and they had two hundred and forty-five singing-men and singing-women.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 68] Their horses were seven hundred and thirty-six; their mules, two hundred and forty-five;
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 69] the camels, four hundred and thirty-five; the asses, six thousand seven hundred and twenty.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 70] And some of the chief fathers gave to the work. The Tirshatha gave to the treasure a thousand darics of gold, fifty basons, five hundred and thirty priests' coats.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 71] And [some] of the chief fathers gave to the treasure of the work twenty thousand darics of gold, and two thousand two hundred pounds of silver.
[DARBY | EN | OT | Nehemiah | Chapter 7 | Verse 72] And that which the rest of the people gave was twenty thousand darics of gold, and two thousand pounds of silver, and sixty-seven priests' coats.
