[BBE | EN | OT | Psalms | Chapter 106 | Verse 1] Let the Lord be praised. O give praise to the Lord, for he is good: for his mercy is unchanging for ever.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 29] So they made him angry by their behaviour; and he sent disease on them.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 30] Then Phinehas got up, and made prayer for them; and the disease went no farther.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 31] And all the generations coming after him kept the memory of his righteousness for ever.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 32] They made God angry again at the waters of Meribah, so that Moses was troubled because of them;
[BBE | EN | OT | Psalms | Chapter 106 | Verse 33] For they made his spirit bitter, and he said unwise things.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 34] They did not put an end to the peoples, as the Lord had said;
[BBE | EN | OT | Psalms | Chapter 106 | Verse 35] But they were joined to the nations, learning their works.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 36] And they gave worship to images; which were a danger to them:
[BBE | EN | OT | Psalms | Chapter 106 | Verse 37] They even made offerings of their sons and their daughters to evil spirits,
[BBE | EN | OT | Psalms | Chapter 106 | Verse 38] And gave the blood of their sons and their daughters who had done no wrong, offering them to the images of Canaan; and the land was made unclean with blood.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 39] So they became unclean through their works, going after their evil desires.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 40] Then the wrath of the Lord was burning against his people, and he was angry with his heritage.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 41] And he gave them into the hands of the nations; and they were ruled by their haters.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 42] By them they were crushed, and made low under their hands.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 43] Again and again he made them free; but their hearts were turned against his purpose, and they were overcome by their sins.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 44] But when their cry came to his ears, he had pity on their trouble:
[BBE | EN | OT | Psalms | Chapter 106 | Verse 45] And kept in mind his agreement with them, and in his great mercy gave them forgiveness.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 46] He put pity into the hearts of those who made them prisoners.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 47] Be our saviour, O Lord our God, and let us come back together from among the nations, so that we may give honour to your holy name, and have glory in your praise.
[BBE | EN | OT | Psalms | Chapter 106 | Verse 48] Praise be to the Lord God of Israel for ever and for ever; and let all the people say, So be it. Give praise to the Lord.
