[IRV | ML | OT | Psalms | Chapter 89 | Verse 1] യഹോവയുടെ കൃപകളെക്കുറിച്ചു ഞാൻ എന്നേക്കും പാടും; തലമുറതലമുറയോളം എന്റെ വായ് കൊണ്ടു നിന്റെ വിശ്വസ്തതയെ അറിയിക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 29] ഞാൻ അവന്റെ സന്തതിയെ ശാശ്വതമായും അവന്റെ സിംഹാസനത്തെ ആകാശമുള്ള കാലത്തോളവും നിലനിർത്തും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 30] അവന്റെ പുത്രന്മാർ എന്റെ ന്യായപ്രമാണം ഉപേക്ഷിക്കയും എന്റെ വിധികളെ അനുസരിച്ചുനടക്കാതിരിക്കയും
[IRV | ML | OT | Psalms | Chapter 89 | Verse 31] എന്റെ ചട്ടങ്ങളെ ലംഘിക്കയും എന്റെ കല്പനകളെ പ്രമാണിക്കാതിരിക്കയും ചെയ്താൽ
[IRV | ML | OT | Psalms | Chapter 89 | Verse 32] ഞാൻ അവരുടെ ലംഘനത്തെ വടികൊണ്ടും അവരുടെ അകൃത്യത്തെ ദണ്ഡനംകൊണ്ടും സന്ദർശിക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 33] എങ്കിലും എന്റെ ദയയെ ഞാൻ അവങ്കൽ നിന്നു നീക്കിക്കളകയില്ല; എന്റെ വിശ്വസ്തതെക്കു ഭംഗം വരുത്തുകയുമില്ല.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 34] ഞാൻ എന്റെ നിയമത്തെ ലംഘിക്കയോ എന്റെ അധരങ്ങളിൽനിന്നു പുറപ്പെട്ടതിന്നു ഭേദം വരുത്തുകയോ ചെയ്കയില്ല.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 35] ഞാൻ ഒരിക്കൽ എന്റെ വിശുദ്ധിയെക്കൊണ്ടു സത്യം ചെയ്തിരിക്കുന്നു; ദാവീദിനോടു ഞാൻ ഭോഷ്കുപറകയില്ല.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 36] അവന്റെ സന്തതി ശാശ്വതമായും അവന്റെ സിംഹാസനം എന്റെ മുമ്പിൽ സൂര്യനെപ്പോലെയും ഇരിക്കും.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 37] അതു ചന്ദ്രനെപ്പോലെയും ആകാശത്തിലെ വിശ്വസ്തസാക്ഷിയെപ്പോലെയും എന്നേക്കും സ്ഥിരമായിരിക്കും. സേലാ.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 38] എങ്കിലും നീ ഉപേക്ഷിച്ചു തള്ളിക്കളകയും നിന്റെ അഭിഷിക്തനോടു കോപിക്കയും ചെയ്തു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 39] നിന്റെ ദാസനോടുള്ള നിയമത്തെ നീ വെറുത്തുകളഞ്ഞു; അവന്റെ കിരീടത്തെ നീ നിലത്തിട്ടു അശുദ്ധമാക്കിയിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 40] നീ അവന്റെ വേലി ഒക്കെയും പൊളിച്ചു; അവന്റെ കോട്ടകളെയും ഇടിച്ചുകളഞ്ഞു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 41] വഴിപോകുന്ന എല്ലാവരും അവനെ കൊള്ളയിടുന്നു; തന്റെ അയല്ക്കാർക്കു അവൻ നിന്ദ ആയിത്തീർന്നിരിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 42] നീ അവന്റെ വൈരികളുടെ വലങ്കയ്യെ ഉയർത്തി; അവന്റെ സകലശത്രുക്കളെയും സന്തോഷിപ്പിച്ചു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 43] അവന്റെ വാളിൻ വായ്ത്തലയെ നീ മടക്കി; യുദ്ധത്തിൽ അവനെ നില്ക്കുമാറാക്കിയതുമില്ല.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 44] അവന്റെ തേജസ്സിനെ നീ ഇല്ലാതാക്കി; അവന്റെ സിംഹാസനത്തെ നിലത്തു തള്ളിയിട്ടു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 45] അവന്റെ യൗവനകാലത്തെ നീ ചുരുക്കി; നീ അവനെ ലജ്ജകൊണ്ടു മൂടിയിരിക്കുന്നു. സേലാ.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 46] യഹോവേ, നീ നിത്യം മറഞ്ഞുകളയുന്നതും നിന്റെ ക്രോധം തീപോലെ ജ്വലിക്കുന്നതും എത്രത്തോളം?
[IRV | ML | OT | Psalms | Chapter 89 | Verse 47] എന്റെ ആയുസ്സു എത്രചുരുക്കം എന്നു ഓർക്കേണമേ; എന്തു മിത്ഥ്യാത്വത്തിന്നായി നീ മനുഷ്യപുത്രന്മാരെ ഒക്കെയും സൃഷ്ടിച്ചു?
[IRV | ML | OT | Psalms | Chapter 89 | Verse 48] ജീവിച്ചിരുന്നു മരണം കാണാതെയിരിക്കുന്ന മനുഷ്യൻ ആർ? തന്റെ പ്രാണനെ പാതാളത്തിന്റെ കയ്യിൽ നിന്നു വിടുവിക്കുന്നവനും ആരുള്ളു? സേലാ.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 49] കർത്താവേ, നിന്റെ വിശ്വസ്തതയിൽ നി ദാവീദിനോടു സത്യംചെയ്ത നിന്റെ പണ്ടത്തെ കൃപകൾ എവിടെ?
[IRV | ML | OT | Psalms | Chapter 89 | Verse 50] കർത്താവേ, അടിയങ്ങളുടെ നിന്ദ ഓർക്കേണമേ; എന്റെ മാർവ്വിടത്തിൽ ഞാൻ സകലമഹാജാതികളുടെയും നിന്ദ വഹിക്കുന്നതു തന്നേ.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 51] യഹോവേ, നിന്റെ ശത്രുക്കൾ നിന്ദിക്കുന്നുവല്ലോ; അവർ നിന്റെ അഭിഷിക്തന്റെ കാലടികളെ നിന്ദിക്കുന്നു.
[IRV | ML | OT | Psalms | Chapter 89 | Verse 52] യഹോവ എന്നെന്നേക്കും വാഴ്ത്തപ്പെടുമാറാകട്ടെ. ആമേൻ, ആമേൻ.
