[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 1] Καὶ σὺ υἱὲ ἀνθρώπου προφήτευσον ἐπὶ τὰ ὄρη Ἰσραὴλ, καὶ εἰπὸν τοῖς ὄρεσι τοῦ Ἰσραὴλ, ἀκούσατε λόγον Κυρίου.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 23] Καὶ ἁγιάσω τὸ ὄνομά μου τὸ μέγα τὸ βεβηλωθὲν ἐν τοῖς ἔθνεσιν, ὃ ἐβεβηλώσατε ἐν μέσῳ αὐτῶν, καὶ γνώσονται τὰ ἔθνη ὅτι ἐγώ εἰμι Κύριος, ἐν τῷ ἁγιασθῆναί με ἐν ὑμῖν κατʼ ὀφθαλμοὺς αὐτῶν.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 24] Καὶ λήψομαι ὑμᾶς ἐκ τῶν ἐθνῶν, καὶ ἀθροίσω ὑμᾶς ἐκ πασῶν τῶν γαιῶν, καὶ εἰσάξω ὑμᾶς εἰς τὴν γῆν ὑμῶν,
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 25] καὶ ῥανῶ ἐφʼ ὑμᾶς καθαρὸν ὕδωρ, καὶ καθαρισθήσεσθε ἀπὸ πασῶν τῶν ἀκαθαρσιῶν ὑμῶν, καὶ ἀπὸ πάντων τῶν εἰδώλων ὑμῶν, καὶ καθαριῶ ὑμᾶς·
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 26] Καὶ δώσω ὑμῖν καρδίαν καινὴν, καὶ πνεῦμα καινὸν δώσω ἐν ὑμῖν, καὶ ἀφελῶ τὴν καρδίαν τὴν λιθίνην ἐκ τῆς σαρκὸς ὑμῶν, καὶ δώσω ὑμῖν καρδίαν σαρκίνην·
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 27] Καὶ τὸ πνεῦμά μου δώσω ἐν ὑμῖν, καὶ ποιήσω ἵνα ἐν τοῖς δικαιώμασί μου πορεύησθε, καὶ τὰ κρίματά μου φυλάξησθε, καὶ ποιήσητε·
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 28] Καὶ κατοικήσετε ἐπὶ τῆς γῆς ἧς ἔδωκα τοῖς πατράσιν ὑμῶν, καὶ ἔσεσθέ μοι εἰς λαὸν, καὶ ἐγὼ ἔσομαι ὑμῖν εἰς Θεόν.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 29] Καὶ σώσω ὑμᾶς ἐκ πασῶν τῶν ἀκαθαρσιῶν ὑμῶν, καὶ καλέσω τὸν σῖτον, καὶ πληθυνῶ αὐτὸν, καὶ οὐ δώσω ἐφʼ ὑμᾶς λιμόν.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 30] Καὶ πληθυνῶ τὸν καρπὸν τοῦ ξύλου, καὶ τὰ γεννήματα τοῦ ἀγροῦ, ὅπως ἂν μὴ λάβητε ὀνειδισμὸν λιμοῦ ἐν τοῖς ἔθνεσι.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 31] Καὶ μνησθήσεσθε τὰς ὁδοὺς ὑμῶν τὰς πονηρὰς, καὶ τὰ ἐπιτηδεύματα ὑμῶν τὰ μὴ ἀγαθὰ, καὶ προσοχθιεῖτε κατὰ πρόσωπον αὐτῶν ἐν ταῖς ἀνομίαις ὑμῶν, καὶ ἐπὶ τοῖς βδελύγμασιν αὐτῶν.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 32] Οὐ διʼ ὑμᾶς ἐγὼ ποιῶ, λέγει Κύριος Κύριος, γνωστόν ἐστιν ὑμῖν· αἰσχύνθητε καὶ ἐντράπητε ἐκ τῶν ὁδῶν ὑμῶν οἶκος Ἰσραήλ.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 33] Τάδε λέγει ἀδωναῒ Κύριος, ἐν ἡμέρᾳ ᾗ καθαριῶ ὑμᾶς ἐκ πασῶν ἀνομιῶν ὑμῶν, καὶ κατοικιῶ τὰς πόλεις, καὶ οἰκοδομηθήσονται ἔρημοι,
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 34] καὶ ἡ γῆ ἠφανισμένη ἐργασθήσεται ἀνθʼ ὧν ὅτι ἠφανισμένη ἐγενήθη κατʼ ὀφθαλμοὺς παντὸς παροδεύοντος.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 35] Καὶ ἐροῦσιν, ἡ γῆ ἐκείνη ἠφανισμένη ἐγενήθη ὡς κῆπος τρυφῆς, καὶ αἱ πόλεις αἱ ἔρημοι καὶ ἠφανισμέναι καὶ κατεσκαμμέναι ὀχυραὶ ἐκάθισαν.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 36] Καὶ γνώσονται τὰ ἔθνη, ὅσα ἂν καταλειφθῶσιν κύκλῳ ὑμῶν, ὅτι ἐγὼ Κύριος ᾠκοδόμησα τὰς καθῃρημένας, καὶ κατεφύτευσα τὰς ἠφανισμένας· ἐγὼ Κύριος ἐλάλησα, καὶ ποιήσω.
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 37] Τάδε λέγει ἀδωναῒ Κύριος, ἔτι τοῦτο ζητηθήσομαι τῷ οἴκῳ Ἰσραὴλ τοῦ ποιῆσαι αὐτούς· πληθυνῶ αὐτοὺς ὡς πρόβατα ἀνθρώπους,
[LXX | EL | OT | Ezekiel | Chapter 36 | Verse 38] ὡς πρόβατα ἅγια, ὡς πρόβατα Ἱερουσαλὴμ ἐν ταῖς ἑορταῖς αὐτῆς· οὕτως ἔσονται αἱ πόλεις αἱ ἔρημοι πλήρεις προβάτων ἀνθρώπων· καὶ γνώσονται ὅτι ἐγὼ Κύριος.
