[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 1] And David spoke to Jehovah the words of this song in the day that Jehovah had delivered him out of the hand of all his enemies, and out of the hand of Saul.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 21] Jehovah hath rewarded me according to my righteousness, According to the cleanness of my hands hath he recompensed me.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 22] For I have kept the ways of Jehovah, And have not wickedly departed from my God.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 23] For all his ordinances were before me, And his statutes, I did not depart from them,
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 24] And I was upright before him, And kept myself from mine iniquity.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 25] And Jehovah hath recompensed me according to my righteousness, According to my cleanness in his sight.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 26] With the gracious thou dost shew thyself gracious; With the upright man thou dost shew thyself upright;
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 27] With the pure thou dost shew thyself pure; And with the perverse thou dost shew thyself contrary.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 28] And the afflicted people thou dost save; And thine eyes are upon the haughty, [whom] thou bringest down.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 29] For thou art my lamp, Jehovah; And Jehovah enlighteneth my darkness.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 30] For by thee I have run through a troop; By my God have I leaped over a wall.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 31] As for God, his way is perfect; The word of Jehovah is tried: He is a shield to all that trust in him.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 32] For who is God, save Jehovah? And who is a rock, save our God?
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 33] God is my strong fortress, And he maketh my way perfectly smooth.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 34] He maketh my feet like hinds' [feet], And setteth me upon my high places.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 35] He teacheth my hands to war, And mine arms bend a bow of brass.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 36] And thou didst give me the shield of thy salvation, And thy condescending gentleness hath made me great.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 37] Thou enlargedst my steps under me; And mine ankles did not slip.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 38] I pursued mine enemies, and destroyed them, And I turned not again till they were consumed.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 39] And I have consumed them and have crushed them, and they rose not again; Yea, they fell under my feet.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 40] And thou girdedst me with strength to battle: Thou didst subdue under me those that rose up against me.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 41] And mine enemies didst thou make to turn their backs unto me, And those that hated me I destroyed.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 42] They looked, and there was none to save — Unto Jehovah, and he answered them not.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 43] And I did beat them small as the dust of the earth, I trod them as the mire of the streets; I stamped upon them.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 44] And thou hast delivered me from the strivings of my people, Thou hast kept me to be head of the nations: A people I knew not doth serve me:
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 45] Strangers come cringing unto me: At the hearing of the ear, they obey me.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 46] Strangers have faded away, And they come trembling forth from their close places.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 47] Jehovah liveth; and blessed be my rock; And exalted be the God, the rock of my salvation,
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 48] The God who hath avenged me, And hath brought the peoples under me.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 49] He brought me forth from mine enemies: Yea, thou hast lifted me up above them that rose up against me; From the man of violence hast thou delivered me.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 50] Therefore will I give thanks to thee, Jehovah, among the nations, And will sing psalms to thy name.
[DARBY | EN | OT | 2 Samuel | Chapter 22 | Verse 51] [It is he] who giveth great deliverances to his king, And sheweth loving-kindness to his anointed, To David, and to his seed for evermore.
