[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 1] And it came to pass, whiles the lion spake these words unto the eagle, I saw,
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 17] As for the voice which thou heardest speak, and that thou sawest not to go out from the heads, but from the midst of the body thereof, this is the interpretation:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 18] That after the time of that kingdom there shall arise great strivings, and it shall stand in peril of falling: nevertheless it shall not then fall, but shall be restored again to his beginning.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 19] And whereas thou sawest the eight small under feathers sticking to her wings, this is the interpretation:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 20] That in him there shall arise eight kings, whose times shall be but small, and their years swift.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 21] And two of them shall perish, the middle time approaching: four shall be kept until their end begin to approach: but two shall be kept unto the end.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 22] And whereas thou sawest three heads resting, this is the interpretation:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 23] In his last days shall the most High raise up three kingdoms, and renew many things therein, and they shall have the dominion of the earth,
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 24] and of those that dwell therein, with much oppression, above all those that were before them: therefore are they called the heads of the eagle.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 25] For these are they that shall accomplish his wickedness, and that shall finish his last end.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 26] And whereas thou sawest that the great head appeared no more, it signifieth that one of them shall die upon his bed, and yet with pain.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 27] For the two that remain shall be slain with the sword.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 28] For the sword of the one shall devour the other: but at the last shall he fall through the sword himself.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 29] And whereas thou sawest two feathers under the wings passing over the head that is on the right side;
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 30] it signifieth that these are they, whom the Highest hath kept unto their end: this is the small kingdom and full of trouble, as thou sawest.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 31] And the lion, whom thou sawest rising up out of the wood, and roaring, and speaking to the eagle, and rebuking her for her unrighteousness with all the words which thou hast heard;
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 32] this is the anointed, which the Highest hath kept for them and for their wickedness unto the end: he shall reprove them, and shall upbraid them with their cruelty.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 33] For he shall set them before him alive in judgment, and shall rebuke them, and correct them.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 34] For the rest of my people shall he deliver with mercy, those that have been preserved upon my borders, and he shall make them joyful until the coming of the day of judgment, whereof I have spoken unto thee from the beginning.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 35] This is the dream that thou sawest, and these are the interpretations.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 36] Thou only hast been meet to know this secret of the Highest.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 37] Therefore write all these things that thou hast seen in a book, and hide them:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 38] and teach them to the wise of the people, whose hearts thou knowest may comprehend and keep these secrets.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 39] But wait thou here thyself yet seven days moe, that it may be shewed thee, whatsoever it pleaseth the Highest to declare unto thee. And with that he went his way.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 40] And it came to pass, when all the people saw that the seven days were past, and I not come again into the city, they gathered them all together, from the least unto the greatest, and came unto me, and said,
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 41] What have we offended thee? and what evil have we done against thee, that thou forsakest us, and sittest here in this place?
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 42] For of all the prophets thou only art left us, as a cluster of the vintage, and as a candle in a dark place, and as a haven or ship preserved from the tempest.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 43] Are not the evils which are come to us sufficient?
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 44] If thou shalt forsake us, how much better had it been for us, if we also had been burnt in the midst of Sion?
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 45] For we are not better than they that died there. And they wept with a loud voice. Then answered I them, and said,
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 46] Be of good comfort, O Israel; and be not heavy, thou house of Jacob:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 47] for the Highest hath you in remembrance, and the Mighty hath not forgotten you in temptation.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 48] As for me, I have not forsaken you, neither am I departed from you: but am come into this place, to pray for the desolation of Sion, and that I might seek mercy for the low estate of your sanctuary.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 49] And now go your way home every man, and after these days will I come unto you.
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 50] So the people went their way into the city, like as I commanded them:
[KJV | EN | OT | 2 Esdras | Chapter 12 | Verse 51] but I remained still in the field seven days, as the angel commanded me; and did eat only in those days of the flowers of the field, and had my meat of the herbs.
