[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 1] Behold, speak thou in the ears of my people the words of prophecy, which I will put in thy mouth, saith the Lord:
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 50] And the glory of thy power shall be dried up as a flower, when the heat shall arise that is sent over thee.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 51] Thou shalt be weakened as a poor woman with stripes, and as one chastised with wounds, so that the mighty and lovers shall not be able to receive thee.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 52] Would I with jealousy have so proceeded against thee, saith the Lord,
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 53] if thou hadst not alway slain my chosen, exalting the stroke of thine hands, and saying over their dead, when thou wast drunken,
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 54] Set forth the beauty of thy countenance?
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 55] The reward of thy whoredom shall be in thy bosom, therefore shalt thou receive recompence.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 56] Like as thou hast done unto my chosen, saith the Lord, even so shall God do unto thee, and shall deliver thee into mischief.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 57] Thy children shall die of hunger, and thou shalt fall through the sword: thy cities shall be broken down, and all thine shall perish with the sword in the field.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 58] They that be in the mountains shall die of hunger, and eat their own flesh, and drink their own blood, for very hunger of bread, and thirst of water.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 59] Thou, as unhappy shalt come through the sea, and receive plagues again.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 60] And in the passage they shall rush on the idle city, and shall destroy some portion of thy land, and consume part of thy glory, and shall return to Babylon that was destroyed.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 61] And thou shalt be cast down by them as stubble, and they shall be unto thee as fire;
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 62] and shall consume thee, and thy cities, thy land, and thy mountains; all thy woods and thy fruitful trees shall they burn up with fire.
[KJV | EN | OT | 2 Esdras | Chapter 15 | Verse 63] Thy children shall they carry away captive, and, look, what thou hast, they shall spoil it, and mar the beauty of thy face.
