[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 1] Ἦσαν δὲ ⸂αὐτῷ ἐγγίζοντες⸃ πάντες οἱ τελῶναι καὶ οἱ ἁμαρτωλοὶ ἀκούειν αὐτοῦ.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 18] ἀναστὰς πορεύσομαι πρὸς τὸν πατέρα μου καὶ ἐρῶ αὐτῷ· Πάτερ, ἥμαρτον εἰς τὸν οὐρανὸν καὶ ἐνώπιόν σου,
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 19] ⸀οὐκέτι εἰμὶ ἄξιος κληθῆναι υἱός σου· ποίησόν με ὡς ἕνα τῶν μισθίων σου.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 20] καὶ ἀναστὰς ἦλθεν πρὸς τὸν πατέρα ⸀ἑαυτοῦ. ἔτι δὲ αὐτοῦ μακρὰν ἀπέχοντος εἶδεν αὐτὸν ὁ πατὴρ αὐτοῦ καὶ ἐσπλαγχνίσθη καὶ δραμὼν ἐπέπεσεν ἐπὶ τὸν τράχηλον αὐτοῦ καὶ κατεφίλησεν αὐτόν.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 21] εἶπεν δὲ ⸂ὁ υἱὸς αὐτῷ⸃· Πάτερ, ἥμαρτον εἰς τὸν οὐρανὸν καὶ ἐνώπιόν σου, ⸀οὐκέτι εἰμὶ ἄξιος κληθῆναι υἱός ⸀σου.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 22] εἶπεν δὲ ὁ πατὴρ πρὸς τοὺς δούλους αὐτοῦ· ⸀Ταχὺ ⸀ἐξενέγκατε στολὴν τὴν πρώτην καὶ ἐνδύσατε αὐτόν, καὶ δότε δακτύλιον εἰς τὴν χεῖρα αὐτοῦ καὶ ὑποδήματα εἰς τοὺς πόδας,
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 23] καὶ ⸀φέρετε τὸν μόσχον τὸν σιτευτόν, θύσατε, καὶ φαγόντες εὐφρανθῶμεν,
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 24] ὅτι οὗτος ὁ υἱός μου νεκρὸς ἦν καὶ ἀνέζησεν, ⸂ἦν ἀπολωλὼς⸃ καὶ εὑρέθη. καὶ ἤρξαντο εὐφραίνεσθαι.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 25] Ἦν δὲ ὁ υἱὸς αὐτοῦ ὁ πρεσβύτερος ἐν ἀγρῷ· καὶ ὡς ἐρχόμενος ἤγγισεν τῇ οἰκίᾳ, ἤκουσεν συμφωνίας καὶ χορῶν,
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 26] καὶ προσκαλεσάμενος ἕνα τῶν παίδων ἐπυνθάνετο τί ⸀ἂν εἴη ταῦτα·
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 27] ὁ δὲ εἶπεν αὐτῷ ὅτι Ὁ ἀδελφός σου ἥκει, καὶ ἔθυσεν ὁ πατήρ σου τὸν μόσχον τὸν σιτευτόν, ὅτι ὑγιαίνοντα αὐτὸν ἀπέλαβεν.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 28] ὠργίσθη δὲ καὶ οὐκ ἤθελεν εἰσελθεῖν. ὁ ⸀δὲ πατὴρ αὐτοῦ ἐξελθὼν παρεκάλει αὐτόν.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 29] ὁ δὲ ἀποκριθεὶς εἶπεν τῷ πατρὶ ⸀αὐτοῦ· Ἰδοὺ τοσαῦτα ἔτη δουλεύω σοι καὶ οὐδέποτε ἐντολήν σου παρῆλθον, καὶ ἐμοὶ οὐδέποτε ἔδωκας ἔριφον ἵνα μετὰ τῶν φίλων μου εὐφρανθῶ·
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 30] ὅτε δὲ ὁ υἱός σου οὗτος ὁ καταφαγών σου τὸν βίον ⸀μετὰ πορνῶν ἦλθεν, ἔθυσας αὐτῷ τὸν ⸂σιτευτὸν μόσχον⸃.
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 31] ὁ δὲ εἶπεν αὐτῷ· Τέκνον, σὺ πάντοτε μετʼ ἐμοῦ εἶ, καὶ πάντα τὰ ἐμὰ σά ἐστιν·
[SBLGNT | EL | NT | Luke | Chapter 15 | Verse 32] εὐφρανθῆναι δὲ καὶ χαρῆναι ἔδει, ὅτι ὁ ἀδελφός σου οὗτος νεκρὸς ἦν καὶ ⸀ἔζησεν, καὶ ⸀ἀπολωλὼς καὶ εὑρέθη.
