[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 1] τῇ δὲ μιᾷ τῶν σαββάτων ὄρθρου βαθέως ⸂ἐπὶ τὸ μνῆμα ἦλθον⸃ φέρουσαι ἃ ἡτοίμασαν ⸀ἀρώματα.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 42] οἱ δὲ ἐπέδωκαν αὐτῷ ἰχθύος ὀπτοῦ ⸀μέρος·
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 43] καὶ λαβὼν ἐνώπιον αὐτῶν ἔφαγεν.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 44] Εἶπεν δὲ ⸂πρὸς αὐτούς⸃· Οὗτοι οἱ λόγοι ⸀μου οὓς ἐλάλησα πρὸς ὑμᾶς ἔτι ὢν σὺν ὑμῖν, ὅτι δεῖ πληρωθῆναι πάντα τὰ γεγραμμένα ἐν τῷ νόμῳ Μωϋσέως ⸀καὶ προφήταις καὶ ψαλμοῖς περὶ ἐμοῦ.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 45] τότε διήνοιξεν αὐτῶν τὸν νοῦν τοῦ συνιέναι τὰς γραφάς,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 46] καὶ εἶπεν αὐτοῖς ὅτι οὕτως ⸀γέγραπται παθεῖν τὸν χριστὸν καὶ ἀναστῆναι ἐκ νεκρῶν τῇ τρίτῃ ἡμέρᾳ,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 47] καὶ κηρυχθῆναι ἐπὶ τῷ ὀνόματι αὐτοῦ μετάνοιαν ⸀καὶ ἄφεσιν ἁμαρτιῶν εἰς πάντα τὰ ἔθνη— ⸀ἀρξάμενοι ἀπὸ Ἰερουσαλήμ·
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 48] ὑμεῖς ⸀ἐστε μάρτυρες τούτων.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 49] καὶ ἰδοὺ ἐγὼ ⸀ἐξαποστέλλω τὴν ἐπαγγελίαν τοῦ πατρός μου ἐφʼ ὑμᾶς· ὑμεῖς δὲ καθίσατε ἐν τῇ ⸀πόλει ἕως οὗ ἐνδύσησθε ⸂ἐξ ὕψους δύναμιν⸃.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 50] Ἐξήγαγεν δὲ αὐτοὺς ⸀ἕως ⸀πρὸς Βηθανίαν, καὶ ἐπάρας τὰς χεῖρας αὐτοῦ εὐλόγησεν αὐτούς.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 51] καὶ ἐγένετο ἐν τῷ εὐλογεῖν αὐτὸν αὐτοὺς διέστη ἀπʼ αὐτῶν ⸂[καὶ ἀνεφέρετο εἰς τὸν οὐρανόν]⸃.
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 52] καὶ αὐτοὶ ⸂[προσκυνήσαντες αὐτὸν]⸃ ὑπέστρεψαν εἰς Ἰερουσαλὴμ μετὰ χαρᾶς μεγάλης,
[SBLGNT | EL | NT | Luke | Chapter 24 | Verse 53] καὶ ἦσαν διὰ παντὸς ἐν τῷ ἱερῷ ⸀εὐλογοῦντες τὸν ⸀θεόν.
