[LXX | EL | OT | Ezra | Chapter 4 | Verse 1] Καὶ ἤκουσαν οἱ θλίβοντες Ἰούδα καὶ Βενιαμὶν, ὅτι υἱοὶ τῆς ἀποικίας οἰκοδομοῦσιν οἶκον τῷ Κυρίῳ Θεῷ Ἰσραὴλ,
[LXX | EL | OT | Ezra | Chapter 4 | Verse 12] Γνωστὸν ἔστω τῷ βασιλεῖ, ὅτι οἱ Ἰουδαῖοι οἱ ἀναβάντες ἀπὸ σοῦ πρὸς ἡμᾶς ἤλθοσαν εἰς Ἱερουσαλὴμ τὴν πόλιν τὴν ἀποστάτιν καὶ πονηρὰν, ἣν οἰκοδομοῦσι· καὶ τὰ τείχη αὐτῆς κατηρτισμένα εἰσὶ, καὶ θεμελίους αὐτῆς ἀνύψωσαν.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 13] Νῦν οὖν γνωστὸν ἔστω τῷ βασιλεῖ, ὅτι ἐὰν ἡ πόλις ἐκείνη ἀνοικοδομηθῇ, καὶ τὰ τείχη αὐτῆς καταρτισθῶσι, φόροι οὐκ ἔσονταί σοι, οὐδὲ δώσουσι· καὶ τοῦτο βασιλεῖς κακοποιεῖ,
[LXX | EL | OT | Ezra | Chapter 4 | Verse 14] καὶ ἀσχημοσύνην βασιλέως οὐκ ἔξεστιν ἡμῖν ἰδεῖν· διὰ τοῦτο ἐπέμψαμεν καὶ ἐγνωρίσαμεν τῷ βασιλεῖ,
[LXX | EL | OT | Ezra | Chapter 4 | Verse 15] ἵνα ἐπισκέψηται ἐν βίβλῳ ὑπομνηματισμοῦ τῶν πατέρων σου, καὶ εὑρήσεις, καὶ γνώσῃ, ὅτι ἡ πόλις ἐκείνη πόλις ἀποστάτις, καὶ κακοποιοῦσα βασιλεῖς καὶ χώρας, καὶ φυγαδείαι δούλων γίνονται ἐν μέσῳ αὐτῆς ἀπὸ ἡμερῶν αἰῶνος, διὰ ταῦτα ἡ πόλις αὕτη ἠρημώθη.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 16] Γνωρίζομεν οὖν ἡμεῖς τῷ βασιλεῖ, ὅτι ἂν ἡ πόλις ἐκείνη οἰκοδομηθῇ, καὶ τὰ τείχη αὐτῆς καταρτισθῇ, οὐκ ἔστι σοι εἰρήνη.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 17] Καὶ ἀπέστειλεν ὁ βασιλεὺς πρὸς Ῥεοὺμ βαλτὰμ καὶ Σαμψὰ γραμματέα καὶ τοὺς καταλοίπους συνδούλους αὐτῶν τοὺς οἰκοῦντας ἐν Σαμαρείᾳ καὶ τοὺς καταλοίπους πέραν τοῦ ποταμοῦ, εἰρήνην· καὶ φησὶν,
[LXX | EL | OT | Ezra | Chapter 4 | Verse 18] ὁ φορολόγος ὃν ἀπεστείλατε πρὸς ἡμᾶς, ἐκλήθη ἔμπροσθεν ἐμοῦ·
[LXX | EL | OT | Ezra | Chapter 4 | Verse 19] Καὶ παρʼ ἐμοῦ ἐτέθη γνώμη, καὶ ἐπεσκεψάμεθα καὶ εὕραμεν, ὅτι ἡ πόλις ἐκείνη ἀφʼ ἡμερῶν αἰῶνος ἐπὶ βασιλεῖς ἐπαίρεται, καὶ ἀποστάσεις καὶ φυγαδείαι γίνονται ἐν αὐτῇ·
[LXX | EL | OT | Ezra | Chapter 4 | Verse 20] Καὶ βασιλεῖς ἰσχυροὶ ἐγένοντο ἐν Ἱερουσαλὴμ, καὶ ἐπικρατοῦντες ὅλης τῆς πέραν τοῦ ποταμοῦ, καὶ φόροι πλήρεις καὶ μέρος δίδονται αὐτοῖς.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 21] Καὶ νῦν θέτε γνώμην, καταργῆσαι τοὺς ἄνδρας ἐκείνους, καὶ ἡ πόλις ἐκείνη οὐκ οἰκοδομηθήσεται ἔτι· Ὅπως ἀπὸ τῆς γνώμης
[LXX | EL | OT | Ezra | Chapter 4 | Verse 22] πεφυλαγμένοι ἦτε ἄνεσιν ποιῆσαι περὶ τούτου, μή ποτε πληθυνθῇ ἀφανισμὸς εἰς κακοποίησιν βασιλεῦσι.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 23] Τότε ὁ φορολόγος τοῦ Ἀρθασασθὰ βασιλέως ἀνέγνω ἐνώπιον Ῥεοὺμ βαλτὰμ καὶ Σαμψὰ γραμματέως καὶ συνδούλων αὐτοῦ· καὶ ἐπορεύθησαν σπουδῇ εἶς Ἱερουσαλὴμ καὶ ἐν Ἰούδα, καὶ κατήργησαν αὐτοὺς ἐν ἵπποις καὶ δυνάμει.
[LXX | EL | OT | Ezra | Chapter 4 | Verse 24] Τότε ἤργησε τὸ ἔργον οἴκου τοῦ Θεοῦ τὸ ἐν Ἱερουσαλήμ· καὶ ἦν ἀργοῦν ἕως δευτέρου ἔτους τῆς βασιλείας Δαρείου βασιλέως Περσῶν.
