[ASV | EN | OT | Lamentations | Chapter 3 | Verse 1] I am the man that hath seen affliction by the rod of his wrath.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 19] Remember mine affliction and my misery, the wormwood and the gall.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 20] My soul hath them still in remembrance, and is bowed down within me.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 21] This I recall to my mind; therefore have I hope.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 22] It is of Jehovah’s lovingkindnesses that we are not consumed, because his compassions fail not.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 23] They are new every morning; great is thy faithfulness.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 24] Jehovah is my portion, saith my soul; therefore will I hope in him.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 25] Jehovah is good unto them that wait for him, to the soul that seeketh him.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 26] It is good that a man should hope and quietly wait for the salvation of Jehovah.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 27] It is good for a man that he bear the yoke in his youth.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 28] Let him sit alone and keep silence, because he hath laid it upon him.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 29] Let him put his mouth in the dust, if so be there may be hope.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 30] Let him give his cheek to him that smiteth him; let him be filled full with reproach.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 31] For the Lord will not cast off forever.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 32] For though he cause grief, yet will he have compassion according to the multitude of his lovingkindnesses.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 33] For he doth not afflict willingly, nor grieve the children of men.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 34] To crush under foot all the prisoners of the earth,
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 35] To turn aside the right of a man before the face of the Most High,
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 36] To subvert a man in his cause, the Lord approveth not.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 37] Who is he that saith, and it cometh to pass, when the Lord commandeth it not?
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 38] Out of the mouth of the Most High cometh there not evil and good?
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 39] Wherefore doth a living man complain, a man for the punishment of his sins?
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 40] Let us search and try our ways, and turn again to Jehovah.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 41] Let us lift up our heart with our hands unto God in the heavens.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 42] We have transgressed and have rebelled; thou hast not pardoned.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 43] Thou hast covered with anger and pursued us; thou hast slain, thou hast not pitied.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 44] Thou hast covered thyself with a cloud, so that no prayer can pass through.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 45] Thou hast made us an offscouring and refuse in the midst of the peoples.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 46] All our enemies have opened their mouth wide against us.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 47] Fear and the pit are come upon us, devastation and destruction.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 48] Mine eye runneth down with streams of water, for the destruction of the daughter of my people.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 49] Mine eye poureth down, and ceaseth not, without any intermission,
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 50] Till Jehovah look down, and behold from heaven.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 51] Mine eye affecteth my soul, because of all the daughters of my city.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 52] They have chased me sore like a bird, they that are mine enemies without cause.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 53] They have cut off my life in the dungeon, and have cast a stone upon me.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 54] Waters flowed over my head; I said, I am cut off.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 55] I called upon thy name, O Jehovah, out of the lowest dungeon.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 56] Thou heardest my voice; hide not thine ear at my breathing, at my cry.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 57] Thou drewest near in the day that I called upon thee; thou saidst, Fear not.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 58] O Lord, thou hast pleaded the causes of my soul; thou hast redeemed my life.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 59] O Jehovah, thou hast seen my wrong; judge thou my cause.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 60] Thou hast seen all their vengeance and all their devices against me.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 61] Thou hast heard their reproach, O Jehovah, and all their devices against me,
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 62] The lips of those that rose up against me, and their device against me all the day.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 63] Behold thou their sitting down, and their rising up; I am their song.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 64] Thou wilt render unto them a recompense, O Jehovah, according to the work of their hands.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 65] Thou wilt give them hardness of heart, thy curse unto them.
[ASV | EN | OT | Lamentations | Chapter 3 | Verse 66] Thou wilt pursue them in anger, and destroy them from under the heavens of Jehovah.
