[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 1] Ὄφελον ἀνείχεσθέ μου μικρόν ⸀τι ⸀ἀφροσύνης· ἀλλὰ καὶ ἀνέχεσθέ μου.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 12] Ὃ δὲ ποιῶ καὶ ποιήσω, ἵνα ἐκκόψω τὴν ἀφορμὴν τῶν θελόντων ἀφορμήν, ἵνα ἐν ᾧ καυχῶνται εὑρεθῶσιν καθὼς καὶ ἡμεῖς.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 13] οἱ γὰρ τοιοῦτοι ψευδαπόστολοι, ἐργάται δόλιοι, μετασχηματιζόμενοι εἰς ἀποστόλους Χριστοῦ·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 14] καὶ οὐ ⸀θαῦμα, αὐτὸς γὰρ ὁ Σατανᾶς μετασχηματίζεται εἰς ἄγγελον φωτός·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 15] οὐ μέγα οὖν εἰ καὶ οἱ διάκονοι αὐτοῦ μετασχηματίζονται ὡς διάκονοι δικαιοσύνης, ὧν τὸ τέλος ἔσται κατὰ τὰ ἔργα αὐτῶν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 16] Πάλιν λέγω, μή τίς με δόξῃ ἄφρονα εἶναι— εἰ δὲ μή γε, κἂν ὡς ἄφρονα δέξασθέ με, ἵνα κἀγὼ μικρόν τι καυχήσωμαι·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 17] ὃ λαλῶ οὐ ⸂κατὰ κύριον λαλῶ⸃, ἀλλʼ ὡς ἐν ἀφροσύνῃ, ἐν ταύτῃ τῇ ὑποστάσει τῆς καυχήσεως.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 18] ἐπεὶ πολλοὶ καυχῶνται ⸀κατὰ σάρκα, κἀγὼ καυχήσομαι.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 19] ἡδέως γὰρ ἀνέχεσθε τῶν ἀφρόνων φρόνιμοι ὄντες·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 20] ἀνέχεσθε γὰρ εἴ τις ὑμᾶς καταδουλοῖ, εἴ τις κατεσθίει, εἴ τις λαμβάνει, εἴ τις ἐπαίρεται, εἴ τις ⸂εἰς πρόσωπον ὑμᾶς⸃ δέρει.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 21] κατὰ ἀτιμίαν λέγω, ὡς ὅτι ἡμεῖς ⸀ἠσθενήκαμεν· ἐν ᾧ δʼ ἄν τις τολμᾷ, ἐν ἀφροσύνῃ λέγω, τολμῶ κἀγώ.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 22] Ἑβραῖοί εἰσιν; κἀγώ. Ἰσραηλῖταί εἰσιν; κἀγώ. σπέρμα Ἀβραάμ εἰσιν; κἀγώ.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 23] διάκονοι Χριστοῦ εἰσιν; παραφρονῶν λαλῶ, ὑπὲρ ἐγώ· ἐν κόποις περισσοτέρως, ἐν ⸂φυλακαῖς περισσοτέρως, ἐν πληγαῖς ὑπερβαλλόντως⸃, ἐν θανάτοις πολλάκις·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 24] ὑπὸ Ἰουδαίων πεντάκις τεσσεράκοντα παρὰ μίαν ἔλαβον,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 25] τρὶς ἐραβδίσθην, ἅπαξ ἐλιθάσθην, τρὶς ἐναυάγησα, νυχθήμερον ἐν τῷ βυθῷ πεποίηκα·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 26] ὁδοιπορίαις πολλάκις, κινδύνοις ποταμῶν, κινδύνοις λῃστῶν, κινδύνοις ἐκ γένους, κινδύνοις ἐξ ἐθνῶν, κινδύνοις ἐν πόλει, κινδύνοις ἐν ἐρημίᾳ, κινδύνοις ἐν θαλάσσῃ, κινδύνοις ἐν ψευδαδέλφοις,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 27] ⸀κόπῳ καὶ μόχθῳ, ἐν ἀγρυπνίαις πολλάκις, ἐν λιμῷ καὶ δίψει, ἐν νηστείαις πολλάκις, ἐν ψύχει καὶ γυμνότητι·
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 28] χωρὶς τῶν παρεκτὸς ἡ ⸀ἐπίστασίς ⸀μοι ἡ καθʼ ἡμέραν, ἡ μέριμνα πασῶν τῶν ἐκκλησιῶν.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 29] τίς ἀσθενεῖ, καὶ οὐκ ἀσθενῶ; τίς σκανδαλίζεται καὶ οὐκ ἐγὼ πυροῦμαι;
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 30] Εἰ καυχᾶσθαι δεῖ, τὰ τῆς ἀσθενείας μου καυχήσομαι.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 31] ὁ θεὸς καὶ πατὴρ τοῦ κυρίου ⸀Ἰησοῦ οἶδεν, ὁ ὢν εὐλογητὸς εἰς τοὺς αἰῶνας, ὅτι οὐ ψεύδομαι.
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 32] ἐν Δαμασκῷ ὁ ἐθνάρχης Ἁρέτα τοῦ βασιλέως ἐφρούρει τὴν ⸂πόλιν Δαμασκηνῶν⸃ πιάσαι ⸀με,
[SBLGNT | EL | NT | 2 Corinthians | Chapter 11 | Verse 33] καὶ διὰ θυρίδος ἐν σαργάνῃ ἐχαλάσθην διὰ τοῦ τείχους καὶ ἐξέφυγον τὰς χεῖρας αὐτοῦ.
