[IRV | PA | OT | Job | Chapter 14 | Verse 1] “ਮਨੁੱਖ ਜੋ ਇਸਤਰੀ ਤੋਂ ਜੰਮਦਾ ਹੈ ਉਹ ਥੋੜ੍ਹੇ ਹੀ ਦਿਨਾਂ ਦਾ ਹੈ ਅਤੇ ਦੁੱਖ ਨਾਲ ਭਰਿਆ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | OT | Job | Chapter 14 | Verse 12] ਤਿਵੇਂ ਮਨੁੱਖ ਲੇਟਦਾ ਅਤੇ ਫਿਰ ਉੱਠਦਾ ਨਹੀਂ, ਜਦੋਂ ਤੱਕ ਅਕਾਸ਼ ਟਲ ਨਾ ਜਾਣ, ਉਹ ਨਾ ਜਾਗਣਗੇ, ਨਾ ਆਪਣੀ ਨੀਂਦ ਤੋਂ ਜਗਾਏ ਜਾਣਗੇ।
[IRV | PA | OT | Job | Chapter 14 | Verse 13] “ਕਾਸ਼ ਕਿ ਤੂੰ ਮੈਨੂੰ ਅਧੋਲੋਕ ਵਿੱਚ ਲੁਕਾ ਦੇਵੇਂ, ਅਤੇ ਮੈਨੂੰ ਛੁਪਾ ਰੱਖੇਂ ਜਦ ਤੱਕ ਤੇਰਾ ਕ੍ਰੋਧ ਨਾ ਹਟੇ, ਅਤੇ ਮੇਰੇ ਲਈ ਖ਼ਾਸ ਵੇਲਾ ਠਹਿਰਾਵੇਂ ਅਤੇ ਮੈਨੂੰ ਯਾਦ ਕਰੇਂ!
[IRV | PA | OT | Job | Chapter 14 | Verse 14] ਜੇਕਰ ਮਨੁੱਖ ਮਰ ਜਾਵੇ ਤਾਂ ਕੀ ਉਹ ਫੇਰ ਜੀਵੇਗਾ? ਆਪਣੀ ਸਖ਼ਤ ਟਹਿਲ ਦੇ ਸਾਰੇ ਦਿਨਾਂ ਵਿੱਚ ਮੈਂ ਉਡੀਕ ਵਿੱਚ ਰਹਾਂਗਾ, ਜਦੋਂ ਤੱਕ ਮੇਰੀ ਵਾਰੀ ਨਾ ਆਵੇ।
[IRV | PA | OT | Job | Chapter 14 | Verse 15] ਤੂੰ ਪੁਕਾਰੇਂਗਾ ਅਤੇ ਮੈਂ ਤੈਨੂੰ ਉੱਤਰ ਦਿਆਂਗਾ, ਤੂੰ ਆਪਣੇ ਹੱਥਾਂ ਦੇ ਕੰਮ ਨੂੰ ਚਾਹਵੇਂਗਾ।
[IRV | PA | OT | Job | Chapter 14 | Verse 16] ਪਰ ਹੁਣ ਤੂੰ ਮੇਰੇ ਕਦਮਾਂ ਨੂੰ ਗਿਣਦਾ ਹੈਂ, ਕੀ ਤੂੰ ਮੇਰੇ ਪਾਪ ਉੱਤੇ ਨਜ਼ਰ ਨਹੀਂ ਰੱਖਦਾ?
[IRV | PA | OT | Job | Chapter 14 | Verse 17] ਮੇਰਾ ਅਪਰਾਧ ਮੋਹਰ ਲੱਗੀ ਹੋਈ ਥੈਲੀ ਵਿੱਚ ਬੰਦ ਹੈ, ਅਤੇ ਤੂੰ ਮੇਰੀ ਬਦੀ ਨੂੰ ਸੀਉਂਕੇ ਰੱਖਿਆ ਹੋਇਆ ਹੈ।
[IRV | PA | OT | Job | Chapter 14 | Verse 18] “ਪਰ ਪਰਬਤ ਡਿੱਗਦਾ-ਡਿੱਗਦਾ ਘਸ ਜਾਂਦਾ ਅਤੇ ਚੱਟਾਨ ਆਪਣੇ ਥਾਂ ਤੋਂ ਸਰਕ ਜਾਂਦੀ ਹੈ,
[IRV | PA | OT | Job | Chapter 14 | Verse 19] ਪਾਣੀ ਪੱਥਰਾਂ ਨੂੰ ਘਸਾ ਦਿੰਦਾ ਹੈ, ਉਹ ਦਾ ਹੜ੍ਹ ਧਰਤੀ ਦੀ ਮਿੱਟੀ ਨੂੰ ਵਹਾ ਕੇ ਲੈ ਜਾਂਦਾ ਹੈ, ਇਸੇ ਤਰ੍ਹਾਂ ਤੂੰ ਮਨੁੱਖ ਦੀ ਆਸ ਨੂੰ ਮਿਟਾ ਦਿੰਦਾ ਹੈਂ।
[IRV | PA | OT | Job | Chapter 14 | Verse 20] ਤੂੰ ਹਮੇਸ਼ਾਂ ਉਸ ਉੱਤੇ ਪਰਬਲ ਹੁੰਦਾ ਹੈ, ਅਤੇ ਉਹ ਚੱਲਿਆ ਜਾਂਦਾ ਹੈ, ਤੂੰ ਉਹ ਦਾ ਚਿਹਰਾ ਬਦਲ ਕੇ ਉਹ ਨੂੰ ਕੱਢ ਦਿੰਦਾ ਹੈਂ!
[IRV | PA | OT | Job | Chapter 14 | Verse 21] ਉਹ ਦੇ ਪੁੱਤਰ ਸਨਮਾਨ ਪ੍ਰਾਪਤ ਕਰਦੇ ਹਨ, ਪਰ ਉਹ ਜਾਣਦਾ ਨਹੀਂ, ਉਹ ਹਲਕੇ ਪੈ ਜਾਂਦੇ ਹਨ ਪਰ ਉਹ ਉਨ੍ਹਾਂ ਦਾ ਹਾਲ ਨਹੀਂ ਸਮਝਦਾ
[IRV | PA | OT | Job | Chapter 14 | Verse 22] ਉਸ ਨੂੰ ਸਿਰਫ਼ ਆਪਣੇ ਸਰੀਰ ਦਾ ਹੀ ਦੁੱਖ ਮਹਿਸੂਸ ਹੁੰਦਾ ਹੈ ਅਤੇ ਆਪਣੇ ਲਈ ਹੀ ਉਸ ਦੀ ਜਾਨ ਅੰਦਰ ਹੀ ਅੰਦਰ ਸੋਗ ਕਰਦੀ ਹੈ।”
