[IRV | PA | OT | Job | Chapter 4 | Verse 1] ਤਦ ਅਲੀਫਾਜ਼ ਤੇਮਾਨੀ ਨੇ ਉੱਤਰ ਦੇ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Job | Chapter 4 | Verse 12] “ਇੱਕ ਗੱਲ ਚੋਰੀ-ਛੁੱਪੇ ਮੇਰੇ ਕੋਲ ਪਹੁੰਚਾਈ ਗਈ, ਅਤੇ ਉਹ ਦੀ ਭਣਕ ਮੇਰੇ ਕੰਨਾਂ ਵਿੱਚ ਆਈ,
[IRV | PA | OT | Job | Chapter 4 | Verse 13] ਰਾਤ ਦੇ ਸੁਫਨਿਆਂ ਦੀਆਂ ਚਿੰਤਾਵਾਂ ਵਿੱਚ, ਜਦ ਭਾਰੀ ਨੀਂਦ ਮਨੁੱਖਾਂ ਉੱਤੇ ਪੈਂਦੀ ਹੈ,
[IRV | PA | OT | Job | Chapter 4 | Verse 14] ਡਰ ਅਤੇ ਕਾਂਬਾ ਮੇਰੇ ਉੱਤੇ ਆ ਪਏ, ਜਿਨ੍ਹਾਂ ਨੇ ਮੇਰੀਆਂ ਸਾਰੀਆਂ ਹੱਡੀਆਂ ਨੂੰ ਹਿਲਾ ਦਿੱਤਾ!
[IRV | PA | OT | Job | Chapter 4 | Verse 15] ਇੱਕ ਰੂਹ ਮੇਰੇ ਮੂੰਹ ਅੱਗੋਂ ਦੀ ਲੰਘੀ, ਮੇਰੇ ਸਰੀਰ ਦੀ ਲੂਈਂ ਖੜ੍ਹੀ ਹੋ ਗਈ!
[IRV | PA | OT | Job | Chapter 4 | Verse 16] ਉਹ ਖੜ੍ਹੀ ਹੋ ਗਈ ਪਰ ਮੈਂ ਉਹ ਦੀ ਸ਼ਕਲ ਪਛਾਣ ਨਾ ਸਕਿਆ, ਕੋਈ ਰੂਪ ਮੇਰੀਆਂ ਅੱਖਾਂ ਦੇ ਅੱਗੇ ਸੀ, ਪਹਿਲਾਂ ਖ਼ਾਮੋਸ਼ੀ ਰਹੀ, ਫੇਰ ਮੈਂ ਇੱਕ ਅਵਾਜ਼ ਸੁਣੀ।
[IRV | PA | OT | Job | Chapter 4 | Verse 17] ਕੀ ਨਾਸਵਾਨ ਮਨੁੱਖ ਪਰਮੇਸ਼ੁਰ ਨਾਲੋਂ ਜ਼ਿਆਦਾ ਧਰਮੀ ਹੈ, ਜਾਂ ਕੀ ਇੱਕ ਮਨੁੱਖ ਆਪਣੇ ਸਿਰਜਣਹਾਰ ਨਾਲੋਂ ਜ਼ਿਆਦਾ ਪਵਿੱਤਰ ਹੈ?
[IRV | PA | OT | Job | Chapter 4 | Verse 18] ਵੇਖ, ਉਹ ਆਪਣੇ ਸੇਵਕਾਂ ਉੱਤੇ ਭਰੋਸਾ ਨਹੀਂ ਰੱਖਦਾ ਅਤੇ ਆਪਣੇ ਦੂਤਾਂ ਨੂੰ ਦੋਸ਼ੀ ਠਹਿਰਾਉਂਦਾ ਹੈ,
[IRV | PA | OT | Job | Chapter 4 | Verse 19] ਤਾਂ ਫਿਰ ਉਹ ਕੀ ਹਨ ਜਿਹੜੇ ਕੱਚੇ ਘਰਾਂ ਵਿੱਚ ਵੱਸਦੇ ਹਨ, ਜਿਨ੍ਹਾਂ ਦੀਆਂ ਨੀਂਹਾਂ ਮਿੱਟੀ ਵਿੱਚ ਹਨ, ਜਿਹੜੇ ਪਤੰਗੇ ਦੀ ਤਰ੍ਹਾਂ ਪੀਹੇ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 4 | Verse 20] ਸਵੇਰ ਤੋਂ ਸ਼ਾਮ ਤੱਕ ਉਹ ਟੁੱਕੜੇ-ਟੁੱਕੜੇ ਹੋ ਜਾਂਦੇ ਹਨ, ਕੋਈ ਉਨ੍ਹਾਂ ਦਾ ਵਿਚਾਰ ਵੀ ਨਹੀਂ ਕਰਦਾ ਅਤੇ ਉਹ ਸਦਾ ਲਈ ਨਾਸ ਹੋ ਜਾਂਦੇ ਹਨ।
[IRV | PA | OT | Job | Chapter 4 | Verse 21] ਕੀ ਉਨ੍ਹਾਂ ਦੇ ਤੰਬੂ ਦਾ ਕਿੱਲਾ ਉਨ੍ਹਾਂ ਦੇ ਵਿੱਚ ਪੁੱਟਿਆ ਨਹੀਂ ਜਾਂਦਾ? ਉਹ ਬੁੱਧ ਤੋਂ ਬਿਨ੍ਹਾਂ ਹੀ ਮਰ ਜਾਂਦੇ ਹਨ।”
