[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 1] Now these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 31] Then I brought up the princes of Judah upon the wall, and appointed two great companies that gave thanks and went in procession; whereof one went on the right hand upon the wall toward the dung gate:
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 32] and after them went Hoshaiah, and half of the princes of Judah,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 33] and Azariah, Ezra, and Meshullam,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 34] Judah, and Benjamin, and Shemaiah, and Jeremiah,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 35] and certain of the priests’ sons with trumpets: Zechariah the son of Jonathan, the son of Shemaiah, the son of Mattaniah, the son of Micaiah, the son of Zaccur, the son of Asaph;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 36] and his brethren, Shemaiah, and Azarel, Milalai, Gilalai, Maai, Nethanel, and Judah, Hanani, with the musical instruments of David the man of God; and Ezra the scribe was before them.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 37] And by the fountain gate, and straight before them, they went up by the stairs of the city of David, at the ascent of the wall, above the house of David, even unto the water gate eastward.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 38] And the other company of them that gave thanks went to meet them, and I after them, with the half of the people, upon the wall, above the tower of the furnaces, even unto the broad wall,
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 39] and above the gate of Ephraim, and by the old gate, and by the fish gate, and the tower of Hananel, and the tower of Hammeah, even unto the sheep gate: and they stood still in the gate of the guard.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 40] So stood the two companies of them that gave thanks in the house of God, and I, and the half of the rulers with me;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 41] and the priests, Eliakim, Maaseiah, Miniamin, Micaiah, Elioenai, Zechariah, and Hananiah, with trumpets;
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 42] and Maaseiah, and Shemaiah, and Eleazar, and Uzzi, and Jehohanan, and Malchijah, and Elam, and Ezer. And the singers sang loud, with Jezrahiah their overseer.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 43] And they offered great sacrifices that day, and rejoiced; for God had made them rejoice with great joy; and the women also and the children rejoiced: so that the joy of Jerusalem was heard even afar off.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 44] And on that day were men appointed over the chambers for the treasures, for the heave offerings, for the firstfruits, and for the tithes, to gather into them, according to the fields of the cities, the portions appointed by the law for the priests and Levites: for Judah rejoiced for the priests and for the Levites that waited.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 45] And they kept the charge of their God, and the charge of the purification, and so did the singers and the porters, according to the commandment of David, and of Solomon his son.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 46] For in the days of David and Asaph of old there was a chief of the singers, and songs of praise and thanksgiving unto God.
[ASV | EN | OT | Nehemiah | Chapter 12 | Verse 47] And all Israel in the days of Zerubbabel, and in the days of Nehemiah, gave the portions of the singers and the porters, as every day required: and they set apart that which was for the Levites; and the Levites set apart that which was for the sons of Aaron.
