[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 1] Now it came to pass, when the wall was built, and I had set up the doors, and the porters and the singers and the Levites were appointed,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 61] And these were they that went up from Tel-melah, Tel-harsha, Cherub, Addon, and Immer; but they could not show their fathers’ houses, nor their seed, whether they were of Israel:
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 62] The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred forty and two.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 63] And of the priests: the children of Hobaiah, the children of Hakkoz, the children of Barzillai, who took a wife of the daughters of Barzillai the Gileadite, and was called after their name.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 64] These sought their register among those that were reckoned by genealogy, but it was not found: therefore were they deemed polluted and put from the priesthood.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 65] And the governor said unto them, that they should not eat of the most holy things, till there stood up a priest with Urim and Thummim.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 66] The whole assembly together was forty and two thousand three hundred and threescore,
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 67] besides their menservants and their maidservants, of whom there were seven thousand three hundred thirty and seven: and they had two hundred forty and five singing men and singing women.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 68] Their horses were seven hundred thirty and six; their mules, two hundred forty and five;
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 69] their camels, four hundred thirty and five; their asses, six thousand seven hundred and twenty.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 70] And some from among the heads of fathers’ houses gave unto the work. The governor gave to the treasury a thousand darics of gold, fifty basins, five hundred and thirty priests’ garments.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 71] And some of the heads of fathers’ houses gave into the treasury of the work twenty thousand darics of gold, and two thousand and two hundred pounds of silver.
[ASV | EN | OT | Nehemiah | Chapter 7 | Verse 72] And that which the rest of the people gave was twenty thousand darics of gold, and two thousand pounds of silver, and threescore and seven priests’ garments.
