[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 1] “तुम अपने परमेश्वर यहोवा के पुत्र हो; इसलिए मरे हुओं के कारण न तो अपना शरीर चीरना, और न भौहों के बाल मुण्डाना। (रोम. 9:4)
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 19] और जितने रेंगनेवाले जन्तु हैं वे सब तुम्हारे लिये अशुद्ध हैं; वे खाए न जाएँ।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 20] परन्तु सब शुद्ध पंखवालों का माँस तुम खा सकते हो।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 21] “जो अपनी मृत्यु से मर जाए उसे तुम न खाना; उसे अपने फाटकों के भीतर किसी परदेशी को खाने के लिये दे सकते हो, या किसी पराए के हाथ बेच सकते हो; परन्तु तू तो अपने परमेश्वर यहोवा के लिये पवित्र प्रजा है। बकरी का बच्चा उसकी माता के दूध में न पकाना।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 22] “बीज की सारी उपज में से जो प्रतिवर्ष खेत में उपजे उसका दशमांश अवश्य अलग करके रखना।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 23] और जिस स्थान को तेरा परमेश्वर यहोवा अपने नाम का निवास ठहराने के लिये चुन ले उसमें अपने अन्न, और नये दाखमधु, और टटके तेल का दशमांश, और अपने गाय-बैलों और भेड़-बकरियों के पहलौठे अपने परमेश्वर यहोवा के सामने खाया करना; जिससे तुम उसका भय नित्य मानना सीखोगे।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 24] परन्तु यदि वह स्थान जिसको तेरा परमेश्वर यहोवा अपना नाम बनाएँ रखने के लिये चुन लेगा बहुत दूर हो, और इस कारण वहाँ की यात्रा तेरे लिये इतनी लम्बी हो कि तू अपने परमेश्वर यहोवा की आशीष से मिली हुई वस्तुएँ वहाँ न ले जा सके,
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 25] तो उसे बेचकर, रुपये को बाँध, हाथ में लिये हुए उस स्थान पर जाना जो तेरा परमेश्वर यहोवा चुन लेगा,
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 26] और वहाँ गाय-बैल, या भेड़-बकरी, या दाखमधु, या मदिरा, या किसी भाँति की वस्तु क्यों न हो, जो तेरा जी चाहे, उसे उसी रुपये से मोल लेकर अपने घराने समेत अपने परमेश्वर यहोवा के सामने खाकर आनन्द करना।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 27] और अपने फाटकों के भीतर के लेवीय को न छोड़ना, क्योंकि तेरे साथ उसका कोई भाग या अंश न होगा।
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 28] “तीन-तीन वर्ष के बीतने पर तीसरे वर्ष की उपज का सारा दशमांश निकालकर अपने फाटकों के भीतर इकट्ठा कर रखना;
[IRV | HI | OT | Deuteronomy | Chapter 14 | Verse 29] तब लेवीय जिसका तेरे संग कोई निज भाग या अंश न होगा वह, और जो परदेशी, और अनाथ, और विधवाएँ तेरे फाटकों के भीतर हों, वे भी आकर पेट भर खाएँ; जिससे तेरा परमेश्वर यहोवा तेरे सब कामों में तुझे आशीष दे।
