[IRV | KN | OT | Numbers | Chapter 16 | Verse 1] ಆಗ ಲೇವಿಯನ ಮರಿಮಗನೂ, ಕೆಹಾತನ ಮೊಮ್ಮಗನೂ, ಇಚ್ಚಾರನ ಮಗನೂ ಆದ ಕೋರಹನು ಮತ್ತು ರೂಬೇನ್ ಕುಲದವರಲ್ಲಿ ಎಲೀಯಾಬನ ಮಕ್ಕಳಾದ ದಾತಾನನೂ, ಅಬೀರಾಮನೂ ಮತ್ತು ಪೆಲೆತನ ಮಗನಾದ ಓನನೂ, ಕೆಲವು ಜನರನ್ನು ಕೂಡಿಸಿದರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 12] ಮೋಶೆಯು, ಎಲೀಯಾಬನ ಮಕ್ಕಳಾದ ದಾತಾನ್ ಮತ್ತು ಅಬೀರಾಮರನ್ನು ಕರೆದುಕೊಂಡು ಬರಲು ಹೇಳಿದರು ಅವರು ಅವನಿಗೆ, “ನಾವು ಬರುವುದಿಲ್ಲ.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 13] ನೀನು ಹಾಲೂ ಮತ್ತು ಜೇನೂ ಹರಿಯುವ ದೇಶದಿಂದ ಕರೆದುಕೊಂಡು ಬಂದು ನಮ್ಮನ್ನು ಮರುಭೂಮಿಯಲ್ಲಿ ಸಾಯಿಸುವುದು ನಿನಗೆ ಸಾಕಾಗಲಿಲ್ಲವೋ? ನೀನು ನಮ್ಮ ಮೇಲೆ ದೊರೆತನ ಮಾಡಬೇಕು ಎಂದು ಕೋರುತ್ತಿಯೋ?
[IRV | KN | OT | Numbers | Chapter 16 | Verse 14] ಅಷ್ಟು ಮಾತ್ರವೇ ಅಲ್ಲ, ನೀನು ಹಾಲೂ ಜೇನೂ ಹರಿಯುವ ದೇಶಕ್ಕೆ ನಮ್ಮನ್ನು ಸೇರಿಸಲಿಲ್ಲ; ಹೊಲಗಳನ್ನೂ, ದ್ರಾಕ್ಷಿತೋಟಗಳನ್ನೂ ನಮಗೆ ಸ್ವಂತಕ್ಕೆ ಕೊಡಲೇ ಇಲ್ಲ; ಈ ಜನರ ಕಣ್ಣಿಗೆ ಮಣ್ಣು ಹಾಕಬೇಕೆಂದಿದ್ದೀಯೋ? ನಾವು ಬರುವುದಿಲ್ಲ” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 15] ಅದಕ್ಕೆ ಮೋಶೆಯು ಬಹಳ ಕೋಪಗೊಂಡು ಯೆಹೋವನಿಗೆ, “ನೀನು ಅವರ ನೈವೇದ್ಯವನ್ನು ಲಕ್ಷ್ಯಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳಬೇಡ; ನಾನು ಅವರಿಂದ ಒಂದು ಕತ್ತೆಯನ್ನಾದರೂ ತೆಗೆದುಕೊಂಡವನಲ್ಲ; ಅವರಲ್ಲಿ ಒಬ್ಬನಿಗಾದರೂ ಹಾನಿ ಮಾಡಿದವನಲ್ಲ” ಎಂದು ಮನವಿಮಾಡಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 16] ಮೋಶೆ ಕೋರಹನಿಗೆ, “ನಾಳೆ ನೀನೂ, ನಿನ್ನ ಸಮೂಹದವರೆಲ್ಲರೂ ಮತ್ತು ಆರೋನನೂ ಯೆಹೋವನ ಸನ್ನಿಧಿಗೆ ಬರಬೇಕು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 17] ಅವರಲ್ಲಿ ಒಬ್ಬೊಬ್ಬನು ತನ್ನ ತನ್ನ ಧೂಪಾರತಿಗಳನ್ನು, ಒಟ್ಟಾಗಿ ಇನ್ನೂರೈವತ್ತು ಧೂಪಾರತಿಯನ್ನು ತೆಗೆದುಕೊಂಡು ಧೂಪಹಾಕಿ ಯೆಹೋವನ ಸನ್ನಿಧಿಗೆ ಬರಬೇಕು. ಹಾಗೆಯೇ ನೀನು ಮತ್ತು ಆರೋನನು ನಿಮ್ಮ ನಿಮ್ಮ ಧೂಪಾರತಿಗಳನ್ನು ತೆಗೆದುಕೊಂಡು ಬರಬೇಕು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 18] ಅದಕ್ಕೆ ಅನುಸಾರವಾಗಿ ಅವರೆಲ್ಲರೂ ತಮ್ಮ ತಮ್ಮ ಧೂಪಾರತಿಗಳನ್ನು ಕೈಯಲ್ಲಿ ತೆಗೆದುಕೊಂಡು ಅವುಗಳಲ್ಲಿ ಕೆಂಡಗಳನ್ನಿಟ್ಟು ಧೂಪದ್ರವ್ಯಗಳನ್ನು ಹಾಕಿ ಮೋಶೆ ಮತ್ತು ಆರೋನರ ಜೊತೆಯಲ್ಲಿ ದೇವದರ್ಶನದ ಗುಡಾರದ ಬಾಗಿಲಿನಲ್ಲಿ ನಿಂತುಕೊಂಡರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 19] ಅದಲ್ಲದೆ ಕೋರಹನು ತಮಗೆ ಎದುರಾದ ಸರ್ವಸಮೂಹದವರನ್ನು ದೇವದರ್ಶನದ ಗುಡಾರದ ಬಾಗಿಲಿನ ಹತ್ತಿರಕ್ಕೆ ಕೂಡಿಸಿದನು. ಆಗ ಯೆಹೋವನ ತೇಜಸ್ಸು ಸಮೂಹದವರೆಲ್ಲರಿಗೂ ಕಾಣಿಸಿತು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 20] ಯೆಹೋವನು ಮೋಶೆ ಮತ್ತು ಆರೋನನ ಸಂಗಡ ಮಾತನಾಡಿ ಹೇಳಿದ್ದೇನೆಂದರೆ,
[IRV | KN | OT | Numbers | Chapter 16 | Verse 21] “ನೀವು ಈ ಸರ್ವಸಮೂಹದವರಿಂದ ಪ್ರತ್ಯೇಕವಾಗಿ ನಿಲ್ಲಿರಿ; ನಾನು ಇವರನ್ನು ಒಂದು ಕ್ಷಣದಲ್ಲಿ ದಹಿಸಿಬಿಡುತ್ತೇನೆ” ಎಂದು ಆಜ್ಞಾಪಿಸಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 22] ಅವರು ಬೋರಲುಬಿದ್ದು, “ದೇವರೇ, ಎಲ್ಲಾ ಮನುಷ್ಯರ ಆತ್ಮಗಳಿಗೆ ದೇವರಾಗಿರುವವನೇ, ಇವರಲ್ಲಿ ದೋಷಿಯಾದವನು ಒಬ್ಬನೇ ಆಗಿರಲಾಗಿ ಸರ್ವಸಮೂಹದವರೆಲ್ಲರ ಮೇಲೆ ಕೋಪಗೊಳ್ಳಬಹುದೋ?” ಎಂದು ಬಿನ್ನೈಸಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 23] ಆಗ ಯೆಹೋವನು ಮೋಶೆಗೆ ಉತ್ತರವಾಗಿ,
[IRV | KN | OT | Numbers | Chapter 16 | Verse 24] “ಇಸ್ರಾಯೇಲರ ಸಮೂಹದವರಿಗೆ, ‘ಕೋರಹ, ದಾತಾನ್ ಮತ್ತು ಅಬೀರಾಮರ ಗುಡಾರದಿಂದ ದೂರವಿರಬೇಕು’ ಎಂದು ಅವರಿಗೆ ಆಜ್ಞಾಪಿಸು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 25] ಆಗ ಮೋಶೆ ಎದ್ದು ದಾತಾನ್ ಮತ್ತು ಅಬೀರಾಮರ ಬಳಿಗೆ ಹೋದನು; ಇಸ್ರಾಯೇಲರ ಹಿರಿಯರು ಅವನ ಹಿಂದೆ ಹೋದರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 26] ಅವನು ಇಸ್ರಾಯೇಲರ ಸಮೂಹದವರಿಗೆ, “ನೀವು ಈ ದುಷ್ಟರ ಡೇರೆಗಳ ಬಳಿಯಲ್ಲಿ ಇರದೆ ದೂರ ಹೋಗಬೇಕು; ಇವರ ಸೊತ್ತಿನಲ್ಲಿ ಯಾವುದನ್ನೂ ಮುಟ್ಟಬಾರದು; ಇವರ ದೋಷಗಳಿಗಾಗಿ ಉಂಟಾಗುವ ಶಿಕ್ಷೆ ನಿಮ್ಮನ್ನೂ ಕೊಚ್ಚಿಕೊಂಡು ಹೋದೀತು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 27] ಆದಕಾರಣ ಅವರೆಲ್ಲರೂ ಕೋರಹ, ದಾತಾನ್ ಮತ್ತು ಅಬೀರಾಮರ ಗುಡಾರದಿಂದ ದೂರ ಹೋದರು. ದಾತಾನ್ ಮತ್ತು ಅಬೀರಾಮರೂ ಅವರ ಹೆಂಡತಿ, ಮಕ್ಕಳು ಮತ್ತು ಅವರಿಗೆ ಸಂಬಂಧಪಟ್ಟವರೆಲ್ಲರೂ ಹೊರಗೆ ಬಂದು ತಮ್ಮ ತಮ್ಮ ಡೇರೆಗಳ ಬಾಗಿಲುಗಳಲ್ಲಿ ನಿಂತುಕೊಂಡರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 28] ಆಗ ಮೋಶೆ ಜನರಿಗೆ, “ಈ ಕಾರ್ಯಗಳೆಲ್ಲಾ ನನ್ನ ಆಲೋಚನೆಯಿಂದ ಆಗಲಿಲ್ಲವೆಂದೂ ಮತ್ತು ಯೆಹೋವನೇ ಇವುಗಳನ್ನು ನಡಿಸುವುದಕ್ಕೆ ನನ್ನನ್ನು ಕಳುಹಿಸಿದನೆಂದೂ ನೀವೇ ತಿಳಿದುಕೊಳ್ಳುವಿರಿ.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 29] ಹೇಗೆಂದರೆ, ಎಲ್ಲರೂ ಸಾಯುವ ರೀತಿಯಲ್ಲೇ ಇವರು ಸತ್ತರೆ, ಇಲ್ಲವೆ ಎಲ್ಲರಿಗೂ ಸಂಭವಿಸುವ ಗತಿ ಇವರಿಗುಂಟಾದರೆ ಯೆಹೋವನು ನನ್ನನ್ನು ಕಳುಹಿಸಲಿಲ್ಲವೆಂದು ತಿಳಿದುಕೊಳ್ಳಬೇಕು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 30] ಆದರೆ ಯೆಹೋವನು ಇವರಿಗೋಸ್ಕರ ಭೂಮಿಯು ಬಾಯ್ದೆರೆದು ಇವರನ್ನೂ, ಇವರ ಸರ್ವಸ್ವವನ್ನೂ ನುಂಗಿ, ಇವರು ಸಜೀವಿಗಳಾಗಿ ಪಾತಾಳಕ್ಕೆ ಹೋಗಿಬಿಟ್ಟರೆ, ಇವರು ಯೆಹೋವನನ್ನು ತಿರಸ್ಕರಿಸಿದವರೆಂದು ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕು” ಎಂದು ಹೇಳಿದನು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 31] ಮೋಶೆ ಈ ಮಾತುಗಳನ್ನು ಹೇಳಿ ಮುಗಿಸಿದ ಕೂಡಲೆ ಆ ಮನುಷ್ಯರ ಕೆಳಗಿದ್ದ ನೆಲವು ಸೀಳಿತು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 32] ಭೂಮಿಯು ಬಾಯ್ದೆರೆದು ಅವರನ್ನೂ ಮತ್ತು ಕೋರಹನಿಗೆ ಸೇರಿದ ಮನುಷ್ಯರೆಲ್ಲರನ್ನೂ, ಅವರ ಸರ್ವಸ್ವವನ್ನೂ ನುಂಗಿಬಿಟ್ಟಿತು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 33] ಅವರು ಸಜೀವಿಗಳಾಗಿ ತಮ್ಮ ಸರ್ವಸ್ವ ಸಹಿತವಾಗಿ ಪಾತಾಳಕ್ಕೆ ಹೋಗಿಬಿಟ್ಟರು, ಭೂಮಿಯು ಅವರನ್ನು ಮುಚ್ಚಿಕೊಂಡಿತು. ಹೀಗೆ ಅವರು ಸಮೂಹದವರೊಳಗಿಂದ ನಾಶವಾದರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 34] ಅವರ ಸುತ್ತಲಿದ್ದ ಇಸ್ರಾಯೇಲರೆಲ್ಲರೂ ಹೆದರಿಕೊಂಡು, “ಭೂಮಿಯು ನಮ್ಮನ್ನೂ ಸಹ ನುಂಗಿಬಿಟ್ಟೀತು!” ಎಂದು ಹೇಳಿ ಓಡಿಹೋದರು.
[IRV | KN | OT | Numbers | Chapter 16 | Verse 35] ನಂತರ ಯೆಹೋವನ ಬಳಿಯಿಂದ ಬೆಂಕಿಹೊರಟು, ಧೂಪವನ್ನು ಅರ್ಪಿಸುತ್ತಿದ್ದ ಆ ಇನ್ನೂರೈವತ್ತು ಮಂದಿಯನ್ನು ದಹಿಸಬಿಟ್ಟಿತು.
