[GNV | EN | OT | Exodus | Chapter 12 | Verse 1] Then the Lord spake to Moses and to Aaron in the land of Egypt, saying,
[GNV | EN | OT | Exodus | Chapter 12 | Verse 32] Take also your sheepe and your cattell as yee haue sayde, and depart, and blesse me also.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 33] And the Egyptians did force the people, because they would send them out of the land in haste: for they said, We die all.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 34] Therfore the people tooke their dough before it was leauened, euen their dough bound in clothes vpon their shoulders.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 35] And the children of Israel did according to the saying of Moses, and they asked of ye Egyptians iewels of siluer and iewels of gold, and raiment.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 36] And the Lord gaue the people fauour in the sight of the Egyptians: and they graunted their request: so they spoyled the Egyptians.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 37] Then the children of Israel tooke their iourney from Rameses to Succoth about sixe hundreth thousand men of foote, beside children.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 38] And a great multitude of sundrie sortes of people went out with them, and sheepe, and beeues, and cattel in great abundance.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 39] And they baked the dough which they brought out of Egypt, and made vnleauened cakes: for it was not leauened, because they were thrust out of Egypt, neither coulde they tarie, nor yet prepare themselues vitailes.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 40] So the dwelling of the children of Israel, while they dwelled in Egypt, was foure hundreth and thirtie yeres.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 41] And when the foure hundreth and thirtie yeeres were expired, euen the selfe same day departed all the hostes of the Lord out of the land of Egypt.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 42] It is a night to be kept holie to the Lord, because he brought them out of the lande of Egypt: this is that night of the Lord, which all the children of Israel must keepe throughout their generations.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 43] Also the Lord said vnto Moses and Aaron, This is the Lawe of the Passeouer: no stranger shall eate thereof.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 44] But euerie seruant that is bought for money, when thou hast circumcised him, then shall he eat thereof.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 45] A stranger or an hyred seruant shall not eat thereof.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 46] In one house shall it bee eaten: thou shalt carie none of ye flesh out of the house, neither shall ye breake a bone thereof.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 47] All the Congregation of Israel shall obserue it.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 48] But if a stranger dwell with thee, and will obserue the Passeouer of the Lord, let him circumcise all the males, that belong vnto him, and then let him come and obserue it, and he shall be as one that is borne in the land: for none vncircumcised person shall eate thereof.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 49] One lawe shalbe to him that is borne in the land, and to the stranger that dwelleth among you.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 50] Then all the children of Israel did as the Lord commanded Moses and Aaron: so did they.
[GNV | EN | OT | Exodus | Chapter 12 | Verse 51] And the selfe same day did the Lord bring the children of Israel out of the land of Egypt by their armies.
