[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 1] In those days Mattathias the son of John, the son of Simeon, a priest of the sons of Joarib, from Jerusalem rose up; and he lived at Modin.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 19] And Mattathias answered and said with a loud voice, “If all the nations that are in the house of the king’s dominion listen to him, to fall away each one from the worship of his fathers, and have made choice to follow his commandments,
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 20] yet I and my sons and my kindred will walk in the covenant of our fathers.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 21] Far be it from us that we should forsake the law and the ordinances.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 22] We will not listen to the king’s words, to turn aside from our worship, to the right hand, or to the left.”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 23] When he had finished speaking these words, a Jew came in the sight of all to sacrifice on the altar which was at Modin, according to the king’s commandment.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 24] Mattathias saw it, so his zeal was kindled, and his guts trembled, and he vented his wrath according to judgment, and ran and killed him upon the altar.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 25] He killed the king’s officer, who compelled men to sacrifice, at the same time, and pulled down the altar.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 26] He was zealous for the law, even as Phinehas did to Zimri the son of Salu.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 27] Mattathias cried out in the city with a loud voice, saying, “Whoever is zealous for the law and maintains the covenant, let him follow me!”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 28] He and his sons fled into the mountains, and left all that they had in the city.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 29] Then many who sought justice and judgment went down into the wilderness to live there—
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 30] they, their children, their wives, and their livestock—because evils were multiplied upon them.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 31] It was told the king’s officers and the forces that were in Jerusalem, the city of David, that certain men who had broken the king’s commandment had gone down into the secret places in the wilderness;
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 32] and many pursued after them, and having overtaken them, they encamped against them and set the battle in array against them on the Sabbath day.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 33] They said to them, “Enough of this! Come out and do according to the word of the king, and you will all live!”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 34] They said, “We won’t come out. We won’t do the word of the king, to profane the Sabbath day.”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 35] Then the enemy hurried to attack them.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 36] They didn’t answer them. They didn’t cast a stone at them, or block their secret places,
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 37] saying, “Let’s all die in our innocence. Heaven and earth testify for us, that you put us to death unjustly.”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 38] So they attacked them on the Sabbath, and they died—they, their wives, their children, and their livestock—in number a thousand souls of men.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 39] When Mattathias and his friends found out about it, and they mourned over them exceedingly.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 40] One said to another, “If we all do as our kindred have done, and don’t fight against the Gentiles for our lives and our ordinances, they will quickly destroy us from off the earth.”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 41] So they decided that day, saying, “Whoever comes against us to battle on the Sabbath day, let’s fight against him, and we will in no way all die, as our kindred died in the secret places.”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 42] Then a company of the Hasidaeans, mighty men of Israel, everyone who offered himself willingly for the law, were gathered together to them.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 43] All those who fled from the evils were added to them, and supported them.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 44] They mustered an army, and struck sinners in their anger, and lawless men in their wrath. The rest fled to the Gentiles for safety.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 45] And Mattathias and his friends went around and pulled down the altars.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 46] They forcibly circumcised the boys who were uncircumcised, as many as they found in the coasts of Israel.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 47] They pursued the arrogant, and the work prospered in their hand.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 48] They rescued the law out of the hand of the Gentiles and out of the hand of the kings. They never allowed the sinner to triumph.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 49] The days of Mattathias drew near that he should die, and he said to his sons, “Now pride and scorn have gained strength. It is a season of overthrow and indignant wrath.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 50] Now, my children, be zealous for the law, and give your lives for the covenant of your fathers.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 51] Call to remembrance the deeds of our fathers which they did in their generations; and receive great glory and an everlasting name.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 52] Wasn’t Abraham found faithful in temptation, and it was reckoned to him for righteousness?
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 53] Joseph in the time of his distress kept the commandment, and became lord of Egypt.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 54] Phinehas our father, because he was exceedingly zealous, obtained the covenant of an everlasting priesthood.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 55] Joshua became a judge in Israel for fulfilling the word.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 56] Caleb obtained a heritage in the land for testifying in the congregation.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 57] David inherited the throne of a kingdom forever and ever for being merciful.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 58] Elijah was taken up into heaven because he was exceedingly zealous for the law.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 59] Hananiah, Azariah, and Mishael believed, and were saved out of the flame.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 60] Daniel was delivered from the mouth of lions for his innocence.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 61] “Thus consider from generation to generation that no one who put their trust in him will lack for strength.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 62] Don’t be afraid of the words of a sinful man; for his glory will be dung and worms.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 63] Today he will be lifted up, and tomorrow he will in no way be found, because he has returned to dust, and his thought has perished.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 64] You, my children, be strong, and show yourselves men on behalf of the law; for in it you will obtain glory.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 65] Behold, Simon your brother, whom I know to be a man of counsel. Always listen to him. He shall be a father to you.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 66] Judas Maccabaeus has been strong and mighty from his youth. He shall be your captain and shall fight the battle of the people.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 67] Rally around all the doers of the law, and avenge the wrong done to your people.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 68] Repay the Gentiles, and obey the commandments of the law.”
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 69] He blessed them, and was gathered to his ancestors.
[WEB | EN | OT | 1 Maccabees | Chapter 2 | Verse 70] He died in the one hundred forty sixth year, and his sons buried him in the tombs of his ancestors at Modin. All Israel made great lamentation for him.
