[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 1] The word of the LORD came again to me, saying,
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 22] Therefore, O Aholibah, thus saith the Lord GOD; Behold, I will raise up thy lovers against thee, from whom thy mind is alienated, and I will bring them against thee on every side;
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 23] The Babylonians, and all the Chaldeans, Pekod, and Shoa, and Koa, and all the Assyrians with them: all of them desirable young men, captains and rulers, great lords and renowned, all of them riding upon horses.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 24] And they shall come against thee with chariots, wagons, and wheels, and with an assembly of people, which shall set against thee buckler and shield and helmet on every side: and I will set judgment before them, and they shall judge thee according to their judgments.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 25] And I will set my jealousy against thee, and they shall deal furiously with thee: they shall take away thy nose and thy ears; and thy remnant shall fall by the sword: they shall take thy sons and thy daughters; and thy residue shall be devoured by the fire.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 26] They shall also strip thee of thy clothes, and take away thy fair jewels.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 27] Thus will I make thy lewdness to cease from thee, and thy adultery brought from the land of Egypt: so that thou shalt not lift up thy eyes to them, nor remember Egypt any more.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 28] For thus saith the Lord GOD; Behold, I will deliver thee into the hand of them whom thou hatest, into the hand of them from whom thy mind is alienated:
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 29] And they shall treat thee with hatred, and shall take away all thy labor, and shall leave thee naked and bare: and the nakedness of thy prostitutions shall be disclosed, both thy lewdness and thy prostitutions.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 30] I will do these things to thee, because thou hast gone astray after the heathen, and because thou art polluted with their idols.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 31] Thou hast walked in the way of thy sister; therefore will I give her cup into thy hand.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 32] Thus saith the Lord GOD; Thou shalt drink of thy sister's cup deep and large: thou shalt be treated with scorn and had in derision; it containeth much.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 33] Thou shalt be filled with drunkenness and sorrow, with the cup of astonishment and desolation, with the cup of thy sister Samaria.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 34] Thou shalt even drink it, and empty it to the dregs, and thou shalt break its pieces, and pluck off thy own breasts: for I have spoken it , saith the Lord GOD.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 35] Therefore thus saith the Lord GOD; Because thou hast forgotten me, and cast me behind thy back, therefore bear thou also thy lewdness and thy prostitutions.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 36] The LORD said moreover to me; Son of man, wilt thou judge Aholah and Aholibah? yes, declare to them their abominations;
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 37] That they have committed adultery, and blood is in their hands, and with their idols have they committed adultery, and have also caused their sons, whom they bore to me, to pass for them through the fire , to devour them .
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 38] Moreover this they have done to me: they have defiled my sanctuary in the same day, and have profaned my sabbaths.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 39] For when they had slain their children to their idols, then they came the same day into my sanctuary to profane it; and lo, thus have they done in the midst of my house.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 40] And furthermore, that ye have sent for men to come from far, to whom a messenger was sent; and lo, they came: for whom thou didst wash thyself, paint thy eyes, and deck thyself with ornaments,
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 41] And sattest upon a stately bed and a table prepared before it, upon which thou hast set my incense and my oil.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 42] And a voice of a multitude being at ease was with her: and with the men of the common sort were brought Sabeans from the wilderness, who put bracelets upon their hands, and beautiful crowns upon their heads.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 43] Then said I to her that was old in adulteries, Will they now commit lewd deeds with her, and she with them ?
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 44] Yet they went in to her, as they go in to a woman that playeth the harlot: so they went in to Aholah and to Aholibah, the lewd women.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 45] And the righteous men, they shall judge them after the manner of adulteresses, and after the manner of women that shed blood; because they are adulteresses, and blood is in their hands.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 46] For thus saith the Lord GOD; I will bring up a company upon them, and will give them to be removed and plundered.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 47] And the company shall stone them with stones, and dispatch them with their swords; they shall slay their sons and their daughters, and burn their houses with fire.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 48] Thus will I cause lewdness to cease out of the land, that all women may be taught not to do after your lewdness.
[WEBSTER | EN | OT | Ezekiel | Chapter 23 | Verse 49] And they shall recompense your lewdness upon you, and ye shall bear the sins of your idols: and ye shall know that I am the Lord GOD.
