[DARBY | EN | OT | Judges | Chapter 20 | Verse 1] And all the children of Israel went forth, and the assembly gathered together as one man, from Dan to Beer-sheba, and the land of Gilead, unto Jehovah at Mizpah.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 34] And there came from opposite Gibeah ten thousand chosen men out of all Israel, and the battle was severe; but they knew not that disaster was coming upon them.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 35] And Jehovah smote Benjamin before Israel; and the children of Israel destroyed of the Benjaminites that day twenty-five thousand one hundred men: all these drew the sword.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 36] And the children of Benjamin saw that they were smitten. — And the men of Israel gave place to Benjamin, because they trusted to the ambush that they had set against Gibeah.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 37] And the ambush hasted, and fell upon Gibeah; and the ambush drew along, and smote the whole city with the edge of the sword.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 38] Now there was an appointed sign between the men of Israel and the ambush, that they should make a thick column of smoke rise up out of the city.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 39] And when the men of Israel turned back in the battle, Benjamin began to smite, slaying of the men of Israel about thirty men; for they said, Surely they are quite routed before us as in the first battle.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 40] And when the burning began to rise up out of the city as a pillar of smoke, Benjamin looked behind, and behold, the whole city ascended [in smoke] to the heavens.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 41] Then the men of Israel turned back, and the men of Benjamin were amazed, for they saw that disaster was come upon them.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 42] And they turned before the men of Israel to the way of the wilderness; but the battle overtook them; and those who came out of the cities destroyed them in their midst.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 43] They encompassed the Benjaminites, chased them, trode them down at the resting-place over against Gibeah toward the sun-rising.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 44] And there fell of Benjamin eighteen thousand men: all these, men of valour.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 45] And they turned and fled towards the wilderness to the cliff of Rimmon, and they gleaned of them in the highways five thousand men; and pursued hard after them to Gidom, and slew two thousand men of them.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 46] So that all who fell that day of Benjamin were twenty-five thousand men that drew the sword: all these, men of valour.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 47] And six hundred men turned and fled to the wilderness to the cliff of Rimmon, and abode at the cliff of Rimmon four months.
[DARBY | EN | OT | Judges | Chapter 20 | Verse 48] And the men of Israel turned again upon the children of Benjamin, and smote them with the edge of the sword, as well the men of [every] city as the cattle, and all that was found; even all the cities that were found did they set on fire.
