[IRV | PA | NT | Colossians | Chapter 1 | Verse 1] ਪੌਲੁਸ ਵੱਲੋਂ, ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੀ ਇੱਛਾ ਤੋਂ ਮਸੀਹ ਯਿਸੂ ਦਾ ਰਸੂਲ ਹਾਂ, ਨਾਲੇ ਸਾਡਾ ਭਰਾ ਤਿਮੋਥਿਉਸ ਵੱਲੋਂ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 12] ਅਤੇ ਪਿਤਾ ਦਾ ਧੰਨਵਾਦ ਕਰਦੇ ਰਹੋ ਜਿਸ ਨੇ ਸਾਨੂੰ ਇਸ ਯੋਗ ਬਣਾਇਆ ਕਿ ਚਾਨਣ ਵਿੱਚ ਪਵਿੱਤਰ ਲੋਕਾਂ ਦੇ ਵਿਰਸੇ ਦੇ ਹਿੱਸੇਦਾਰ ਹੋਈਏ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 13] ਅਤੇ ਸਾਨੂੰ ਅੰਧਕਾਰ ਦੇ ਵੱਸ ਵਿੱਚੋਂ ਕੱਢ ਕੇ ਆਪਣੇ ਪਿਆਰੇ ਪੁੱਤਰ ਦੇ ਰਾਜ ਵਿੱਚ ਪਹੁੰਚਾ ਦਿੱਤਾ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 14] ਉਸ ਦੇ ਵਿੱਚ ਸਾਨੂੰ ਛੁਟਕਾਰਾ ਅਰਥਾਤ ਪਾਪਾਂ ਦੀ ਮਾਫ਼ੀ ਮਿਲਦੀ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 15] ਉਹ ਮਹਾਨ ਪਰਮੇਸ਼ੁਰ ਦਾ ਰੂਪ ਅਤੇ ਸਾਰੀ ਸਰਿਸ਼ਟ ਵਿੱਚੋਂ ਪਹਿਲੌਠਾ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 16] ਕਿਉਂ ਜੋ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਸਾਰੀਆਂ ਵਸਤਾਂ ਉਸੇ ਤੋਂ ਉਤਪਤ ਹੋਈਆਂ, ਨਾਲੇ ਦਿੱਸਣ ਵਾਲੀਆਂ, ਨਾਲੇ ਨਾ ਦਿੱਸਣ ਵਾਲੀਆਂ, ਕੀ ਸਿੰਘਾਸਣ, ਕੀ ਰਿਆਸਤਾਂ, ਕੀ ਸਰਕਾਰਾਂ, ਕੀ ਅਧਿਕਾਰ, ਸੱਭੋ ਕੁਝ ਉਸ ਦੇ ਦੁਆਰਾ ਅਤੇ ਉਸੇ ਦੇ ਲਈ ਉਤਪਤ ਹੋਇਆ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 17] ਅਤੇ ਉਹ ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਹੈ ਅਤੇ ਸੱਭੋ ਕੁਝ ਉਸੇ ਵਿੱਚ ਸਥਿਰ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 18] ਅਤੇ ਉਹ ਸਰੀਰ ਦਾ ਅਰਥਾਤ ਕਲੀਸਿਯਾ ਦਾ ਸਿਰ ਹੈ, ਉਹ ਹੀ ਆਦ ਹੈ ਅਤੇ ਮੁਰਦਿਆਂ ਵਿੱਚੋਂ ਪਹਿਲੌਠਾ ਹੈ ਕਿ ਉਹ ਸਭਨਾਂ ਗੱਲਾਂ ਵਿੱਚ ਪਰਧਾਨ ਹੋਵੇ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 19] ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਇਹ ਚੰਗਾ ਲੱਗਾ ਜੋ ਸਾਰੀ ਸੰਪੂਰਨਤਾਈ ਉਸ ਵਿੱਚ ਵੱਸੇ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 20] ਅਤੇ ਉਸ ਦੀ ਸਲੀਬ ਦੇ ਲਹੂ ਦੇ ਵਸੀਲੇ ਮੇਲ ਕਰਾ ਕੇ ਧਰਤੀ ਉੱਤੇ ਅਤੇ ਅਕਾਸ਼ ਉੱਤੇ ਸਾਰੀਆਂ ਵਸਤਾਂ ਨੂੰ ਉਹ ਦੇ ਰਾਹੀਂ, ਹਾਂ, ਉਸੇ ਦੇ ਰਾਹੀਂ ਆਪਣੇ ਨਾਲ ਮੇਲ ਮਿਲਾਵੇ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 21] ਅਤੇ ਤੁਹਾਨੂੰ ਜਿਹੜੇ ਅੱਗੇ ਵੱਖਰੇ ਹੋਏ ਅਤੇ ਆਪਣੇ ਬੁਰੇ ਕੰਮਾਂ ਦੇ ਕਾਰਨ ਮਨੋਂ ਵੈਰੀ ਸੀ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 22] ਉਸ ਨੇ ਹੁਣ ਉਹ ਦੇ ਸਰੀਰ ਨਾਲ ਮੌਤ ਦੇ ਵਸੀਲੇ ਮੇਲ ਕਰਾਇਆ ਤਾਂ ਜੋ ਉਹ ਤੁਹਾਨੂੰ ਪਵਿੱਤਰ, ਨਿਰਦੋਸ਼, ਅਤੇ ਬੇਇਲਜ਼ਾਮ ਆਪਣੇ ਸਨਮੁਖ ਖੜ੍ਹਾ ਕਰੇ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 23] ਤੁਸੀਂ ਵਿਸ਼ਵਾਸ ਦੀ ਨੀਂਹ ਉੱਤੇ ਕਾਇਮ ਤੇ ਪੱਕੇ ਬਣੇ ਰਹੋ ਅਤੇ ਉਸ ਖੁਸ਼ਖਬਰੀ ਦੀ ਆਸ ਤੋਂ ਜਿਹੜੀ ਤੁਸੀਂ ਸੁਣੀ ਸੀ, ਉਸ ਤੋਂ ਪਿਛੇ ਨਾ ਹੋਵੋਂ ਜਿਸ ਦਾ ਪਰਚਾਰ ਅਕਾਸ਼ ਹੇਠਲੀ ਸਾਰੀ ਸ੍ਰਿਸ਼ਟੀ ਵਿੱਚ ਕੀਤਾ ਗਿਆ, ਜਿਸ ਦਾ ਸੇਵਕ ਮੈਂ ਪੌਲੁਸ ਹਾਂ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 24] ਹੁਣ ਮੈਂ ਆਪਣਿਆਂ ਉਨ੍ਹਾਂ ਦੁੱਖਾਂ ਵਿੱਚ ਜੋ ਤੁਹਾਡੇ ਲਈ ਝੱਲਦਾ ਹਾਂ ਤੇ ਅਨੰਦ ਹਾਂ ਅਤੇ ਮਸੀਹ ਦਿਆਂ ਦੁੱਖ ਦਾ ਘਾਟਾ ਮੈਂ ਉਹ ਦੀ ਦੇਹੀ ਅਰਥਾਤ ਕਲੀਸਿਯਾ ਦੇ ਲਈ ਆਪਣੇ ਸਰੀਰ ਵਿੱਚ ਪੂਰਾ ਕਰਦਾ ਹਾਂ
[IRV | PA | NT | Colossians | Chapter 1 | Verse 25] ਮੈਂ ਉਸ ਕਲੀਸਿਯਾ ਦਾ ਸੇਵਕ ਹੋਇਆ ਉਹ ਮੁਖ਼ਤਿਆਰੀ ਜੋ ਮੈਨੂੰ ਪਰਮੇਸ਼ੁਰ ਦੀ ਵੱਲੋਂ ਤੁਹਾਡੇ ਲਈ ਦਿੱਤੀ ਹੋਈ ਹੈ ਕਿ ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦੇ ਬਚਨ ਦਾ ਪੂਰਾਂ ਪ੍ਰਚਾਰ ਕਰਾਂ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 26] ਅਰਥਾਤ ਉਸ ਭੇਤ ਦੀ ਜਿਹੜਾ ਸਾਰਿਆਂ ਜੁੱਗਾਂ ਅਤੇ ਪੀੜ੍ਹੀਆਂ ਤੋਂ ਗੁਪਤ ਰਿਹਾ ਪਰ ਹੁਣ ਉਹ ਦੇ ਸੰਤਾਂ ਉੱਤੇ ਪਰਗਟ ਹੋਇਆ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 27] ਜਿਨ੍ਹਾਂ ਉੱਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਪ੍ਰਗਟ ਕਰਨਾ ਚਾਹਿਆ ਕਿ ਪਰਾਈਆਂ ਕੌਮਾਂ ਵਿੱਚ ਇਸ ਭੇਤ ਦੀ ਮਹਿਮਾ ਦਾ ਧਨ ਕੀ ਹੈ, ਸੋ ਇਹ ਮਸੀਹ ਤੁਹਾਡੇ ਵਿੱਚ ਪਰਤਾਪ ਦੀ ਆਸ ਹੈ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 28] ਜਿਸ ਦੀ ਅਸੀਂ ਖ਼ਬਰ ਦਿੰਦੇ ਹਾਂ ਅਤੇ ਹਰੇਕ ਮਨੁੱਖ ਨੂੰ ਸੁਚੇਤ ਕਰਦੇ ਅਤੇ ਹਰੇਕ ਮਨੁੱਖ ਨੂੰ ਪੂਰੇ ਗਿਆਨ ਨਾਲ ਉਪਦੇਸ਼ ਦਿੰਦੇ ਹਾਂ ਕਿ ਅਸੀਂ ਹਰੇਕ ਮਨੁੱਖ ਨੂੰ ਮਸੀਹ ਵਿੱਚ ਸਿੱਧ ਕਰ ਕੇ ਪੇਸ਼ ਕਰੀਏ।
[IRV | PA | NT | Colossians | Chapter 1 | Verse 29] ਅਤੇ ਇਸ ਲਈ ਮੈਂ ਉਹ ਦੀ ਸ਼ਕਤੀ ਦੇ ਅਨੁਸਾਰ ਜੋ ਮੇਰੇ ਵਿੱਚ ਸਮਰੱਥਾ ਨਾਲ ਪ੍ਰਭਾਵ ਪਾਉਦਾਂ ਹੈ, ਤਨੋਂ ਮਨੋਂ ਮਿਹਨਤ ਕਰਦਾ ਹਾਂ।
