[IRV | HI | NT | John | Chapter 13 | Verse 1] फसह के पर्व से पहले जब यीशु ने जान लिया, कि मेरा वह समय आ पहुँचा है कि जगत छोड़कर पिता के पास जाऊँ, तो अपने लोगों से, जो जगत में थे, जैसा प्रेम वह रखता था, अन्त तक वैसा ही प्रेम रखता रहा।
[IRV | HI | NT | John | Chapter 13 | Verse 20] मैं तुम से सच-सच कहता हूँ, कि जो मेरे भेजे हुए को ग्रहण करता है, वह मुझे ग्रहण करता है, और जो मुझे ग्रहण करता है, वह मेरे भेजनेवाले को ग्रहण करता है।”
[IRV | HI | NT | John | Chapter 13 | Verse 21] ये बातें कहकर यीशु आत्मा में व्याकुल हुआ और यह गवाही दी, “मैं तुम से सच-सच कहता हूँ, कि तुम में से एक मुझे पकड़वाएगा।”
[IRV | HI | NT | John | Chapter 13 | Verse 22] चेले यह संदेह करते हुए, कि वह किसके विषय में कहता है, एक दूसरे की ओर देखने लगे।
[IRV | HI | NT | John | Chapter 13 | Verse 23] उसके चेलों में से एक जिससे यीशु प्रेम रखता था, यीशु की छाती की ओर झुका हुआ बैठा था।
[IRV | HI | NT | John | Chapter 13 | Verse 24] तब शमौन पतरस ने उसकी ओर संकेत करके पूछा, “बता तो, वह किसके विषय में कहता है?”
[IRV | HI | NT | John | Chapter 13 | Verse 25] तब उसने उसी तरह यीशु की छाती की ओर झुककर पूछा, “हे प्रभु, वह कौन है?”
[IRV | HI | NT | John | Chapter 13 | Verse 26] यीशु ने उत्तर दिया, “जिसे मैं यह रोटी का टुकड़ा डुबोकर दूँगा, वही है।” और उसने टुकड़ा डुबोकर शमौन के पुत्र यहूदा इस्करियोती को दिया।
[IRV | HI | NT | John | Chapter 13 | Verse 27] और टुकड़ा लेते ही शैतान उसमें समा गया: तब यीशु ने उससे कहा, “जो तू करनेवाला है, तुरन्त कर।”
[IRV | HI | NT | John | Chapter 13 | Verse 28] परन्तु बैठनेवालों में से किसी ने न जाना कि उसने यह बात उससे किस लिये कही।
[IRV | HI | NT | John | Chapter 13 | Verse 29] यहूदा के पास थैली रहती थी, इसलिए किसी किसी ने समझा, कि यीशु उससे कहता है, कि जो कुछ हमें पर्व के लिये चाहिए वह मोल ले, या यह कि गरीबों को कुछ दे।
[IRV | HI | NT | John | Chapter 13 | Verse 30] तब वह टुकड़ा लेकर तुरन्त बाहर चला गया, और रात्रि का समय था।
[IRV | HI | NT | John | Chapter 13 | Verse 31] जब वह बाहर चला गया तो यीशु ने कहा, “अब मनुष्य के पुत्र की महिमा हुई, और परमेश्वर की महिमा उसमें हुई;
[IRV | HI | NT | John | Chapter 13 | Verse 32] और परमेश्वर भी अपने में उसकी महिमा करेगा, वरन् तुरन्त करेगा।
[IRV | HI | NT | John | Chapter 13 | Verse 33] हे बालकों, मैं और थोड़ी देर तुम्हारे पास हूँ: फिर तुम मुझे ढूँढ़ोगे, और जैसा मैंने यहूदियों से कहा, ‘जहाँ मैं जाता हूँ, वहाँ तुम नहीं आ सकते,’ वैसा ही मैं अब तुम से भी कहता हूँ।
[IRV | HI | NT | John | Chapter 13 | Verse 34] मैं तुम्हें एक नई आज्ञा देता हूँ, कि एक दूसरे से प्रेम रखो जैसा मैंने तुम से प्रेम रखा है, वैसा ही तुम भी एक दूसरे से प्रेम रखो।
[IRV | HI | NT | John | Chapter 13 | Verse 35] यदि आपस में प्रेम रखोगे तो इसी से सब जानेंगे, कि तुम मेरे चेले हो।”
[IRV | HI | NT | John | Chapter 13 | Verse 36] शमौन पतरस ने उससे कहा, “हे प्रभु, तू कहाँ जाता है?” यीशु ने उत्तर दिया, “जहाँ मैं जाता हूँ, वहाँ तू अब मेरे पीछे आ नहीं सकता; परन्तु इसके बाद मेरे पीछे आएगा।”
[IRV | HI | NT | John | Chapter 13 | Verse 37] पतरस ने उससे कहा, “हे प्रभु, अभी मैं तेरे पीछे क्यों नहीं आ सकता? मैं तो तेरे लिये अपना प्राण दूँगा।”
[IRV | HI | NT | John | Chapter 13 | Verse 38] यीशु ने उत्तर दिया, “क्या तू मेरे लिये अपना प्राण देगा? मैं तुझ से सच-सच कहता हूँ कि मुर्गा बाँग न देगा जब तक तू तीन बार मेरा इन्कार न कर लेगा।
