[DARBY | EN | OT | Psalms | Chapter 89 | Verse 1] I will sing of the loving-kindness of Jehovah for ever; with my mouth will I make known thy faithfulness from generation to generation.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 37] It shall be established for ever as the moon, and the witness in the sky is firm. Selah.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 38] But thou hast rejected and cast off; thou hast been very wroth with thine anointed:
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 39] Thou hast made void the covenant of thy servant; thou hast profaned his crown to the ground:
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 40] Thou hast broken down all his hedges; thou hast brought his strongholds to ruin.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 41] All that pass by the way plunder him; he is become a reproach to his neighbours.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 42] Thou hast exalted the right hand of his oppressors; thou hast made all his enemies to rejoice:
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 43] Yea, thou hast turned back the edge of his sword, and hast not made him stand in the battle.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 44] Thou hast made his brightness to cease, and cast his throne down to the ground;
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 45] The days of his youth hast thou shortened; thou hast covered him with shame. Selah.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 46] How long, Jehovah, wilt thou hide thyself for ever? shall thy fury burn like fire?
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 47] Remember, as regards me, what life is. Wherefore hast thou created all the children of men to be vanity?
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 48] What man liveth, and shall not see death? Shall he deliver his soul from the power of Sheol? Selah.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 49] Where, Lord, are thy former loving-kindnesses, [which] thou swarest unto David in thy faithfulness?
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 50] Remember, Lord, the reproach of thy servants — that I bear in my bosom [that of] all the mighty peoples —
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 51] Wherewith thine enemies, O Jehovah, have reproached, wherewith they have reproached the footsteps of thine anointed.
[DARBY | EN | OT | Psalms | Chapter 89 | Verse 52] Blessed be Jehovah for evermore! Amen, and Amen.
