[DARBY | EN | OT | Psalms | Chapter 78 | Verse 1] Give ear, O my people, to my law; incline your ears to the words of my mouth.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 30] They were not alienated from their lust, their meat was yet in their mouths,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 31] When the anger of God went up against them; and he slew the fattest of them, and smote down the chosen men of Israel.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 32] For all this, they sinned still, and believed not in his marvellous works;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 33] And he consumed their days in vanity, and their years in terror.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 34] When he slew them, then they sought him, and returned and sought early after God;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 35] And they remembered that God was their rock, and God, the Most High, their redeemer.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 36] But they flattered him with their mouth, and lied unto him with their tongue;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 37] For their heart was not firm toward him, neither were they stedfast in his covenant.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 38] But he was merciful: he forgave the iniquity, and destroyed [them] not; but many a time turned he his anger away, and did not stir up all his fury:
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 39] And he remembered that they were flesh, a breath that passeth away and cometh not again.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 40] How oft did they provoke him in the wilderness, and grieve him in the desert!
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 41] And they turned again and tempted God, and grieved the Holy One of Israel.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 42] They remembered not his hand, the day when he delivered them from the oppressor,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 43] How he set his signs in Egypt, and his miracles in the field of Zoan;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 44] And turned their rivers into blood, and their streams, that they could not drink;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 45] He sent dog-flies among them, which devoured them, and frogs, which destroyed them;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 46] And he gave their increase unto the caterpillar, and their labour unto the locust;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 47] He killed their vines with hail, and their sycamore trees with hail-stones;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 48] And he delivered up their cattle to the hail, and their flocks to thunderbolts.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 49] He cast upon them the fierceness of his anger, wrath, and indignation, and distress, — a mission of angels of woes.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 50] He made a way for his anger; he spared not their soul from death, but gave their life over to the pestilence;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 51] And he smote all the firstborn in Egypt, the first-fruits of their vigour in the tents of Ham.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 52] And he made his own people to go forth like sheep, and guided them in the wilderness like a flock;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 53] And he led them safely, so that they were without fear; and the sea covered their enemies.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 54] And he brought them to his holy border, this mountain, which his right hand purchased;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 55] And he drove out the nations before them, and allotted them for an inheritance by line, and made the tribes of Israel to dwell in their tents.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 56] But they tempted and provoked God, the Most High, and kept not his testimonies,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 57] And they drew back and dealt treacherously like their fathers: they turned like a deceitful bow.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 58] And they provoked him to anger with their high places, and moved him to jealousy with their graven images.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 59] God heard, and was wroth, and greatly abhorred Israel:
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 60] And he forsook the tabernacle at Shiloh, the tent where he had dwelt among men,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 61] And gave his strength into captivity, and his glory into the hand of the oppressor;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 62] And delivered up his people unto the sword, and was very wroth with his inheritance:
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 63] The fire consumed their young men, and their maidens were not praised in [nuptial] song;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 64] Their priests fell by the sword, and their widows made no lamentation.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 65] Then the Lord awoke as one out of sleep, like a mighty man that shouteth aloud by reason of wine;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 66] And he smote his adversaries in the hinder part, and put them to everlasting reproach.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 67] And he rejected the tent of Joseph, and chose not the tribe of Ephraim,
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 68] But chose the tribe of Judah, the mount Zion which he loved;
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 69] And he built his sanctuary like the heights, like the earth which he hath founded for ever.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 70] And he chose David his servant, and took him from the sheepfolds:
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 71] From following the suckling-ewes, he brought him to feed Jacob his people, and Israel his inheritance.
[DARBY | EN | OT | Psalms | Chapter 78 | Verse 72] And he fed them according to the integrity of his heart, and led them by the skilfulness of his hands.
