[IRV | UR | NT | Luke | Chapter 2 | Verse 1] उन दिनों में ऐसा हुआ कि क़ैसर औगुस्तुस की तरफ़ से ये हुक्म जारी हुआ कि सारी दुनियाँ के लोगों के नाम लिखे जाएँ।
[IRV | UR | NT | Luke | Chapter 2 | Verse 29] “ऐ मालिक अब तू अपने ख़ादिम को अपने क़ौल के मुवाफ़िक़ सलामती से रुख़्सत करता है,
[IRV | UR | NT | Luke | Chapter 2 | Verse 30] क्यूँकि मेरी आँखों ने तेरी नजात देख ली है,
[IRV | UR | NT | Luke | Chapter 2 | Verse 31] जो तूने सब उम्मतों के रु — ब — रु तैयार की है,
[IRV | UR | NT | Luke | Chapter 2 | Verse 32] ताकि ग़ैर क़ौमों को रौशनी देने वाला नूर और तेरी उम्मत इस्राईल का जलाल बने।”
[IRV | UR | NT | Luke | Chapter 2 | Verse 33] और उसका बाप और उसकी माँ इन बातों पर जो उसके हक़ में कही जाती थीं, ता'ज्जुब करते थे।
[IRV | UR | NT | Luke | Chapter 2 | Verse 34] और शमौन ने उनके लिए दु'आ — ए — ख़ैर की और उसकी माँ मरियम से कहा, “देख, ये इस्राईल में बहुतों के गिरने और उठने के लिए मुक़र्रर हुआ है, जिसकी मुख़ालिफ़त की जाएगी।
[IRV | UR | NT | Luke | Chapter 2 | Verse 35] बल्कि तेरी जान भी तलवार से छिद जाएगी, ताकि बहुत लोगों के दिली ख़याल खुल जाएँ।”
[IRV | UR | NT | Luke | Chapter 2 | Verse 36] और आशर के क़बीले में से हन्ना नाम फ़नूएल की बेटी एक नबीया थी — वो बहुत 'बूढ़ी थी — और उसने अपने कूँवारेपन के बाद सात बरस एक शौहर के साथ गुज़ारे थे।
[IRV | UR | NT | Luke | Chapter 2 | Verse 37] वो चौरासी बरस से बेवा थी, और हैकल से जुदा न होती थी बल्कि रात दिन रोज़ों और दु'आओं के साथ इबादत किया करती थी।
[IRV | UR | NT | Luke | Chapter 2 | Verse 38] और वो उसी घड़ी वहाँ आकर ख़ुदा का शुक्र करने लगी और उन सब से जो येरूशलेम के छुटकारे के मुन्तज़िर थे उसके बारे में बातें करने लगी।
[IRV | UR | NT | Luke | Chapter 2 | Verse 39] और जब वो ख़ुदावन्द की शरी'अत के मुवाफ़िक़ सब कुछ कर चुके तो गलील में अपने शहर नासरत को लौट गए।
[IRV | UR | NT | Luke | Chapter 2 | Verse 40] और वो लड़का बढ़ता और ताक़त पाता गया और हिक्मत से मा'मूर होता गया और ख़ुदा का फ़ज़ल उस पर था।
[IRV | UR | NT | Luke | Chapter 2 | Verse 41] उसके माँ — बाप हर बरस 'ईद — ए — फ़सह पर येरूशलेम को जाया करते थे।
[IRV | UR | NT | Luke | Chapter 2 | Verse 42] और जब वो बारह बरस का हुआ तो वो 'ईद के दस्तूर के मुवाफ़िक़ येरूशलेम को गए।
[IRV | UR | NT | Luke | Chapter 2 | Verse 43] जब वो उन दिनों को पूरा करके लौटे तो वो लड़का ईसा येरूशलेम में रह गया — और उसके माँ — बाप को ख़बर न हुई।
[IRV | UR | NT | Luke | Chapter 2 | Verse 44] मगर ये समझ कर कि वो क़ाफ़िले में है, एक मंज़िल निकल गए — और उसके रिश्तेदारों और उसके जान पहचानों में ढूँडने लगे।
[IRV | UR | NT | Luke | Chapter 2 | Verse 45] जब न मिला तो उसे ढूँडते हुए येरूशलेम तक वापस गए।
[IRV | UR | NT | Luke | Chapter 2 | Verse 46] और तीन रोज़ के बाद ऐसा हुआ कि उन्होंने उसे हैकल में उस्तादों के बीच में बैठा उनकी सुनते और उनसे सवाल करते हुए पाया।
[IRV | UR | NT | Luke | Chapter 2 | Verse 47] जितने उसकी सुन रहे थे उसकी समझ और उसके जवाबों से दंग थे।
[IRV | UR | NT | Luke | Chapter 2 | Verse 48] और वो उसे देखकर हैरान हुए। उसकी माँ ने उससे कहा, “बेटा, तू ने क्यूँ हम से ऐसा किया? देख तेरा बाप और मैं घबराते हुए तुझे ढूँडते थे?”
[IRV | UR | NT | Luke | Chapter 2 | Verse 49] उसने उनसे कहा, “तुम मुझे क्यूँ ढूँडते थे? क्या तुम को मा'लूम न था कि मुझे अपने बाप के यहाँ होना ज़रूर है?”
[IRV | UR | NT | Luke | Chapter 2 | Verse 50] मगर जो बात उसने उनसे कही उसे वो न समझे।
[IRV | UR | NT | Luke | Chapter 2 | Verse 51] और वो उनके साथ रवाना होकर नासरत में आया और उनके साथ' रहा और उसकी माँ ने ये सब बातें अपने दिल में रख्खीं।
[IRV | UR | NT | Luke | Chapter 2 | Verse 52] और ईसा हिक्मत और क़द — ओ — क़ियामत में और ख़ुदा की और इंसान की मक़बूलियत में तरक़्क़ी करता गया।
