[IRV | UR | NT | Luke | Chapter 5 | Verse 1] जब भीड़ उस पर गिरी पड़ती थी और ख़ुदा का कलाम सुनती थी, और वो गनेसरत की झील के किनारे खड़ा था तो ऐसा हुआ कि
[IRV | UR | NT | Luke | Chapter 5 | Verse 12] जब वो एक शहर में था, तो देखो, कौढ़ से भरा हुआ एक आदमी ईसा को देखकर मुँह के बल गिरा और उसकी मिन्नत करके कहने लगा, “ऐ ख़ुदावन्द, अगर तू चाहे तो मुझे पाक साफ़ कर सकता है।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 13] उसने हाथ बढ़ा कर उसे छुआ और कहा, “मैं चाहता हूँ, तू पाक साफ़ हो जा।” और फ़ौरन उसका कौढ़ जाता रहा।
[IRV | UR | NT | Luke | Chapter 5 | Verse 14] और उसने उसे ताकीद की, “किसी से न कहना बल्कि जाकर अपने आपको काहिन को दिखा। और जैसा मूसा ने मुक़र्रर किया है अपने पाक साफ़ हो जाने के बारे में गुज़रान ताकि उनके लिए गवाही हो।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 15] लेकिन उसकी चर्चा ज़्यादा फ़ैली और बहुत से लोग जमा हुए कि उसकी सुनें और अपनी बीमारियों से शिफ़ा पाएँ
[IRV | UR | NT | Luke | Chapter 5 | Verse 16] मगर वो जंगलों में अलग जाकर दुआ किया करता था।
[IRV | UR | NT | Luke | Chapter 5 | Verse 17] और एक दिन ऐसा हुआ कि वो ता'लीम दे रहा था और फ़रीसी और शरा' के मु'अल्लिम वहाँ बैठे हुए थे जो गलील के हर गाँव और यहूदिया और येरूशलेम से आए थे। और ख़ुदावन्द की क़ुदरत शिफ़ा बख़्शने को उसके साथ थी।
[IRV | UR | NT | Luke | Chapter 5 | Verse 18] और देखो, कोई मर्द एक आदमी को जो फ़ालिज का मारा था चारपाई पर लाए और कोशिश की कि उसे अन्दर लाकर उसके आगे रख्खें।
[IRV | UR | NT | Luke | Chapter 5 | Verse 19] और जब भीड़ की वजह से उसको अन्दर ले जाने की राह न पाई तो छत पर चढ़ कर खपरैल में से उसको खटोले समेत बीच में ईसा के सामने उतार दिया।
[IRV | UR | NT | Luke | Chapter 5 | Verse 20] उसने उनका ईमान देखकर कहा, “ऐ आदमी! तेरे गुनाह मु'आफ़ हुए!”
[IRV | UR | NT | Luke | Chapter 5 | Verse 21] इस पर फ़क़ीह और फ़रीसी सोचने लगे, “ये कौन है जो कुफ़्र बकता है? ख़ुदा के सिवा और कौन गुनाह मु'आफ़ कर सकता है?”
[IRV | UR | NT | Luke | Chapter 5 | Verse 22] ईसा ने उनके ख़यालों को मा'लूम करके जवाब में उनसे कहा, “तुम अपने दिलों में क्या सोचते हो?
[IRV | UR | NT | Luke | Chapter 5 | Verse 23] आसान क्या है? ये कहना कि 'तेरे गुनाह मु'आफ़ हुए' या ये कहना कि 'उठ और चल फिर'?
[IRV | UR | NT | Luke | Chapter 5 | Verse 24] लेकिन इसलिए कि तुम जानो कि इब्न — ए — आदम को ज़मीन पर गुनाह मु'आफ़ करने का इख़्तियार है;” (उसने मफ़्लूज से कहा) मैं तुझ से कहता हूँ, उठ और अपनी चारपाई उठाकर अपने घर जा।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 25] वो उसी दम उनके सामने उठा और जिस पर पड़ा था उसे उठाकर ख़ुदा की तम्जीद करता हुआ अपने घर चला गया।
[IRV | UR | NT | Luke | Chapter 5 | Verse 26] वो सब के सब बहुत हैरान हुए और ख़ुदा की तम्जीद करने लगे, और बहुत डर गए और कहने लगे, “आज हम ने अजीब बातें देखीं!”
[IRV | UR | NT | Luke | Chapter 5 | Verse 27] इन बातों के बाद वो बाहर गया और लावी नाम के एक महसूल लेनेवाले को महसूल की चौकी पर बैठे देखा और उससे कहा, “मेरे पीछे हो ले।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 28] वो सब कुछ छोड़कर उठा, और उसके पीछे हो लिया।
[IRV | UR | NT | Luke | Chapter 5 | Verse 29] फिर लावी ने अपने घर में उसकी बड़ी ज़ियाफ़त की; और महसूल लेनेवालों और औरों की जो उनके साथ खाना खाने बैठे थे, बड़ी भीड़' थी।
[IRV | UR | NT | Luke | Chapter 5 | Verse 30] और फ़रीसी और उनके आलिम उसके शागिर्दों से ये कहकर बुदबुदाने लगे, “तुम क्यूँ महसूल लेनेवालों और गुनाहगारों के साथ खाते — पीते हो?”
[IRV | UR | NT | Luke | Chapter 5 | Verse 31] ईसा ने जवाब में उनसे कहा, “तन्दरुस्तों को हकीम की ज़रूरत नहीं है बल्कि बीमारों को।
[IRV | UR | NT | Luke | Chapter 5 | Verse 32] मैं रास्तबाज़ों को नहीं बल्कि गुनाहगारों को तौबा के लिए बुलाने आया हूँ।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 33] और उन्होंने उससे कहा, “युहन्ना के शागिर्द अक्सर रोज़ा रखते और दु'आएँ किया करते हैं, और इसी तरह फ़रीसियों के भी; मगर तेरे शागिर्द खाते पीते है।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 34] ईसा ने उनसे कहा, “क्या तुम बरातियों से, जब तक दुल्हा उनके साथ है, रोज़ा रखवा सकते हो?
[IRV | UR | NT | Luke | Chapter 5 | Verse 35] मगर वो दिन आएँगे; और जब दुल्हा उनसे जुदा किया जाएगा तब उन दिनों में वो रोज़ा रख्खेंगे।”
[IRV | UR | NT | Luke | Chapter 5 | Verse 36] और उसने उनसे एक मिसाल भी कही: “कोई आदमी नई पोशाक में से फाड़कर पुरानी में पैवन्द नहीं लगाता, वर्ना नई भी फटेगी और उसका पैवन्द पुरानी में मेल भी न खाएगा।
[IRV | UR | NT | Luke | Chapter 5 | Verse 37] और कोई शख़्स नई मय पूरानी मशकों में नहीं भरता, नहीं तो नई मय मशकों को फाड़ कर ख़ुद भी बह जाएगी और मशकें भी बरबाद हो जाएँगी।
[IRV | UR | NT | Luke | Chapter 5 | Verse 38] बल्कि नई मय नई मशकों में भरना चाहिए।
[IRV | UR | NT | Luke | Chapter 5 | Verse 39] और कोई आदमी पुरानी मय पीकर नई की ख़्वाहिश नहीं करता, क्यूँकि कहता है कि पुरानी ही अच्छी है।“
