[IRV | ML | NT | Galatians | Chapter 1 | Verse 1] മനുഷ്യരിൽ നിന്നല്ല മനുഷ്യനാലുമല്ല യേശുക്രിസ്തുവിനാലും അവനെ മരിച്ചവരുടെ ഇടയിൽനിന്നു ഉയിർപ്പിച്ച പിതാവായ ദൈവത്താലുമത്രേ അപ്പൊസ്തലനായ പൗലൊസും
[IRV | ML | NT | Galatians | Chapter 1 | Verse 14] എന്റെ പിതൃപാരമ്പര്യത്തെക്കുറിച്ചു അത്യന്തം എരിവേറി, എന്റെ സ്വജനത്തിൽ സമപ്രായക്കാരായ പലരെക്കാളും യെഹൂദമതത്തിൽ അധികം മുതിരുകയും ചെയ്തുപോന്നു.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 15] എങ്കിലും എന്റെ ജനനം മുതൽ എന്നെ വേർതിരിച്ചു തന്റെ കൃപയാൽ വിളിച്ചിരിക്കുന്ന ദൈവം
[IRV | ML | NT | Galatians | Chapter 1 | Verse 16] തന്റെ പുത്രനെക്കുറിച്ചുള്ള സുവിശേഷം ഞാൻ ജാതികളുടെ ഇടയിൽ അറിയിക്കേണ്ടതിന്നു അവനെ എന്നിൽ വെളിപ്പെടുത്തുവാൻ പ്രസാദിച്ചപ്പോൾ ഞാൻ മാംസരക്തങ്ങളോടു ആലോചിക്കയോ
[IRV | ML | NT | Galatians | Chapter 1 | Verse 17] എനിക്കു മുമ്പെ അപ്പൊസ്തലന്മാരായവരുടെ അടുക്കൽ യെരൂശലേമിലേക്കു പോകയോ ചെയ്യാതെ നേരെ അറബിയിലേക്കു പോകയും ദമസ്കൊസിലേക്കു മടങ്ങിപ്പോരുകയും ചെയ്തു.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 18] മൂവാണ്ടു കഴിഞ്ഞിട്ടു കേഫാവുമായി മുഖപരിചയമാകേണ്ടതിന്നു യെരൂശലേമിലേക്കു പോയി പതിനഞ്ചുദിവസം അവനോടുകൂടെ പാർത്തു.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 19] എന്നാൽ കർത്താവിന്റെ സഹോദരനായ യാക്കോബിനെ അല്ലാതെ അപ്പൊസ്തലന്മാരിൽ വേറൊരുത്തനെയും കണ്ടില്ല.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 20] ഞാൻ നിങ്ങൾക്കു എഴുതുന്നതു ഭോഷ്കല്ല എന്നതിന്നു ദൈവം സാക്ഷി.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 21] പിന്നെ ഞാൻ സുറിയ കിലിക്യ ദിക്കുകളിലേക്കു പോയി.
[IRV | ML | NT | Galatians | Chapter 1 | Verse 22] യെഹൂദ്യയിലെ ക്രിസ്തുസഭകൾക്കോ ഞാൻ മുഖപരിചയം ഇല്ലാത്തവൻ ആയിരുന്നു;
[IRV | ML | NT | Galatians | Chapter 1 | Verse 23] മുമ്പെ നമ്മെ ഉപദ്രവിച്ചവൻ താൻ മുമ്പെ മുടിച്ച വിശ്വാസത്തെ ഇപ്പോൾ പ്രസംഗിക്കുന്നു എന്നു മാത്രം
[IRV | ML | NT | Galatians | Chapter 1 | Verse 24] അവർ കേട്ടു എന്നെച്ചൊല്ലി ദൈവത്തെ മഹത്വപ്പെടുത്തി.
