[ERV | EN | NT | Matthew | Chapter 5 | Verse 1] And seeing the multitudes, he went up into the mountain: and when he had sat down, his disciples came unto him:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 33] Again, ye have heard that it was said to them of old time, Thou shalt not forswear thyself, but shalt perform unto the Lord thine oaths:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 34] but I say unto you, Swear not at all; neither by the heaven, for it is the throne of God;
[ERV | EN | NT | Matthew | Chapter 5 | Verse 35] nor by the earth, for it is the footstool of his feet; nor by Jerusalem, for it is the city of the great King.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 36] Neither shalt thou swear by thy head, for thou canst not make one hair white or black.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 37] But let your speech be, Yea, yea; Nay, nay: and whatsoever is more than these is of the evil one.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 38] Ye have heard that it was said, An eye for an eye, and a tooth for a tooth:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 39] but I say unto you, Resist not him that is evil: but whosoever smiteth thee on thy right cheek, turn to him the other also.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 40] And if any man would go to law with thee, and take away thy coat, let him have thy cloke also.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 41] And whosoever shall compel thee to go one mile, go with him twain.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 42] Give to him that asketh thee, and from him that would borrow of thee turn not thou away.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 43] Ye have heard that it was said, Thou shalt love thy neighbour, and hate thine enemy:
[ERV | EN | NT | Matthew | Chapter 5 | Verse 44] but I say unto you, Love your enemies, and pray for them that persecute you;
[ERV | EN | NT | Matthew | Chapter 5 | Verse 45] that ye may be sons of your Father which is in heaven: for he maketh his sun to rise on the evil and the good, and sendeth rain on the just and the unjust.
[ERV | EN | NT | Matthew | Chapter 5 | Verse 46] For if ye love them that love you, what reward have ye? do not even the publicans the same?
[ERV | EN | NT | Matthew | Chapter 5 | Verse 47] And if ye salute your brethren only, what do ye more than others? do not even the Gentiles the same?
[ERV | EN | NT | Matthew | Chapter 5 | Verse 48] Ye therefore shall be perfect, as your heavenly Father is perfect.
